method,runs,hop_mean,hop_std,mean_risk_mean,mean_risk_std,max_risk_mean,max_risk_std,cvar80_mean,cvar80_std,cvar90_mean,cvar90_std,re_mean,re_std,hhi_mean,hhi_std,gini_mean,gini_std,total_risk_mean,total_risk_std,hop_increase_pct_mean,hop_increase_pct_std,risk_reduction_pct_mean,risk_reduction_pct_std,cvar90_reduction_pct_mean,cvar90_reduction_pct_std,total_risk_mean_baseline,total_risk_mean_method,total_risk_aggregate_reduction,total_risk_mean_per_od_reduction,total_risk_median_per_od_reduction,max_risk_mean_baseline,max_risk_mean_method,max_risk_aggregate_reduction,max_risk_mean_per_od_reduction,max_risk_median_per_od_reduction,cvar80_mean_baseline,cvar80_mean_method,cvar80_aggregate_reduction,cvar80_mean_per_od_reduction,cvar80_median_per_od_reduction,cvar90_mean_baseline,cvar90_mean_method,cvar90_aggregate_reduction,cvar90_mean_per_od_reduction,cvar90_median_per_od_reduction,re_mean_baseline,re_mean_method,re_aggregate_reduction,re_mean_per_od_reduction,re_median_per_od_reduction,gini_mean_baseline,gini_mean_method,gini_aggregate_reduction,gini_mean_per_od_reduction,gini_median_per_od_reduction,path_overlap_with_cvar,selected_path_changed_rate,risk_mode,cvar_alpha,lambda_re,re_threshold,run_name,risk_dir
CVaR+Concentration,3,8.333333333333334,4.041451884327381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333255216,0.5773502691882727,0.3333333333231775,0.5773502691720354,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010414407442788461,0.0,0.9999999999039791,0.33333333332266435,0.0,0.3076923076923077,0.0,0.99999999999675,0.3333333333329722,0.0,1.0,0.0,raw,0.8,0.0,mean,od_modes_debug_p1_k5_raw_a0p8_l0_mean,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_raw
CVaR-risk,3,8.333333333333334,4.041451884327381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333255216,0.5773502691882727,0.3333333333231775,0.5773502691720354,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010414407442788461,0.0,0.9999999999039791,0.33333333332266435,0.0,0.3076923076923077,0.0,0.99999999999675,0.3333333333329722,0.0,1.0,0.0,raw,0.8,0.0,mean,od_modes_debug_p1_k5_raw_a0p8_l0_mean,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_raw
Hop-shortest,3,8.333333333333334,4.041451884327381,0.010940606013322487,0.018949685480668128,0.14222787817319235,0.24634591124868566,0.010940606013322487,0.018949685480668128,0.010940606013322487,0.018949685480668128,0.010414407442788461,0.018038282821633084,0.33333333333177095,0.5773502691869197,0.3076923076923077,0.5329387100211931,0.14222787817319235,0.24634591124868566,0.0,0.0,0.0,0.0,0.0,0.0,0.14222787817319235,0.14222787817319235,0.0,0.0,0.0,0.14222787817319235,0.14222787817319235,0.0,0.0,0.0,0.010940606013322487,0.010940606013322487,0.0,0.0,0.0,0.010940606013322487,0.010940606013322487,0.0,0.0,0.0,0.010414407442788461,0.010414407442788461,0.0,0.0,0.0,0.3076923076923077,0.3076923076923077,0.0,0.0,0.0,0.6666666666666666,0.33333333333333337,raw,0.8,0.0,mean,od_modes_debug_p1_k5_raw_a0p8_l0_mean,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_raw
Mean-risk-floor,3,8.333333333333334,4.041451884327381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333255216,0.5773502691882727,0.3333333333231775,0.5773502691720354,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010414407442788461,0.0,0.9999999999039791,0.33333333332266435,0.0,0.3076923076923077,0.0,0.99999999999675,0.3333333333329722,0.0,0.6666666666666666,0.33333333333333337,raw,0.8,0.0,mean,od_modes_debug_p1_k5_raw_a0p8_l0_mean,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_raw
Mean-risk-raw,3,8.333333333333334,4.041451884327381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333255216,0.5773502691882727,0.3333333333231775,0.5773502691720354,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010414407442788461,0.0,0.9999999999039791,0.33333333332266435,0.0,0.3076923076923077,0.0,0.99999999999675,0.3333333333329722,0.0,0.6666666666666666,0.33333333333333337,raw,0.8,0.0,mean,od_modes_debug_p1_k5_raw_a0p8_l0_mean,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_raw
CVaR+Concentration,3,8.333333333333334,4.041451884327381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333255216,0.5773502691882727,0.3333333333231775,0.5773502691720354,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.3076923076923077,0.0,0.99999999999675,0.3333333333329722,0.0,1.0,0.0,raw,0.8,0.0,p75,od_modes_debug_p1_k5_raw_a0p8_l0_p75,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_raw
CVaR-risk,3,8.333333333333334,4.041451884327381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333255216,0.5773502691882727,0.3333333333231775,0.5773502691720354,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.3076923076923077,0.0,0.99999999999675,0.3333333333329722,0.0,1.0,0.0,raw,0.8,0.0,p75,od_modes_debug_p1_k5_raw_a0p8_l0_p75,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_raw
Hop-shortest,3,8.333333333333334,4.041451884327381,0.010940606013322487,0.018949685480668128,0.14222787817319235,0.24634591124868566,0.010940606013322487,0.018949685480668128,0.010940606013322487,0.018949685480668128,0.010940606013322487,0.018949685480668128,0.33333333333177095,0.5773502691869197,0.3076923076923077,0.5329387100211931,0.14222787817319235,0.24634591124868566,0.0,0.0,0.0,0.0,0.0,0.0,0.14222787817319235,0.14222787817319235,0.0,0.0,0.0,0.14222787817319235,0.14222787817319235,0.0,0.0,0.0,0.010940606013322487,0.010940606013322487,0.0,0.0,0.0,0.010940606013322487,0.010940606013322487,0.0,0.0,0.0,0.010940606013322487,0.010940606013322487,0.0,0.0,0.0,0.3076923076923077,0.3076923076923077,0.0,0.0,0.0,0.6666666666666666,0.33333333333333337,raw,0.8,0.0,p75,od_modes_debug_p1_k5_raw_a0p8_l0_p75,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_raw
Mean-risk-floor,3,8.333333333333334,4.041451884327381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333255216,0.5773502691882727,0.3333333333231775,0.5773502691720354,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.3076923076923077,0.0,0.99999999999675,0.3333333333329722,0.0,0.6666666666666666,0.33333333333333337,raw,0.8,0.0,p75,od_modes_debug_p1_k5_raw_a0p8_l0_p75,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_raw
Mean-risk-raw,3,8.333333333333334,4.041451884327381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333255216,0.5773502691882727,0.3333333333231775,0.5773502691720354,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.3076923076923077,0.0,0.99999999999675,0.3333333333329722,0.0,0.6666666666666666,0.33333333333333337,raw,0.8,0.0,p75,od_modes_debug_p1_k5_raw_a0p8_l0_p75,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_raw
CVaR+Concentration,3,8.333333333333334,4.041451884327381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333255216,0.5773502691882727,0.3333333333231775,0.5773502691720354,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010414407442788461,0.0,0.9999999999039791,0.33333333332266435,0.0,0.3076923076923077,0.0,0.99999999999675,0.3333333333329722,0.0,1.0,0.0,raw,0.8,1.0,mean,od_modes_debug_p1_k5_raw_a0p8_l1_mean,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_raw
CVaR-risk,3,8.333333333333334,4.041451884327381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333255216,0.5773502691882727,0.3333333333231775,0.5773502691720354,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010414407442788461,0.0,0.9999999999039791,0.33333333332266435,0.0,0.3076923076923077,0.0,0.99999999999675,0.3333333333329722,0.0,1.0,0.0,raw,0.8,1.0,mean,od_modes_debug_p1_k5_raw_a0p8_l1_mean,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_raw
Hop-shortest,3,8.333333333333334,4.041451884327381,0.010940606013322487,0.018949685480668128,0.14222787817319235,0.24634591124868566,0.010940606013322487,0.018949685480668128,0.010940606013322487,0.018949685480668128,0.010414407442788461,0.018038282821633084,0.33333333333177095,0.5773502691869197,0.3076923076923077,0.5329387100211931,0.14222787817319235,0.24634591124868566,0.0,0.0,0.0,0.0,0.0,0.0,0.14222787817319235,0.14222787817319235,0.0,0.0,0.0,0.14222787817319235,0.14222787817319235,0.0,0.0,0.0,0.010940606013322487,0.010940606013322487,0.0,0.0,0.0,0.010940606013322487,0.010940606013322487,0.0,0.0,0.0,0.010414407442788461,0.010414407442788461,0.0,0.0,0.0,0.3076923076923077,0.3076923076923077,0.0,0.0,0.0,0.6666666666666666,0.33333333333333337,raw,0.8,1.0,mean,od_modes_debug_p1_k5_raw_a0p8_l1_mean,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_raw
Mean-risk-floor,3,8.333333333333334,4.041451884327381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333255216,0.5773502691882727,0.3333333333231775,0.5773502691720354,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010414407442788461,0.0,0.9999999999039791,0.33333333332266435,0.0,0.3076923076923077,0.0,0.99999999999675,0.3333333333329722,0.0,0.6666666666666666,0.33333333333333337,raw,0.8,1.0,mean,od_modes_debug_p1_k5_raw_a0p8_l1_mean,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_raw
Mean-risk-raw,3,8.333333333333334,4.041451884327381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333255216,0.5773502691882727,0.3333333333231775,0.5773502691720354,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.14222787817319235,0.0,0.999999999992969,0.33333333333255216,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010940606013322487,0.0,0.9999999999085973,0.3333333333231775,0.0,0.010414407442788461,0.0,0.9999999999039791,0.33333333332266435,0.0,0.3076923076923077,0.0,0.99999999999675,0.3333333333329722,0.0,0.6666666666666666,0.33333333333333337,raw,0.8,1.0,mean,od_modes_debug_p1_k5_raw_a0p8_l1_mean,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_raw
