P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,13,139,371,578,106,29,73,12
2,3,218,485,338,80,53,137,7
3,2,158,481,435,119,42,81,2
4,21,173,471,401,80,44,103,28
5,8,122,411,517,89,47,119,7
