P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,162,628,589,74,35,42,0
2,0,211,445,552,144,71,106,0
3,0,162,470,546,159,106,87,0
4,0,141,442,580,109,180,68,9
5,0,142,448,617,131,89,101,1
