P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,6,459,525,183,33,38,59,18
2,0,489,458,121,76,46,63,68
3,0,423,455,211,86,44,73,28
4,2,429,475,167,85,48,96,19
5,0,382,507,194,58,60,90,29
