model,customer_set,model_seed_runs,common_global_risk_mean_mean,common_global_cvar90_mean_mean,load_global_risk_mean_mean,common_top10_burden_share_mean_mean,common_edge_burden_gini_used_mean_mean,common_max_vehicle_risk_mean_mean,load_cvar90_mean_mean,load_top10_burden_share_mean_mean,load_edge_burden_gini_used_mean_mean,load_max_vehicle_risk_mean_mean
GAT,A,10,3.553382509171218,0.0913281032188838,1.8329705428610288,0.7719206077010371,0.7684956382424801,1.136466000245454,0.0533330950497927,0.7886091606797685,0.8176807055414986,0.6602894962481012
GAT,B,10,6.062924756824627,0.1460391231399516,3.0822993895618063,0.8502547590628062,0.8288917539112021,1.8998166733038528,0.0913820698425506,0.8540486947314097,0.8594541234222245,1.0387947637805863
GCN,A,10,3.486998687055401,0.0909237118319957,1.7691101601499466,0.7657983768521035,0.762975237925741,1.13345587754856,0.0508948506077188,0.7805538002473295,0.8123537937420574,0.6355219893443963
GCN,B,10,5.944889963383945,0.1425860864021498,2.943580087872854,0.8485830095568028,0.8274439561681834,1.9330308996032948,0.08612460939519,0.8480125737269854,0.8561224327259207,1.0312885075718383
Gradformer-adapted,A,10,4.001551933209608,0.105603036745513,2.008849706840011,0.794839436827901,0.7849935507978048,1.2403815273762215,0.0595902397216317,0.8004381042402973,0.8262104611846347,0.7352588340927848
Gradformer-adapted,B,10,5.75541197991919,0.1410619331392479,2.9320345493584727,0.843043527077889,0.8224301036447447,1.7821318298441131,0.0863041195521679,0.8474286383955796,0.8539360511053319,0.9416535217290978
GraphSAGE,A,10,3.36282091886858,0.0858585943830817,1.736378210422965,0.7592819366246057,0.7579380976494897,1.1390125067957173,0.0495524120956892,0.7783270254806395,0.8112244890962115,0.6510026886763722
GraphSAGE,B,10,5.156142212831034,0.1246790613215535,2.652922036545462,0.8223095187924494,0.8078733571294823,1.678963193456304,0.0759783249309397,0.830482659956564,0.8452760703834888,0.9178108085887836
GraphSAGE-TEG-Concat,A,10,3.571489285285222,0.0910859040751603,1.8138382882319624,0.7717546894798322,0.7682745069838847,1.1645948094186027,0.0522913022761509,0.7840217136033241,0.8143299371575701,0.6597902727983248
GraphSAGE-TEG-Concat,B,10,5.5391844697598405,0.132266322207809,2.856699141043608,0.8367395223796297,0.8190079031906121,1.765126401431419,0.0828542886407783,0.8451634681787727,0.8540606431014781,0.9418591243334764
GraphSAGE-TEG-Gate,A,10,3.409997616623552,0.0863632716040562,1.69257465331509,0.7637552968436373,0.7611438406354576,1.1468224706464984,0.0481666209492836,0.7754166178067121,0.8084286399632596,0.6069861442218188
GraphSAGE-TEG-Gate,B,10,5.456632381779029,0.1315555881201075,2.7455057651968278,0.8334728624415282,0.8151420147217635,1.810565877546408,0.0793315831972361,0.8365089424232712,0.8477604273862237,0.9516379486101936
SGFormer-TEG-Concat,A,10,3.423872365862813,0.0858901671885458,1.7225591237299835,0.7626871835609269,0.7603052001420103,1.117158585804631,0.0487556209424371,0.7757733230136472,0.8081149069822475,0.6158831523202388
SGFormer-TEG-Concat,B,10,5.212703660964924,0.1251446147602621,2.565758900178891,0.8232843489960132,0.8081424589694504,1.7188879259058474,0.0722614912683596,0.823126757813543,0.8388537716625413,0.9052038292796744
SGFormer-TEG-Gate,A,10,3.507450312864818,0.0901585676382297,1.7387682019762536,0.7676676412303628,0.764401854474242,1.1774297886177352,0.0497694000883168,0.7765511559431452,0.8093616107321828,0.6403466304587601
SGFormer-TEG-Gate,B,10,4.92639106977913,0.1184293123696052,2.473311868542804,0.8137944467926561,0.8015752138940051,1.631862201022256,0.0692514289410016,0.8188525816178818,0.8382400700872032,0.8814817339407124
SGFormer-adapted,A,10,3.573098527870856,0.0904733285107621,1.7872164140872269,0.7721202516482116,0.768147802816683,1.1469848823491722,0.0510628489214739,0.7815890641335607,0.8126196403016573,0.6294655385556405
SGFormer-adapted,B,10,5.018993386820187,0.119141661091359,2.548082154296776,0.8203309048873315,0.8066794109574902,1.7053580704696647,0.0717487765533466,0.8265522857982781,0.8422877312203381,0.9185800138416118
Stable-Tail GNN,A,10,3.27255723163038,0.0814071133952836,1.656334213014636,0.7549475752504038,0.7537858590597001,1.0630845103678976,0.0466006745541666,0.7702834505665624,0.804931989169645,0.5774655932711079
Stable-Tail GNN,B,10,5.115411262837607,0.1227024249567398,2.606862983424375,0.8212733591968858,0.8061133625520893,1.729627774388984,0.0738968922786068,0.8262907412176508,0.8420531342348309,0.9441010990296886
Stable-Tail w/o Tail Loss,A,10,3.4987726713787053,0.0897856904907422,1.8000461026180887,0.7672768889150656,0.7635157781716995,1.0944216886119238,0.0517537252398633,0.7836676412142205,0.8147060724932821,0.6242343990136827
Stable-Tail w/o Tail Loss,B,10,5.6034331708739,0.1370318892873955,2.89348329042199,0.8379996680780353,0.820081683406098,1.7974060036509036,0.0843168662528948,0.8461289246928654,0.855585627619386,0.9923439937084572
TEG-only,A,10,3.5139017195650037,0.0906115576618822,1.7922072143494543,0.7663674292324234,0.7626675332295012,1.1194518434194471,0.0515272279062236,0.780478975524531,0.8114388574835353,0.6366834125034083
TEG-only,B,10,5.72746613250782,0.1377503906905224,2.9761473398098053,0.840612355483232,0.8198048928438381,1.868416861072672,0.0871906930280262,0.8487072127879735,0.8541572092614558,1.0430966771787191
