customer_set,metric,target_model,reference_model,purpose,reference_minus_target_mean,relative_improvement,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,effect_size_dz,holm_p,significant_0p05
B,common_risk_aubrc,SGFormer-TEG-Gate,SGFormer-TEG-Concat,Gate vs concat,0.07108481569153344,0.012713071420339433,-0.07329953746820755,0.2346203052323144,0.556640625,0.2725850823382432,1.0,False
B,common_risk_aubrc,SGFormer-TEG-Gate,SGFormer-adapted,TEG gated enhancement over SGFormer,0.04851535718446591,0.008711830443958943,-0.06115242709542031,0.16485121161576125,0.556640625,0.2527085567868855,1.0,False
B,common_risk_aubrc,SGFormer-TEG-Gate,Stable-Tail GNN,Gate vs current main model,0.03130857257106925,0.005639458534376321,-0.07955827930040099,0.12175111388292316,0.556640625,0.18580397143156907,1.0,False
B,common_risk_aubrc,GraphSAGE-TEG-Gate,GraphSAGE-TEG-Concat,Gate vs concat,0.10225058374661415,0.01795712874711041,-0.006059655190842417,0.22124767395215197,0.16015625,0.5134483025671455,0.9609375,False
B,common_risk_aubrc,GraphSAGE-TEG-Gate,GraphSAGE,TEG gated enhancement over GraphSAGE,0.06550917097373814,0.011579360152213317,-0.0831150305537953,0.21666008726123911,0.232421875,0.26046936225096223,1.0,False
B,common_risk_aubrc,GraphSAGE-TEG-Gate,Stable-Tail GNN,Gate vs current main model,-0.040201027903751727,-0.007241212590829101,-0.14812240785497255,0.060826228918780895,0.4921875,-0.22247979218385208,1.0,False
B,cvar90_aubrc,SGFormer-TEG-Gate,SGFormer-TEG-Concat,Gate vs concat,0.0022059236147152607,0.015247253190576033,-0.002683594675258558,0.007526774673371703,0.76953125,0.25570967705612685,1.0,False
B,cvar90_aubrc,SGFormer-TEG-Gate,SGFormer-adapted,TEG gated enhancement over SGFormer,-0.0007907334353594892,-0.005581117345484421,-0.004053357345357175,0.0023289159682293083,0.76953125,-0.14613527224290573,1.0,False
B,cvar90_aubrc,SGFormer-TEG-Gate,Stable-Tail GNN,Gate vs current main model,0.00012724369162041006,0.0008923238428308722,-0.003115445343796391,0.00293710697600129,0.76953125,0.024607777047082818,1.0,False
B,cvar90_aubrc,GraphSAGE-TEG-Gate,GraphSAGE-TEG-Concat,Gate vs concat,0.0018612171266742389,0.012702824988369879,-0.0018798144180346,0.006013820081449775,0.625,0.2766388851842544,1.0,False
B,cvar90_aubrc,GraphSAGE-TEG-Gate,GraphSAGE,TEG gated enhancement over GraphSAGE,0.0012045118411193323,0.00825781672793373,-0.0035552153847277367,0.0055717160355410154,0.556640625,0.15241156361496086,1.0,False
B,cvar90_aubrc,GraphSAGE-TEG-Gate,Stable-Tail GNN,Gate vs current main model,-0.0020606127349817233,-0.0144504914220061,-0.0056503924256020455,0.0017716547220116008,0.275390625,-0.32386431819856804,1.0,False
B,load_risk_aubrc,SGFormer-TEG-Gate,SGFormer-TEG-Concat,Gate vs concat,0.03438217065685585,0.012444634631668873,-0.051669676390790516,0.12385532912278986,0.556640625,0.23163382655397113,0.984375,False
