model,avg_risk20,avg_cvar90_20,avg_load_risk20,avg_top10_share20,avg_edge_gini20,avg_max_vehicle_risk20,avg_win_rate_10_40,avg_average_risk_at_b,avg_common_risk_aubrc,avg_cvar90_aubrc,avg_load_risk_aubrc,rank_avg_common_aubrc,rank_avg_cvar90_aubrc,rank_avg_load_risk_aubrc,rank_avg_risk20
SGFormer-TEG-Gate,4.216920691321974,0.10429394000391745,2.1060400352595288,0.7907310440115094,0.7829885341841236,1.4046459948199956,0.12142857142857136,4.170705708084704,4.973468815320644,0.1297858327796127,2.5072584790494608,1.0,1.0,1.0,2.0
Stable-Tail GNN,4.193984247233994,0.1020547691760117,2.1315985982195054,0.7881104672236448,0.7799496108058948,1.396356142378441,0.07857142857142854,4.179334454999594,4.979531438671829,0.12984554806798665,2.5350550707730903,2.0,2.0,5.0,1.0
GraphSAGE-TEG-Gate,4.43331499920129,0.10895942986208185,2.219040209255959,0.7986140796425827,0.7881429276786105,1.4786941740964532,0.14999999999999994,4.159513796306685,4.996628983036484,0.13027320631795591,2.509090618571369,3.0,3.0,2.0,6.0
SGFormer-TEG-Concat,4.318288013413868,0.10551739097440394,2.1441590119544376,0.7929857662784701,0.7842238295557303,1.418023255855239,0.07857142857142854,4.202231310142178,5.008437102826127,0.13114188247885492,2.512087278043194,4.0,5.0,3.0,5.0
SGFormer-adapted,4.296045957345521,0.10480749480106055,2.1676492841920014,0.7962255782677716,0.7874136068870866,1.4261714764094184,0.12857142857142856,4.2705413820365195,5.040369672558299,0.13068621911951075,2.53235955415473,5.0,4.0,4.0,4.0
GraphSAGE,4.259481565849807,0.1052688278523176,2.1946501234842133,0.7907957277085276,0.7829057273894859,1.4089878501260107,0.03571428571428565,4.272688533274835,5.054795902782766,0.1324156690965801,2.5733369628978915,6.0,6.0,6.0,3.0
GraphSAGE-TEG-Concat,4.555336877522532,0.11167611314148465,2.335268714637785,0.8042471059297309,0.7936412050872483,1.4648606054250108,0.18571428571428567,4.251510237592308,5.08925262087161,0.1333735126345045,2.5795261824396496,7.0,7.0,7.0,8.0
Stable-Tail w/o Tail Loss,4.5511029211263025,0.11340878988906884,2.3467646965200393,0.8026382784965505,0.7917987307888987,1.4459138461314138,0.0285714285714285,4.334464859841445,5.08980546087855,0.1339696644530917,2.6031541416035946,8.0,8.0,10.0,7.0
TEG-only,4.620683926036412,0.1141809741762023,2.3841772770796297,0.8034898923578278,0.7912362130366697,1.4939343522460595,0.0571428571428571,4.3090871978359155,5.09398465946056,0.1341038309789824,2.5804121895938708,9.0,9.0,8.0,9.0
GCN,4.715944325219673,0.11675489911707274,2.3563451240114004,0.8071906932044531,0.7952095970469621,1.5332433885759273,0.04999999999999995,4.351164634590003,5.127382639493032,0.13486360990516072,2.5900340889465143,10.0,10.0,9.0,10.0
Gradformer-adapted,4.878481956564399,0.12333248494238044,2.4704421280992417,0.8189414819528951,0.8037118272212747,1.5112566786101673,0.07857142857142854,4.495281174297457,5.3021933276751305,0.14081314460854422,2.6733633690994663,11.0,12.0,11.0,12.0
GAT,4.808153632997922,0.1186836131794177,2.4576349662114176,0.8110876833819216,0.7986936960768412,1.5181413367746535,0.0071428571428571,4.597912126228038,5.3227252208356495,0.140263457095732,2.695305816627874,12.0,11.0,12.0,11.0
