model,customer_set,budget,model_seed_runs,cost_increase_mean,cost_increase_std,common_global_risk_mean_mean,common_global_risk_mean_std,common_global_cvar90_mean_mean,common_global_cvar90_mean_std,common_max_vehicle_risk_mean_mean,common_max_vehicle_risk_mean_std,common_edge_burden_gini_used_mean_mean,common_edge_burden_gini_used_mean_std,common_top10_burden_share_mean_mean,common_top10_burden_share_mean_std,load_global_risk_mean_mean,load_global_risk_mean_std,load_cvar90_mean_mean,load_cvar90_mean_std,load_max_vehicle_risk_mean_mean,load_max_vehicle_risk_mean_std,load_edge_burden_gini_used_mean_mean,load_edge_burden_gini_used_mean_std,load_top10_burden_share_mean_mean,load_top10_burden_share_mean_std
GAT,A,0.2,10,0.1743132463440123,0.0215037704114973,3.553382509171218,0.39534943630066,0.0913281032188838,0.0145272445383531,1.136466000245454,0.141726846519542,0.7684956382424801,0.0163264899337501,0.7719206077010371,0.0214996444672067,1.8329705428610288,0.2890759211564765,0.0533330950497927,0.0110449904751039,0.6602894962481012,0.1144848602249651,0.8176807055414986,0.0193810824293725,0.7886091606797685,0.0277876030757108
GAT,A,0.25,10,0.1908435124562376,0.0199578957150056,3.3622294088088283,0.1927840609614014,0.0846240307150423,0.0092408740734558,1.0841276727088698,0.0803183041698616,0.7596708525467013,0.0119698738315426,0.7604217226949177,0.0143714655669566,1.7009185235716484,0.1193315621234008,0.0483162526097717,0.0045982825413171,0.6038875990518784,0.0606418326404016,0.8094504609385126,0.0126837683912941,0.7763333294673037,0.0181990161153919
GAT,A,0.3,10,0.2334093315628889,0.0441871669857814,3.1046748797066512,0.2150462008690178,0.0726069868295102,0.0106251698751345,1.018404918728781,0.1104672857448056,0.7439768010148522,0.0142457570949379,0.739783008099721,0.0191205901188132,1.5746883297061869,0.1064961218758011,0.043273520512015,0.0045297251272458,0.5602936675471557,0.0570003600936691,0.7985153711716624,0.0118445814944378,0.758709583225356,0.018906173269545
GAT,B,0.2,10,0.1441954546287407,0.0262662648858788,6.062924756824627,0.4447163128747818,0.1460391231399516,0.0124921525186753,1.8998166733038528,0.1876852272645497,0.8288917539112021,0.0067161626921893,0.8502547590628062,0.00986079810437,3.0822993895618063,0.2602748887322028,0.0913820698425506,0.0096528789694174,1.0387947637805863,0.109738979477268,0.8594541234222245,0.0066966480831789,0.8540486947314097,0.0103610646492406
GAT,B,0.25,10,0.2085814794332861,0.0267601954931658,5.045084810380895,0.51547757509051,0.1210417342298857,0.0127411015767793,1.6130074882102676,0.1979842835219542,0.811980800302924,0.0129324479723681,0.8235845539506981,0.0170740367019974,2.47683698621866,0.2706805745882985,0.0697779353309982,0.0097567178518502,0.8474660479124232,0.1107427982913186,0.8428088932597138,0.0106102331535332,0.824410673152021,0.016522980370409
GAT,B,0.3,10,0.2299635774403906,0.0261703422082332,4.766431360437709,0.4432477422517934,0.1150132071191757,0.0108100126032183,1.5381471690275708,0.1241281485865259,0.805827745275083,0.0127975555817013,0.8144765001705883,0.0165520202881354,2.3551631978258136,0.2073159931202534,0.0652995116048101,0.0073881707090902,0.8113548760473769,0.0499520787070107,0.8394307108527368,0.0102032339844427,0.8180660261619943,0.0150380830232862
GCN,A,0.2,10,0.1691761816988074,0.0220445186394269,3.486998687055401,0.535976014677747,0.0909237118319957,0.0170653160214771,1.13345587754856,0.1380588151786882,0.762975237925741,0.0233502253097512,0.7657983768521035,0.029693288301907,1.7691101601499466,0.2486772921938931,0.0508948506077188,0.0093270824892276,0.6355219893443963,0.0920842572532726,0.8123537937420574,0.015470467772977,0.7805538002473295,0.0236388876756905
GCN,A,0.25,10,0.185644216148156,0.0164263226358674,3.1994418889670757,0.1166107896353511,0.0810617255540679,0.0075814660049181,1.0832134755931242,0.1145728857085428,0.7498720976148824,0.0071028142755196,0.7489902246805672,0.0096120910474735,1.632569736855082,0.0641781063647211,0.0457444592201496,0.0025616379247711,0.5815103318326724,0.0512860409347098,0.8036914127385468,0.006710444189714,0.7672829763339959,0.0095034822384367
GCN,A,0.3,10,0.2462611230594249,0.0403095063953882,2.885308182532687,0.2552953955095071,0.0637937641486238,0.0147621925752976,0.986143416848556,0.1656972679030136,0.7285874336510553,0.0190629596594438,0.7200313325155168,0.0253427641471576,1.4639495667018312,0.1348796617459424,0.0389483578064206,0.0052943236013628,0.5269310255776436,0.0802695154681972,0.7876738022109478,0.0144055155209929,0.7434916540698635,0.0208553182692023
GCN,B,0.2,10,0.1368063668547831,0.0091829945481623,5.944889963383945,0.2262586784253377,0.1425860864021498,0.0068280134438715,1.9330308996032948,0.0768611150652068,0.8274439561681834,0.004900520173388,0.8485830095568028,0.0058371744604433,2.943580087872854,0.1222818048644187,0.08612460939519,0.0046168048726416,1.0312885075718383,0.0589672950988173,0.8561224327259207,0.0046717000743069,0.8480125737269854,0.0068172274441947
GCN,B,0.25,10,0.2083933749251618,0.0331279748025385,4.506146431934992,0.7397572129569093,0.1090632458952091,0.019233378102186,1.4937727819829607,0.1865531173029697,0.7932493362108877,0.0190764853426791,0.8010645766970246,0.0256161388305546,2.236816625118531,0.369321328101352,0.0613938042128809,0.0127955856119005,0.8115678158837538,0.0881525639320701,0.8312565037666033,0.0135092610286434,0.8088720107067242,0.0216165616124434
