model,customer_set,budget,model_seed_runs,cost_increase_mean,cost_increase_std,common_global_risk_mean_mean,common_global_risk_mean_std,common_global_cvar90_mean_mean,common_global_cvar90_mean_std,common_max_vehicle_risk_mean_mean,common_max_vehicle_risk_mean_std,common_edge_burden_gini_used_mean_mean,common_edge_burden_gini_used_mean_std,common_top10_burden_share_mean_mean,common_top10_burden_share_mean_std,load_global_risk_mean_mean,load_global_risk_mean_std,load_cvar90_mean_mean,load_cvar90_mean_std,load_max_vehicle_risk_mean_mean,load_max_vehicle_risk_mean_std,load_edge_burden_gini_used_mean_mean,load_edge_burden_gini_used_mean_std,load_top10_burden_share_mean_mean,load_top10_burden_share_mean_std
GAT,A,0.1,10,0.06612494623151986,0.010851231374668488,5.9098977559066785,0.41919229569507527,0.15945924445005727,0.014021745251860366,1.8322050951855668,0.11121168729124906,0.8362856557484959,0.007314115574972948,0.861617865470009,0.009467356720752869,3.2736804621132243,0.2834457940017538,0.10899684609950203,0.011671874834684508,1.2022506182709538,0.11402126173259625,0.8776842791920464,0.008317951199144333,0.8795532321991029,0.012124989584860196
GAT,A,0.15,10,0.11077935538409822,0.009575189384572191,4.8359758606101035,0.2668568622681289,0.13120347140751681,0.005196104150841956,1.5043673165221407,0.11772157142600813,0.8168754371339,0.006214561007765047,0.8336755207203963,0.00802642390661186,2.524594362434552,0.11206143273283195,0.07934647736316595,0.0037751715069705497,0.9352389097793289,0.055078345459661754,0.8563243848987,0.004555948278566059,0.8462384089777417,0.006313169903857972
GAT,A,0.2,10,0.1743132463440123,0.021503770411497352,3.553382509171218,0.39534943630066005,0.09132810321888384,0.014527244538353171,1.1364660002454539,0.14172684651954207,0.7684956382424801,0.01632648993375013,0.7719206077010371,0.021499644467206785,1.8329705428610286,0.28907592115647657,0.053333095049792736,0.011044990475103987,0.6602894962481012,0.11448486022496515,0.8176807055414986,0.01938108242937258,0.7886091606797685,0.027787603075710834
GAT,A,0.25,10,0.19084351245623768,0.019957895715005683,3.3622294088088283,0.19278406096140144,0.0846240307150423,0.009240874073455882,1.0841276727088698,0.08031830416986169,0.7596708525467013,0.011969873831542624,0.7604217226949177,0.014371465566956699,1.7009185235716484,0.11933156212340089,0.048316252609771786,0.004598282541317112,0.6038875990518784,0.06064183264040164,0.8094504609385126,0.012683768391294111,0.7763333294673037,0.018199016115391903
GAT,A,0.3,10,0.2334093315628889,0.04418716698578144,3.1046748797066512,0.2150462008690178,0.07260698682951022,0.01062516987513456,1.018404918728781,0.11046728574480563,0.7439768010148522,0.014245757094937918,0.739783008099721,0.019120590118813213,1.5746883297061867,0.10649612187580117,0.04327352051201504,0.004529725127245874,0.5602936675471557,0.057000360093669156,0.7985153711716624,0.011844581494437838,0.758709583225356,0.018906173269545065
GAT,A,0.35,10,0.29233824653930546,0.024979326896702406,2.815196419218127,0.24426912378046214,0.05969996203344834,0.010819946202209002,0.9318612752947217,0.10168643979182058,0.7227999522236777,0.0211629343474981,0.7116870363540141,0.0267528595632606,1.4214769927194912,0.11759229392013748,0.03709229961054709,0.004524629732418888,0.5158159298477188,0.038584624690053075,0.781505500885421,0.015949211164829086,0.7329960962778348,0.022322150285664078
GAT,A,0.4,10,0.29233824653930546,0.024979326896702406,2.815196419218127,0.24426912378046214,0.05969996203344834,0.010819946202209002,0.9318612752947217,0.10168643979182058,0.7227999522236777,0.0211629343474981,0.7116870363540141,0.0267528595632606,1.4214769927194912,0.11759229392013748,0.03709229961054709,0.004524629732418888,0.5158159298477188,0.038584624690053075,0.781505500885421,0.015949211164829086,0.7329960962778348,0.022322150285664078
GAT,B,0.1,10,0.06610397674967797,0.00787445517864407,7.335441254713994,0.11041762448647949,0.19362483114947507,0.020009894147124906,2.388690883177394,0.12316049804769054,0.8429182736713751,0.0012384491727109532,0.8741873267878895,0.0018811933440551745,3.6158145180331083,0.15398386687619484,0.10929392797367939,0.004754711376085293,1.2412634857722642,0.08217226850129633,0.8675360817392914,0.004028058964469986,0.8721872005764164,0.0056221871696367385
GAT,B,0.15,10,0.12124230977980846,0.018174283291324922,6.386318019746166,0.41398431848533507,0.15701653616759137,0.019968996627617256,1.994274794330891,0.18445787047021867,0.8329896363651157,0.005966821996901142,0.857039837798288,0.008045452828198886,3.2543990780876535,0.16830082583057818,0.09741014275591943,0.006163719625686368,1.0854291247192995,0.08657347554414083,0.8628483100022054,0.004446693179158056,0.8605073237869577,0.00606882062371908
GAT,B,0.2,10,0.14419545462874075,0.026266264885878878,6.062924756824627,0.44471631287478186,0.14603912313995163,0.012492152518675394,1.8998166733038526,0.1876852272645497,0.8288917539112021,0.0067161626921893305,0.8502547590628062,0.009860798104370069,3.0822993895618063,0.2602748887322028,0.09138206984255065,0.009652878969417428,1.0387947637805863,0.10973897947726803,0.8594541234222245,0.006696648083178961,0.8540486947314097,0.010361064649240618
GAT,B,0.25,10,0.2085814794332861,0.026760195493165887,5.045084810380895,0.51547757509051,0.12104173422988578,0.012741101576779337,1.6130074882102676,0.19798428352195424,0.811980800302924,0.012932447972368128,0.8235845539506981,0.017074036701997405,2.4768369862186597,0.2706805745882985,0.06977793533099824,0.00975671785185021,0.8474660479124232,0.11074279829131863,0.8428088932597138,0.010610233153533207,0.824410673152021,0.016522980370409064
GAT,B,0.3,10,0.22996357744039062,0.026170342208233208,4.766431360437709,0.4432477422517934,0.1150132071191757,0.01081001260321838,1.5381471690275708,0.12412814858652593,0.805827745275083,0.012797555581701325,0.8144765001705883,0.01655202028813544,2.3551631978258136,0.2073159931202534,0.0652995116048101,0.007388170709090273,0.8113548760473769,0.049952078707010766,0.8394307108527368,0.010203233984442797,0.8180660261619943,0.01503808302328622
GAT,B,0.35,10,0.2702746682171508,0.05368401909943627,4.441240028899815,0.5899069250804921,0.106258391561046,0.01621124438290163,1.4975556291135255,0.19470103210344844,0.7949226294142662,0.021508944749070218,0.7991544433777492,0.028784950469108585,2.1980849557706383,0.3265806613761746,0.059570401435818446,0.011902600923780978,0.7823054272532806,0.10892406911556188,0.8292260053163201,0.023770085819587287,0.8023251012305757,0.03499830766457312
GAT,B,0.4,10,0.34152290163909915,0.04048688749238752,3.9367762835495883,0.5088852486035643,0.0925033017673646,0.01622802482210187,1.2913250996046197,0.18689738777565326,0.7773156838838824,0.02328351904222554,0.7743065215363572,0.029951479274027498,1.9441258084074424,0.30548072467205084,0.050276284482311286,0.010867487790790954,0.6956801269373782,0.11459610324375599,0.8127305757394969,0.024617693138127908,0.7774787378013812,0.03583779980284349
GCN,A,0.1,10,0.06668530700194322,0.004997255106774257,5.959342747201231,0.2299075355447099,0.16120701004464133,0.00663938791376491,1.8035129850162495,0.09332165399456047,0.8365686857062983,0.003501402642639001,0.8623949334086556,0.004366739169455624,3.2651376152584803,0.17889102720372782,0.10844113105541464,0.006688106782136197,1.174166017671443,0.08605132825902335,0.8754264386323083,0.00604454288686566,0.8760645239131597,0.008479295171872575
GCN,A,0.15,10,0.1146928525067108,0.009516476487313812,4.659772848741634,0.1212373524627387,0.12772930215979542,0.0036758307421431383,1.5201349469324568,0.15356192992357176,0.8120493636005716,0.003713277206424518,0.8287257060912923,0.005095333027077797,2.4150557536443467,0.14396151785595374,0.07508201698486462,0.005283722232306377,0.9376966748963351,0.12686243642652276,0.8500336625877354,0.00821216460896324,0.8383105924563031,0.01189729560416475
GCN,A,0.2,10,0.16917618169880747,0.02204451863942694,3.486998687055401,0.535976014677747,0.09092371183199574,0.017065316021477133,1.13345587754856,0.13805881517868826,0.762975237925741,0.023350225309751237,0.7657983768521035,0.029693288301907098,1.7691101601499466,0.24867729219389312,0.05089485060771889,0.00932708248922763,0.6355219893443963,0.09208425725327267,0.8123537937420574,0.015470467772977078,0.7805538002473295,0.023638887675690543
GCN,A,0.25,10,0.18564421614815607,0.016426322635867418,3.1994418889670753,0.11661078963535114,0.08106172555406792,0.007581466004918199,1.0832134755931242,0.11457288570854281,0.7498720976148824,0.007102814275519617,0.7489902246805672,0.009612091047473554,1.632569736855082,0.0641781063647211,0.04574445922014969,0.002561637924771148,0.5815103318326724,0.05128604093470985,0.8036914127385468,0.00671044418971407,0.7672829763339959,0.009503482238436755
GCN,A,0.3,10,0.24626112305942494,0.040309506395388266,2.885308182532687,0.25529539550950714,0.06379376414862388,0.014762192575297694,0.9861434168485559,0.1656972679030136,0.7285874336510553,0.01906295965944382,0.7200313325155168,0.02534276414715765,1.4639495667018312,0.13487966174594246,0.038948357806420635,0.005294323601362829,0.5269310255776436,0.08026951546819723,0.7876738022109478,0.014405515520992906,0.7434916540698635,0.020855318269202366
GCN,A,0.35,10,0.28199737996099944,0.03068039887104017,2.739902058766821,0.23408700288633716,0.056195777065429185,0.011747190417089267,0.9069144092433907,0.1178054855872029,0.7163445722250781,0.020598149364971362,0.7040396109279433,0.026795560898797487,1.3757488050288618,0.1424724218827447,0.03553855836397342,0.005503548621665513,0.482882995279295,0.05710304256613806,0.7764280860129444,0.020811532599231866,0.7278822105409765,0.029854808161632062
GCN,A,0.4,10,0.2958043425870402,0.029742412121243594,2.6613049965442483,0.1811528798771937,0.05224428665976808,0.0067513750047557474,0.863907352771424,0.05903063533771855,0.7101284543959367,0.018537466820307037,0.6958375321850108,0.023387700254194257,1.3423525102956424,0.12181552823260589,0.03411787629754197,0.004470302708927092,0.47515106689320524,0.05282871099867482,0.772081683880043,0.019350401704257923,0.7214917357129329,0.027207040966127256
GCN,B,0.1,10,0.07094490294593907,0.00488666323683065,7.264190259791249,0.1420716471160532,0.18315364642590423,0.013698147465833903,2.3989906238265375,0.11440360210962722,0.8422242779170078,0.000634402995108291,0.8739885928032963,0.0016963709210318439,3.5444434249010435,0.1484274407966247,0.10686198914689085,0.004951938321310675,1.2443441712162895,0.06279698550509315,0.8648166696429769,0.0030347986331040805,0.868049909123566,0.005653009411665435
GCN,B,0.15,10,0.12920753372163418,0.019263244650271075,6.099227065723906,0.44679559901286836,0.1457650692157423,0.01161135314465093,1.9916797999068852,0.13484138201775653,0.8295365610989729,0.006312869459471051,0.8517860061740162,0.009240666111781532,3.0002393004290075,0.19732332624621232,0.08813512218452257,0.007017166604327578,1.0540189386266932,0.06559486859114187,0.8573697712991111,0.004752080063589646,0.850218119624833,0.008122631680541934
