P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,785,450,126,106,9,51,3
2,0,764,356,123,114,72,55,45
3,0,635,429,163,153,64,65,21
4,0,645,399,147,144,96,77,21
5,0,603,470,141,130,74,94,17
