P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,1,674,210,176,76,91,52,41
2,0,665,162,90,87,91,137,89
3,0,659,204,128,79,80,111,59
4,0,602,209,132,106,93,106,73
5,1,657,227,149,73,62,89,62
