P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,270,618,262,65,24,69,13
2,0,465,477,119,78,33,141,8
3,0,392,539,185,88,42,70,4
4,0,429,491,180,35,80,68,38
5,0,257,558,254,97,47,98,9
