P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,884,352,85,120,27,60,2
2,0,868,238,113,69,117,123,1
3,0,780,277,199,78,93,102,1
4,0,770,309,171,70,106,103,0
5,0,726,366,162,79,79,114,3
