risk_source,customer_set,beta,lambda_concentration,seed,load_global_risk,load_cvar90,load_max_vehicle_risk,load_vehicle_gini,load_edge_burden_gini_used,load_top10_burden_share,load_max_edge_burden
ST-v1_seed0,A,1.0,0.0,0,1.4808597182409537,0.03996581938015325,0.5333842205090177,0.304761899906127,0.7986606913901002,0.7548255382601223,0.33607313454396437
ST-v1_seed0,A,1.0,0.0,1,1.203883179634179,0.030312157459201603,0.3633587883115025,0.2062956234924298,0.7552310966343907,0.6977003390072636,0.2390890697140569
ST-v1_seed0,A,1.0,0.0,2,1.31663250540346,0.03434359156472403,0.3901325394608209,0.15442386994529378,0.7655998588526169,0.7212636671832445,0.2345459115180038
ST-v1_seed0,A,1.0,0.0,3,1.4611820254508083,0.04090321324652391,0.41183706383243907,0.1768224748026701,0.8273805238327787,0.7916020845358588,0.2922199740949584
ST-v1_seed0,A,1.0,0.0,4,1.6459655730209242,0.04565936359114763,0.46807818295634307,0.21118078285865494,0.7989421863596424,0.7627132002998691,0.34535087847585993
ST-v1_seed0,A,1.0,0.0,5,1.7209165556380972,0.05015775597225315,0.6561451414025017,0.3586537964817471,0.829686841337882,0.8001825663064805,0.33607313454396437
ST-v1_seed0,A,1.0,0.0,6,1.382695461828408,0.03729205354808194,0.483219189116156,0.28882180231147947,0.7731323826460788,0.7287070999176448,0.2390890697140569
ST-v1_seed0,A,1.0,0.0,7,1.871782860334917,0.05514662134225989,0.5333842205090177,0.17968354033745593,0.8192824098712328,0.7942787713868605,0.33607313454396437
ST-v1_seed0,A,1.0,0.0,8,1.831719892658362,0.053047663735937466,0.61356768639711,0.2955973679051547,0.8178710658190431,0.7820651038096161,0.33607313454396437
ST-v1_seed0,A,1.0,0.0,9,1.309626489924483,0.03526470289683019,0.41282105769422717,0.2619327669642828,0.7808782837296611,0.7348429493212618,0.2922199740949584
ST-v1_seed0,B,1.0,0.0,0,1.7642190514213962,0.04223260197071864,0.6446646363820134,0.34482164148226535,0.7964428625693383,0.7446028470075663,0.5047435916185645
ST-v1_seed0,B,1.0,0.0,1,2.5308180152160182,0.07201826898322014,0.9052130577296171,0.2995569692119582,0.8416280334871928,0.8190933081632948,0.5047435916185645
ST-v1_seed0,B,1.0,0.0,2,1.9948459045352438,0.052332070562322947,0.5937777711345755,0.2682022987112205,0.8164733406866342,0.7830583311489407,0.43059581300690836
ST-v1_seed0,B,1.0,0.0,3,1.5065381209939182,0.03684011330437844,0.7590524206758145,0.3837733646001513,0.7842508314243892,0.7336392635057555,0.2922199740949584
ST-v1_seed0,B,1.0,0.0,4,1.7555445435047743,0.04416776734827777,0.6278141891402025,0.30024825135799893,0.8004414827588124,0.7514353954482411,0.5047435916185645
ST-v1_seed0,B,1.0,0.0,5,1.9882510599390377,0.05369366000900533,0.7063800316227302,0.3019680592823639,0.8306655007312336,0.8094414098487283,0.43059581300690836
ST-v1_seed0,B,1.0,0.0,6,1.9724671329263845,0.05259749072953337,0.6165368092722764,0.23446365459091778,0.8283161018459322,0.7981281224309076,0.43059581300690836
ST-v1_seed0,B,1.0,0.0,7,1.5702451956821477,0.03733490277461761,0.9351995249774405,0.4144573545123442,0.7950622878134941,0.742882197355218,0.2922199740949584
ST-v1_seed0,B,1.0,0.0,8,1.5018171361516317,0.034551143851578946,0.5261352319248263,0.3028984777132351,0.7865975669503731,0.7223130449924675,0.3984817828567615
ST-v1_seed0,B,1.0,0.0,9,1.9882450582652897,0.05280804718297312,0.9351995249774405,0.3884558891152794,0.8153600894879589,0.7913291106603594,0.2922199740949584
ST-v1_seed1,A,1.0,0.0,0,1.741766328917782,0.05160585930574247,0.5822338100822891,0.2554819367995962,0.821316649134189,0.804492555882913,0.2922199740949584
ST-v1_seed1,A,1.0,0.0,1,1.8576702162931382,0.054745163634041555,0.5731890863688205,0.1834837747391691,0.8250425917319972,0.7994238638190204,0.29873167515019056
ST-v1_seed1,A,1.0,0.0,2,1.553013837907614,0.042506853304441664,0.7406836963434739,0.40641268968095123,0.8105922996408268,0.7722881343667145,0.3734145939377382
ST-v1_seed1,A,1.0,0.0,3,1.6097989246116349,0.04421007605064786,0.43277736068460804,0.1704229103588737,0.8099594063634628,0.7766979026260776,0.34535087847585993
ST-v1_seed1,A,1.0,0.0,4,1.9037319139859021,0.054190067372439324,0.5731890863688205,0.1914183725472327,0.8238725130542606,0.7974861276477846,0.33607313454396437
ST-v1_seed1,A,1.0,0.0,5,1.3163049819965167,0.035517031442606595,0.3859812717592509,0.16201968327889626,0.7966183317485018,0.7587779950121624,0.2922199740949584
ST-v1_seed1,A,1.0,0.0,6,1.5787139116989626,0.04316420368919064,0.7406836963434739,0.38775204831033916,0.8087785191609667,0.7691703854048623,0.3734145939377382
ST-v1_seed1,A,1.0,0.0,7,1.6871747297363795,0.04596134977200195,0.6607922041948779,0.3273146161217808,0.8073501601359605,0.7678639717131659,0.33607313454396437
ST-v1_seed1,A,1.0,0.0,8,1.6677163769459202,0.04897270253375399,0.6607922041948779,0.323014181244752,0.827483314497786,0.7976173798147785,0.33607313454396437
ST-v1_seed1,A,1.0,0.0,9,1.5474553577108132,0.04076682808502126,0.7406836963434739,0.39292620115035337,0.8065374591350576,0.7594700080744846,0.3734145939377382
ST-v1_seed1,B,1.0,0.0,0,1.8189385751775404,0.04545781652193337,0.5880293761391836,0.2258447642798973,0.8012635379407747,0.7565422722674437,0.2922199740949584
ST-v1_seed1,B,1.0,0.0,1,2.217785711645578,0.06078870035302182,0.7791520642461104,0.25749588440460625,0.8333795459732958,0.8037593172472736,0.6187719039697545
ST-v1_seed1,B,1.0,0.0,2,1.8386240165884877,0.04660687840307821,0.5568286520298984,0.21976157663696938,0.7893954440767901,0.7559941634205706,0.2390890697140569
ST-v1_seed1,B,1.0,0.0,3,1.749691550024991,0.04356657756868298,0.5898917334147955,0.28967068802340146,0.7944975756831316,0.7533739051812642,0.3984817828567615
ST-v1_seed1,B,1.0,0.0,4,2.30211913666787,0.06507846648674033,0.7791520642461104,0.23325855827607245,0.8445173768480847,0.8203603533690808,0.6187719039697545
ST-v1_seed1,B,1.0,0.0,5,1.7030114137682821,0.04218398448404123,0.7135744533917308,0.28327598542216537,0.7943878826219564,0.7384461738379436,0.45161268723766307
ST-v1_seed1,B,1.0,0.0,6,2.0274548307666054,0.053972550218020963,0.7236047641060018,0.279808744044733,0.8198831673506328,0.7848499985880848,0.5047435916185645
ST-v1_seed1,B,1.0,0.0,7,1.9601581701463116,0.05112068872999947,0.6858426619102828,0.29250057246751093,0.8164497835515365,0.7812428402438226,0.43059581300690836
ST-v1_seed1,B,1.0,0.0,8,2.2504338328844056,0.05985206244830827,0.6918600608106427,0.2622841334633492,0.8408045895849539,0.8169156533818254,0.6187719039697545
ST-v1_seed1,B,1.0,0.0,9,2.024898076585957,0.05380555179221205,0.6189265086509045,0.2516597746078173,0.8245421427719573,0.7970841763283741,0.43059581300690836
ST-v1_seed2,A,1.0,0.0,0,1.7698974836519685,0.052490046981434675,0.7835531250883618,0.3959273061188675,0.8282004974776258,0.8036031854361426,0.33607313454396437
ST-v1_seed2,A,1.0,0.0,1,1.7144952685479289,0.046402921697764644,0.7418911741445599,0.3696031226030343,0.804321991412132,0.7663185792574966,0.3734145939377382
ST-v1_seed2,A,1.0,0.0,2,1.1409908055649307,0.02796136685960094,0.3961635477730253,0.2550630059408243,0.748213323880065,0.6885393081084027,0.2922199740949584
ST-v1_seed2,A,1.0,0.0,3,1.5405268717213478,0.04133364476611323,0.7418911741445599,0.388689954496398,0.8079789831074071,0.7694459735905137,0.3734145939377382
ST-v1_seed2,A,1.0,0.0,4,1.5518195236196715,0.04323253810396599,0.4954333855849153,0.22748477955577973,0.7805734932056791,0.7385773691129071,0.2922199740949584
ST-v1_seed2,A,1.0,0.0,5,1.6461647590150448,0.04529276622299532,0.5731890863688205,0.26419393054788043,0.8039939142857362,0.761846998257988,0.34535087847585993
ST-v1_seed2,A,1.0,0.0,6,1.4073650464326755,0.03835632683535301,0.3965936405604779,0.22175649488644855,0.7831149416658663,0.7342084950690173,0.2870199778228758
ST-v1_seed2,A,1.0,0.0,7,1.3505022708477532,0.03660310182221701,0.3913400172619069,0.24692864418305538,0.8008675953245139,0.7542507871374973,0.2568073485783625
ST-v1_seed2,A,1.0,0.0,8,1.7043034078743617,0.045641286881141684,0.5731890863688205,0.21828876851292778,0.8094219720602038,0.7770724235717462,0.2870199778228758
