year,node_count,edge_count,feature_dim,labeled_count,unlabeled_count,high_risk_count_6_8,largest_weak_component,weak_component_count,largest_strong_component,strong_component_count,edge_attr_min,edge_attr_max,edge_attr_mean,edge_attr_std,edge_attr_p50,edge_attr_p90,edge_attr_p95,edge_attr_p99,feature_global_min,feature_global_max,feature_global_mean,feature_global_std,feature_mean_abs_mean,feature_mean_std,near_zero_std_feature_count,directed_edge_count,undirected_edge_count_max_merge,reciprocal_directed_edge_count,self_loop_count,undirected_weight_min,undirected_weight_max,undirected_weight_mean,undirected_weight_std,undirected_weight_p50,undirected_weight_p90,undirected_weight_p95,undirected_weight_p99,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8
data_2020,4696,7048,715,419,4277,40,3706,192,2324,1661,0.1111111111111111,1.0,0.12348656829360577,0.05336137757122609,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.3333333333333333,-1.7781089345267755,68.51960045572197,-4.2747177369682347e-19,0.8857823029965027,1.0702665819166757e-17,0.7846128364002516,154,7048,6603,890,0,0.1111111111111111,1.0,0.12305854241338116,0.0526332904373547,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.3333333333333333,4277,255,61,40,11,12,9,23,8
data_2021,5261,8115,715,443,4818,51,4357,161,2823,1667,0.06666666666666667,1.0,0.0744547134935305,0.03632501237148198,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.2,-1.6164684276899726,72.52533136169127,1.5867011856303321e-18,0.8778526707334602,1.1271481324171899e-17,0.7706273410476668,164,8115,7647,936,0,0.06666666666666667,1.0,0.0738415936532845,0.03419976363856738,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.2,4818,262,62,44,12,12,11,29,11
