model,model_seed,customer_set,risk_improvement,cvar90_improvement,max_vehicle_risk_improvement,edge_gini_improvement,top10_share_improvement,extra_cost_percentage_points
Stable-Tail-GNN,0,A,0.32646967732828475,0.4785011872815001,0.5067993294514526,0.11753493202978828,0.17905327657973505,0.05679653963951575
Stable-Tail-GNN,0,B,0.18774303316676638,0.18925472639297836,0.08635278573722775,0.037932034551335134,0.06720645774326003,0.07954152806259632
Stable-Tail-GNN,1,A,0.2051837347529907,0.2196853942304904,0.32468437664864885,0.04201312069814988,0.07067151083094336,0.0603055577114813
Stable-Tail-GNN,1,B,0.12531344250468485,0.19780546175905972,0.050581284492596044,0.017779949133605644,0.03167848603843227,0.07379972452973427
Stable-Tail-GNN,2,A,0.07897716512139467,0.12758671960493775,-0.012699481070702913,0.015088292977148416,0.024429572080573333,0.08931577879006769
Stable-Tail-GNN,2,B,0.1961363372395946,0.2610846763296714,0.10440001995636873,0.022475598955906187,0.044402877699469934,0.10398491387976211
Stable-Tail-GNN,3,A,0.12989417406429865,0.20917919569114415,0.10807881940751977,0.027511139557903984,0.04120226714855162,0.0671019981716077
Stable-Tail-GNN,3,B,0.2020822962647641,0.3224591059281033,0.26268488485823915,0.0330316951229148,0.059230830961319966,0.08137822367340494
Stable-Tail-GNN,4,A,0.21989879435962553,0.30282702828548763,0.052131236318933016,0.054221091865899476,0.07812275868961467,0.0840567293742574
Stable-Tail-GNN,4,B,0.18938048848935254,0.29115197973319124,0.12079288906214097,0.030810771900094364,0.04941419849556992,0.09118733681862509
Stable-Tail-GNN,5,A,0.2556879925881209,0.37738838901414395,0.3559745366791482,0.07294783511696051,0.10764680143906172,0.05748759679277826
Stable-Tail-GNN,5,B,0.18515436349178369,0.19879694930400812,0.2629780876727919,0.037791712810341965,0.06301083369519371,0.08552799717033024
Stable-Tail-GNN,6,A,0.2110169504125514,0.41704906658828045,0.039796584083463156,0.05207156474148198,0.07801341698527593,0.07512975988358
Stable-Tail-GNN,6,B,0.16080812875070813,0.11809087929925055,0.0942468506081648,0.015282662711103784,0.03131082727481537,0.11263748808192406
Stable-Tail-GNN,7,A,0.24696070378131968,0.3468700049182693,0.3055352626014698,0.06177840655027085,0.09895513540495264,0.07034902117649874
Stable-Tail-GNN,7,B,0.12719898284409042,0.14772435236803289,0.20706912753564846,0.01688107170569887,0.033330347808594174,0.08694487664152542
Stable-Tail-GNN,8,A,0.2311656348823406,0.3967138717879105,0.012288830287244519,0.03550880401795175,0.06722749941549801,0.08247908917771662
Stable-Tail-GNN,8,B,0.20540436486212782,0.30572331153169163,0.22689033211313883,0.034930881260510076,0.06219952860341435,0.08769659287852791
Stable-Tail-GNN,9,A,0.1617176600856033,0.2350395180354742,0.2264202974881621,0.026679066703593768,0.04774862627200635,0.05803536779763202
Stable-Tail-GNN,9,B,0.1561204414439362,0.18921465040765217,0.20026380772366084,0.04383100311144046,0.06484621482469227,0.05623287255785936
