model,model_seed,customer_set,lambda_concentration,risk_improvement_pct,cvar90_improvement_pct,max_vehicle_risk_improvement_pct,edge_gini_improvement_pct,top10_share_improvement_pct,extra_cost_percentage_points
GCN,0,A,1.0,0.09454556293896153,0.21450270995707763,0.1088149394806729,0.027901082296667844,0.039118199513305786,0.07675889475549916
GCN,1,A,1.0,0.24099009989665707,0.44827728805720163,0.08242348742130003,0.08349562930242087,0.11035235647132412,0.075195432750611
GCN,2,A,1.0,0.1129032143732559,0.3285525129268141,0.16133554162744207,0.02933073960668974,0.04056263451860482,0.10152502845202341
GCN,3,A,1.0,0.1398532889946276,0.3139686992045813,0.16365528419900374,0.04558914134021563,0.06234954477699582,0.07088266572137522
GCN,4,A,1.0,0.08332800905219712,0.31554490243145816,0.28984128771024664,0.02757061648832467,0.039072922934461886,0.09724062016082388
GCN,5,A,1.0,0.1473479744703842,0.41184827152740583,0.21617486511985312,0.0399413022069373,0.05550510318998192,0.07669769958394759
GCN,6,A,1.0,0.11927946579475215,0.28744810989107134,0.18901759245045627,0.04006827029388239,0.0512990354609761,0.0930524823224313
GCN,7,A,1.0,0.2643670616115232,0.47500572209374303,0.26670803129394677,0.09820134994333364,0.12440175831801621,0.08865986305714643
GCN,8,A,1.0,0.22074837534929198,0.455310398614671,0.36081020910887324,0.07818543901709318,0.10297685123884713,0.09607418048844205
GCN,9,A,1.0,0.09363040598367313,0.2996203956540977,0.14755947823692664,0.020418180804856582,0.032344081049917095,0.07864096073362495
Stable-Tail-GNN,0,A,0.5,0.07954692135365322,0.14982987361735123,-0.004498439956688914,0.024091797623559626,0.031639830635740544,0.03649620328737471
Stable-Tail-GNN,0,A,1.0,0.2087263311839703,0.35563681522954405,0.024033448673167326,0.07969048645481705,0.10524948136618753,0.056671206552360964
Stable-Tail-GNN,0,A,2.0,0.26814063235768193,0.48673667786187363,0.12942717893868286,0.10659731273044458,0.13923906033334252,0.09090094964458292
Stable-Tail-GNN,1,A,0.5,0.11312642684760801,0.2802829012724493,0.1703093706976838,0.029892489582670812,0.038863338374687806,0.03326181458609301
Stable-Tail-GNN,1,A,1.0,0.14050103663107966,0.3670821856202665,0.11756116865973097,0.035540520437554526,0.04911066312245072,0.06030560271646851
Stable-Tail-GNN,1,A,2.0,0.23514302855873512,0.4465414958148374,0.2562001559584321,0.09071587014371083,0.11676107245939961,0.10980652624116113
Stable-Tail-GNN,2,A,0.5,0.049677163338854684,0.14149373204535937,0.08113977552126499,0.014277165954127853,0.01885556354181282,0.04494039067893052
Stable-Tail-GNN,2,A,1.0,0.07393167858757667,0.22904829866919058,0.14327258865616269,0.021767380953158024,0.029535343431242755,0.08818373477117103
Stable-Tail-GNN,2,A,2.0,0.2314002434383244,0.4651914444384551,0.2545834431440482,0.08059205134468116,0.10596487600916117,0.16149032631205795
Stable-Tail-GNN,3,A,0.5,0.07403126004080024,0.1530455912759162,0.05598856135165801,0.01523594034053125,0.021477042545270893,0.03463348196794708
Stable-Tail-GNN,3,A,1.0,0.1198514745517231,0.22862448350383174,0.07155490947624082,0.02858689007774229,0.039899512884262724,0.06711916267094528
Stable-Tail-GNN,3,A,2.0,0.33398618788694606,0.5400071005314386,0.22954231512900103,0.11692347240108944,0.1547935944604617,0.10942144442993329
Stable-Tail-GNN,4,A,0.5,0.1356819624114747,0.3798066345059376,0.11576793571537575,0.034823194283638885,0.0461882073277251,0.044756805164275354
