model,customer_set,lambda_concentration,model_seeds,risk_improvement_pct_mean,risk_improvement_pct_std,cvar90_improvement_pct_mean,cvar90_improvement_pct_std,max_vehicle_risk_improvement_pct_mean,max_vehicle_risk_improvement_pct_std,edge_gini_improvement_pct_mean,edge_gini_improvement_pct_std,top10_share_improvement_pct_mean,top10_share_improvement_pct_std,extra_cost_percentage_points_mean,extra_cost_percentage_points_std
GCN,A,1.0,10,0.15169934584653239,0.06621788086642073,0.35500790103581215,0.08673415071992958,0.19863407166487215,0.08592617135141596,0.04907017513004218,0.027374186216743365,0.06579824874724309,0.03384908262589095,0.08547278280259249,0.01102652714765146
GCN,B,1.0,10,0.21425325945433613,0.049591296249299255,0.26237545503069243,0.07920032735480156,0.18733451324913336,0.034031595750471044,0.054887202318388305,0.01554532956338386,0.07517372771428707,0.019776354423582984,0.10876550201763906,0.011828472028844655
Stable-Tail-GNN,A,0.5,10,0.09647027896908511,0.0497635517001915,0.2486769551238623,0.1321705161967501,0.05747118110711791,0.12106846798765059,0.02347813713698065,0.015382727240544335,0.032348346748161054,0.019242277236130922,0.03817182928319646,0.006122633513975443
Stable-Tail-GNN,A,1.0,10,0.1600115617071368,0.046170401816711525,0.35480098495921997,0.07413155565500491,0.11267585947812789,0.07505536778771958,0.04659460401437987,0.019326571502019094,0.0628517652128546,0.024482519157496878,0.06993092719482123,0.011846778905276252
Stable-Tail-GNN,A,2.0,10,0.24975227981569548,0.042944792355961534,0.4641228578386459,0.04488229858035904,0.2039829636635888,0.059437022822739015,0.08762544747171885,0.018073777894475836,0.11535884307887054,0.02322726214500773,0.12455642012898852,0.023031332100965165
Stable-Tail-GNN,B,0.5,10,0.11205466999658834,0.030315878319926014,0.12588205395523264,0.03201101121634245,0.12165585656205762,0.04662363909947975,0.024438465914385834,0.006007173029668332,0.034779545658002065,0.008884003412922597,0.04541313383888463,0.008904291771017153
Stable-Tail-GNN,B,1.0,10,0.16347296552462373,0.04467195474153572,0.17940931384462014,0.04622107406601326,0.16582297061725026,0.04151441177674517,0.03635517049177926,0.009665340911174722,0.05253774375729396,0.014638002880648116,0.08577600219176737,0.01564195049162712
Stable-Tail-GNN,B,2.0,10,0.21315581119345542,0.047518883219115286,0.26011409499706745,0.06525139838747834,0.18102504989090473,0.05773683468984165,0.050387399656346955,0.012590081939112914,0.0726261233993948,0.017501343379975224,0.16134331623400383,0.02820327111828486
TEG-low,A,1.0,10,0.18659485512376886,0.054272682198310725,0.33851309974844634,0.08741210661252548,0.12415509506231363,0.08147973874563501,0.06396750059877095,0.021763581485727143,0.08300067817242654,0.026775345839102863,0.07981125991031277,0.012698425052248549
TEG-low,B,1.0,10,0.2150076234683521,0.03941142947471919,0.2728805739097008,0.06910002509214014,0.19060072964776473,0.057541688875678,0.052238875986318434,0.013262777946969583,0.07439898766982346,0.015093981099630822,0.09324484481455508,0.010721475909336878
