model,customer_set,beta,lambda_concentration,model_seeds,cost_increase_pct_mean,cost_increase_pct_std,common_risk_reduction_pct_mean,common_risk_reduction_pct_std,common_global_risk_mean,common_global_risk_std,common_global_cvar90_mean,common_global_cvar90_std,common_max_vehicle_risk_mean,common_max_vehicle_risk_std,common_edge_burden_gini_used_mean,common_edge_burden_gini_used_std,common_top10_burden_share_mean,common_top10_burden_share_std
GCN,A,1.0,0.0,10,0.18437514342520173,0.014003139269164971,nan,nan,3.1440526481455287,0.06559521181389406,0.0793032624982847,0.005876600241260998,1.0586049145910739,0.11186708963655347,0.7483894570918911,0.003922353008864244,0.7472426800776002,0.0053781438856442786
GCN,A,1.0,1.0,10,0.26984792622779424,0.02428213192376946,nan,nan,2.6653199843309547,0.1893440991365097,0.05092067466408538,0.005911120295767596,0.8417454638739693,0.06537060165035696,0.7116383215952868,0.01974288695927399,0.6980238548531424,0.024176652571496822
GCN,B,1.0,0.0,10,0.2243459284990415,0.010548783140654936,nan,nan,4.062516173405273,0.2094293440553655,0.0975491466644675,0.0075698736220701345,1.3755879258548682,0.04709630988288706,0.7817782417929168,0.008690608798477406,0.7855098461222891,0.011071134880925529
GCN,B,1.0,1.0,10,0.3331114305166805,0.020404454539266592,nan,nan,3.1839629643681646,0.10141186787387194,0.07149950320313944,0.004210962977746853,1.1165172204977512,0.014310969946331164,0.7387728216021602,0.0076307502055191255,0.7263100669818142,0.010211832110432431
Stable-Tail-GNN,A,1.0,0.0,10,0.1716962516401008,0.014947265429629347,nan,nan,3.2654319542995287,0.14271002538202882,0.0828892028720872,0.005532654444281991,1.0347596211723307,0.07886789274553879,0.7545774255132308,0.007094698179093348,0.755950120041434,0.009757730680369898
Stable-Tail-GNN,A,1.0,0.5,10,0.20986808092329726,0.01995053063018974,nan,nan,2.9493376993652403,0.18968873005188158,0.062162316363405926,0.011175451777161853,0.9686458214967442,0.07695682775551585,0.7368198500644082,0.010684196437313337,0.7314473185705553,0.014837093011751306
Stable-Tail-GNN,A,1.0,1.0,10,0.24162717883492202,0.025141522660500754,nan,nan,2.74252837291665,0.184639759595722,0.05352105603265202,0.007555045304434617,0.9133870392203918,0.03472626760962712,0.7194294373108915,0.016538049941013693,0.7084657587814742,0.021561995718599212
Stable-Tail-GNN,A,1.0,2.0,10,0.2962526717690893,0.035463650710985145,nan,nan,2.446455012434103,0.11320922078837156,0.04434309449585604,0.003907392014036899,0.8201955138264501,0.03544586761971686,0.68841500570916,0.01273928805656874,0.6686679910163786,0.01636818769215603
Stable-Tail-GNN,B,1.0,0.0,10,0.1984404103021246,0.016885610012942767,nan,nan,4.018749220354474,0.22400539996478355,0.0943132826356397,0.005059377911608934,1.3739022367242084,0.08189246526100612,0.7768570859398726,0.008569873625955461,0.7811040953491097,0.011636797446770606
Stable-Tail-GNN,B,1.0,0.5,10,0.24385354414100918,0.024849343655762815,nan,nan,3.5672534531210807,0.21625251349067812,0.08245544981480143,0.005702336367486497,1.2065656514715415,0.09521396695869111,0.7578679267979497,0.009253392740714622,0.7539279941502113,0.012636848081330424
Stable-Tail-GNN,B,1.0,1.0,10,0.2842164124938919,0.03167808562804923,nan,nan,3.3568882445609503,0.18126056903275953,0.0772940924203117,0.004498809734983291,1.1433412175654536,0.031641377158574326,0.748582053770585,0.00847039763856469,0.739993910226495,0.011599219587499269
Stable-Tail-GNN,B,1.0,2.0,10,0.35978372653612845,0.04422523575726701,nan,nan,3.1545838027930406,0.12153103481223583,0.06963786232884658,0.005466304792247828,1.1211568077545504,0.023573614738411647,0.7376708690982252,0.009619709681829706,0.7242852363690296,0.012589160655536493
TEG-low,A,1.0,0.0,10,0.19130370496481702,0.013241430178450624,nan,nan,3.171245444407112,0.12894529788643927,0.07648383542821943,0.004569315337471319,0.9639500296754184,0.047828802015769424,0.7494357008691155,0.00787403082866669,0.7485749024573055,0.010846905725682233
TEG-low,A,1.0,1.0,10,0.27111496487512976,0.0250483512780415,nan,nan,2.57646773072861,0.14807198745705843,0.05046017902255271,0.006100647472977999,0.8421987266456046,0.06398364746247515,0.7014439360313577,0.01538878502019301,0.6863601828484786,0.01923718100923395
TEG-low,B,1.0,0.0,10,0.21413281047141405,0.01185086935930025,nan,nan,4.079549545941096,0.20211696753643413,0.09686655358769392,0.005716193523163555,1.3956710421855179,0.10553892619534129,0.7793733313732889,0.008899662894829257,0.784742241444763,0.011512726258531204
TEG-low,B,1.0,1.0,10,0.30737765528596916,0.020092316240227826,nan,nan,3.19746924813562,0.12904011724212752,0.07020385584831484,0.005203500362341229,1.1246936630772528,0.0343533319928563,0.7385983580157867,0.008824200541864863,0.7262878023860848,0.011895804465672967
