P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,7,423,546,190,46,28,62,19
2,0,465,441,188,44,37,78,68
3,0,422,421,246,88,61,54,28
4,2,416,450,212,75,42,105,19
5,0,333,529,225,51,56,96,30
