group,src,dst,method,path,hop,mean_risk,max_risk,cvar80,cvar90,cvar95,re,hhi,gini,total_risk,hop_increase_pct,risk_reduction_pct,cvar90_reduction_pct,risk_source,risk_dir,model,model_seed
high_high,4205,237,CVaR-risk,4205 4038 3804 4402 3917 3521 4121 3968 4343 4307 236 237,11,0.0023608058373528447,0.0036356046330183744,0.0034108260879293084,0.0036356046330183744,0.0036356046330183744,0.0,0.11012172343475277,0.2531231004620569,0.025968864210881293,0.09999999999999,0.9230813150385766,0.9883313254209833,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,4732,4300,Hop-shortest,4732 2909 3513 4036 3643 3456 3508 3837 3712 4295 4300,10,0.002668221304702456,0.006167836487293243,0.006167836487293243,0.006167836487293243,0.006167836487293243,0.0007630031555891037,0.18699826359828106,0.488734961060886,0.02668221304702456,0.0,0.0,0.0,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,4732,4300,CVaR-risk,4732 2909 3513 4036 3643 3456 3508 3837 3712 4295 4300,10,0.002668221304702456,0.006167836487293243,0.006167836487293243,0.006167836487293243,0.006167836487293243,0.0007630031555891037,0.18699826359828106,0.488734961060886,0.02668221304702456,0.0,0.0,0.0,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,102,301,Hop-shortest,102 3497 106 3802 2995 2996 2084 4257 977 3508 3456 3882 301,12,0.0009321000943600666,0.0020742956548929214,0.0018554899919157226,0.0020742956548929214,0.0020742956548929214,0.0,0.1164065549325858,0.3293460715173673,0.011185201132320799,0.0,0.0,0.0,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,102,301,CVaR-risk,102 3497 106 3802 2995 2996 2084 4257 977 3508 3456 3882 301,12,0.0009321000943600666,0.0020742956548929214,0.0018554899919157226,0.0020742956548929214,0.0020742956548929214,0.0,0.1164065549325858,0.3293460715173673,0.011185201132320799,0.0,0.0,0.0,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,2539,3133,Hop-shortest,2539 4607 3703 4295 3566 3777 3221 767 768 4892 3133,10,0.006657777639338747,0.030285833403468132,0.015882965177297592,0.030285833403468132,0.030285833403468132,0.004114835173822939,0.2606445262138233,0.5678005120187843,0.06657777639338747,0.0,0.0,0.0,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,2539,3133,CVaR-risk,2539 4607 2036 3663 4015 3777 3221 767 768 4892 3133,10,0.0030148677818942816,0.008681531064212322,0.008681531064212322,0.008681531064212322,0.008681531064212322,0.0009828575421124697,0.1927723469759313,0.45856276924432016,0.030148677818942815,0.0,0.5471660446970956,0.7133467998298004,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,1399,2516,Hop-shortest,1399 4699 4066 4381 4347 3561 4208 2516,7,0.05801026148921145,0.2488984763622284,0.19666098058223724,0.2488984763622284,0.2488984763622284,0.05527841622409012,0.5024428498173358,0.7259073903837197,0.40607183042448014,0.0,0.0,0.0,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,1399,2516,CVaR-risk,1399 4699 4066 3593 3793 3567 3720 3561 4208 2516,9,0.003092611747445141,0.00857385154813528,0.00857385154813528,0.00857385154813528,0.00857385154813528,0.0010681351543300683,0.22239739077347206,0.5171182252845081,0.02783350572700627,0.2857142857142449,0.9314566940069632,0.9655528162549976,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
high_high,3035,2795,Hop-shortest,3035 3508 3837 4706 4568 4704 2795,6,0.04415758519705074,0.2459430694580078,0.08543546715130408,0.2459430694580078,0.2459430694580078,0.04101793134274582,0.862939432079075,0.7754597408089272,0.26494551118230447,0.0,0.0,0.0,Stable-Tail-GNN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,Stable-Tail GNN,1
