method,runs,hop_mean,hop_std,mean_risk_mean,mean_risk_std,max_risk_mean,max_risk_std,cvar80_mean,cvar80_std,cvar90_mean,cvar90_std,re_mean,re_std,hhi_mean,hhi_std,gini_mean,gini_std,total_risk_mean,total_risk_std,hop_increase_pct_mean,hop_increase_pct_std,risk_reduction_pct_mean,risk_reduction_pct_std,cvar90_reduction_pct_mean,cvar90_reduction_pct_std,total_risk_mean_baseline,total_risk_mean_method,total_risk_aggregate_reduction,total_risk_mean_per_od_reduction,total_risk_median_per_od_reduction,total_risk_wilcoxon_p,max_risk_mean_baseline,max_risk_mean_method,max_risk_aggregate_reduction,max_risk_mean_per_od_reduction,max_risk_median_per_od_reduction,max_risk_wilcoxon_p,cvar80_mean_baseline,cvar80_mean_method,cvar80_aggregate_reduction,cvar80_mean_per_od_reduction,cvar80_median_per_od_reduction,cvar80_wilcoxon_p,cvar90_mean_baseline,cvar90_mean_method,cvar90_aggregate_reduction,cvar90_mean_per_od_reduction,cvar90_median_per_od_reduction,cvar90_wilcoxon_p,re_mean_baseline,re_mean_method,re_aggregate_reduction,re_mean_per_od_reduction,re_median_per_od_reduction,re_wilcoxon_p,gini_mean_baseline,gini_mean_method,gini_aggregate_reduction,gini_mean_per_od_reduction,gini_median_per_od_reduction,gini_wilcoxon_p,path_overlap_with_cvar,selected_path_changed_rate,risk_source,model,model_seed
CVaR-risk,150,9.94,2.578251839975213,0.004688941368044336,0.009667315716473529,0.018783407698695857,0.07710783249215035,0.011498787887032246,0.039456711895706834,0.016956177334197693,0.0757322832697301,0.002273370364200284,0.009610729725368283,0.17312562349541194,0.14236967858898814,0.3061049741386529,0.1539423063998239,0.04392176483106325,0.08187002974542726,0.10486063011061625,0.12480596024581617,0.5283315758801498,0.42799150583373324,0.5981015990840229,0.4330179071913006,0.26979949902016204,0.04392176483106325,0.837205906640256,0.5283315758801498,0.7577646195394772,1.2340228753445096e-19,0.19087666182313115,0.018783407698695857,0.9015940056778529,0.589701594353383,0.9016254700017585,8.74317938610493e-20,0.10654585409317062,0.011498787887032246,0.8920766276098454,0.5861599464252502,0.8219248650262386,5.984633624818619e-20,0.16363352457475333,0.016956177334197693,0.8963771184470948,0.5981015990840229,0.9006773729314964,1.9173569808103953e-20,0.027973430152114696,0.002273370364200284,0.9187310832902216,0.6646450532095567,0.9589775121940236,8.748071176575978e-20,0.5783322558398806,0.3061049741386529,0.4707108741590352,0.32072856925326115,0.4256391604134905,2.4652762261214946e-17,1.0,0.0,GCN_seed0,GCN,0
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.03064864134716079,0.03830350022928971,0.19087666182313115,0.22797166908673136,0.10654585409317062,0.1431578594967572,0.16363352457475333,0.20697284289021134,0.027973430152114696,0.03811560920582127,0.46418911901154597,0.29069308790362103,0.5783322558398806,0.2563438827042952,0.26979949902016204,0.31470692476016365,0.0,0.0,0.0,0.0,0.0,0.0,0.26979949902016204,0.26979949902016204,0.0,0.0,0.0,1.0,0.19087666182313115,0.19087666182313115,0.0,0.0,0.0,1.0,0.10654585409317062,0.10654585409317062,0.0,0.0,0.0,1.0,0.16363352457475333,0.16363352457475333,0.0,0.0,0.0,1.0,0.027973430152114696,0.027973430152114696,0.0,0.0,0.0,1.0,0.5783322558398806,0.5783322558398806,0.0,0.0,0.0,1.0,0.24,0.76,GCN_seed0,GCN,0
CVaR-risk,150,9.966666666666667,2.6200483285328677,0.004623722507756495,0.00957532256789762,0.01842496852002417,0.07519130238093939,0.011654901568700249,0.03900226680079156,0.01694118008457331,0.07414391324237347,0.0023314897216642648,0.009523939843992265,0.18211778197168915,0.13696834353017892,0.3484168757128793,0.1523642609622505,0.04315911327329094,0.08003221878532986,0.10610584785583406,0.11390765370613003,0.5346683488153481,0.4303066925865616,0.5930212241391227,0.43806577877214564,0.28243262773785827,0.04315911327329094,0.8471879342701278,0.5346683488153481,0.7454429434280732,4.873157982889083e-20,0.20223380863356094,0.01842496852002417,0.908892738333785,0.5887158434848642,0.8670676353419651,2.7952956421424886e-20,0.11391575787839893,0.011654901568700249,0.8976884165398861,0.5796629262080796,0.843601958768611,1.9174401862754174e-20,0.1750254512578249,0.01694118008457331,0.9032073337692986,0.5930212241391227,0.8933025328982181,4.19845837466828e-21,0.029606716067588402,0.0023314897216642648,0.9212513229341944,0.6630637801621556,0.9589504177405852,5.7191337972116364e-21,0.5873999840924949,0.3484168757128793,0.40684902085659114,0.27533435031511017,0.3814641804814276,4.787524243470836e-16,1.0,0.0,GCN_seed1,GCN,1
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.03221957291521182,0.03995891486013289,0.20223380863356094,0.23488624114716705,0.11391575787839893,0.15066019569734035,0.1750254512578249,0.2162293527480164,0.029606716067588402,0.03981146572389104,0.4712193022033834,0.29270280189430997,0.5873999840924949,0.2547126896548595,0.28243262773785827,0.3295411594971674,0.0,0.0,0.0,0.0,0.0,0.0,0.28243262773785827,0.28243262773785827,0.0,0.0,0.0,1.0,0.20223380863356094,0.20223380863356094,0.0,0.0,0.0,1.0,0.11391575787839893,0.11391575787839893,0.0,0.0,0.0,1.0,0.1750254512578249,0.1750254512578249,0.0,0.0,0.0,1.0,0.029606716067588402,0.029606716067588402,0.0,0.0,0.0,1.0,0.5873999840924949,0.5873999840924949,0.0,0.0,0.0,1.0,0.21333333333333335,0.7866666666666666,GCN_seed1,GCN,1
CVaR-risk,150,9.866666666666667,2.6155617582007062,0.005279870850864819,0.010378944778264147,0.02078218412740777,0.08312197604279682,0.012910488180376382,0.04144664136897122,0.019203307804030678,0.08182254800214539,0.002599600853517248,0.01033658619709019,0.17764024991546443,0.1376297566982609,0.3274637595240435,0.1469185360617865,0.049119407806143454,0.08761303878740791,0.09393097643096424,0.10805391561205008,0.5451350999210035,0.4117926763751118,0.6021514230026603,0.43643520066220637,0.32868533706679803,0.049119407806143454,0.8505579584251075,0.5451350999210035,0.8076639992280509,1.0600531946796106e-19,0.23814689797194052,0.02078218412740777,0.9127337609462831,0.603300751870176,0.9131971683923961,8.745217315388895e-20,0.12706767877563835,0.012910488180376382,0.898396757494322,0.5910705594855162,0.8450078312304037,8.747255697153971e-20,0.20187605004835252,0.019203307804030678,0.9048757502421111,0.6021514230026603,0.9142881811897428,8.746847984597943e-20,0.03392499350374541,0.002599600853517248,0.9233721045767151,0.6727633940087541,0.9619446112970356,1.2785116740429776e-19,0.5911683640318937,0.3274637595240435,0.4460736070328303,0.33183242130076496,0.4218616872628297,1.0652694437310637e-17,1.0,0.0,GCN_seed2,GCN,2
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.036917350812894024,0.04372587417630724,0.23814689797194052,0.2741665859512637,0.12706767877563835,0.16235215390844468,0.20187605004835252,0.23879492047156767,0.03392499350374541,0.04349829928147035,0.4738504052591556,0.29132050210569865,0.5911683640318937,0.24843643884763894,0.32868533706679803,0.3717354199720704,0.0,0.0,0.0,0.0,0.0,0.0,0.32868533706679803,0.32868533706679803,0.0,0.0,0.0,1.0,0.23814689797194052,0.23814689797194052,0.0,0.0,0.0,1.0,0.12706767877563835,0.12706767877563835,0.0,0.0,0.0,1.0,0.20187605004835252,0.20187605004835252,0.0,0.0,0.0,1.0,0.03392499350374541,0.03392499350374541,0.0,0.0,0.0,1.0,0.5911683640318937,0.5911683640318937,0.0,0.0,0.0,1.0,0.26666666666666666,0.7333333333333334,GCN_seed2,GCN,2
CVaR-risk,150,9.926666666666666,2.575299986869756,0.004838062611281226,0.010263845188316884,0.01941890182516848,0.07813347301047567,0.012137555370961006,0.04152426277646503,0.017357476325964346,0.07586704066956633,0.002446316098458055,0.010225614458872014,0.17719401733675028,0.14277007474988518,0.3178370546752685,0.15440641255127288,0.04508715963578039,0.08581653717682415,0.10293205868204508,0.11637365220206472,0.5346588467516615,0.4325492434054287,0.6009267185611729,0.4405384358049178,0.2889211395677679,0.04508715963578039,0.8439464841372436,0.5346588467516615,0.7879516651487679,1.3382366201975015e-19,0.20408017522267377,0.01941890182516848,0.9048467015236282,0.593958131572263,0.9344436498933297,5.983264051581605e-20,0.11556527950570711,0.012137555370961006,0.8949723011637195,0.583765097430865,0.8549637755251795,5.970091057004428e-20,0.1774492959869612,0.017357476325964346,0.902183459053329,0.6009267185611729,0.9190755179292658,2.801847073864263e-20,0.03030329938113475,0.002446316098458055,0.9192722855485408,0.6520398796757255,0.963177586843964,7.047250460800477e-20,0.5869187823837406,0.3178370546752685,0.45846501387321764,0.3266911491711848,0.4529504378661873,1.357768752022894e-17,1.0,0.0,GCN_seed3,GCN,3
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.03294568584155048,0.04018641700327276,0.20408017522267377,0.23579137267215047,0.11556527950570711,0.15432090225454623,0.1774492959869612,0.21616717781824757,0.03030329938113475,0.03999206340303403,0.4772361189201761,0.2956543086301256,0.5869187823837406,0.25702885082425014,0.2889211395677679,0.33368172823116604,0.0,0.0,0.0,0.0,0.0,0.0,0.2889211395677679,0.2889211395677679,0.0,0.0,0.0,1.0,0.20408017522267377,0.20408017522267377,0.0,0.0,0.0,1.0,0.11556527950570711,0.11556527950570711,0.0,0.0,0.0,1.0,0.1774492959869612,0.1774492959869612,0.0,0.0,0.0,1.0,0.03030329938113475,0.03030329938113475,0.0,0.0,0.0,1.0,0.5869187823837406,0.5869187823837406,0.0,0.0,0.0,1.0,0.24666666666666667,0.7533333333333333,GCN_seed3,GCN,3
CVaR-risk,150,9.886666666666667,2.6433065185918987,0.00526307647600862,0.01091746879132114,0.021140031582520653,0.08305036461157825,0.01311346256003405,0.04326979235014139,0.019010755898068766,0.0805215461488913,0.002684077629879477,0.010875056142355963,0.1763605777686181,0.14225268751427775,0.31380750471602714,0.1570807255414799,0.04864585618013384,0.0904226975365231,0.09531986531985308,0.10690313745722901,0.5365885448522046,0.4239867774118735,0.6003944018241619,0.4377391897893907,0.3109805432705961,0.04864585618013384,0.8435726696295313,0.5365885448522046,0.7657970316117437,1.367432888570544e-19,0.22678430627643442,0.021140031582520653,0.9067835339643864,0.5958144984217965,0.9300379902051307,8.743586935767715e-20,0.12344295796006918,0.01311346256003405,0.8937690510853628,0.5857010336063992,0.8417802473260948,4.095805482095793e-20,0.1920930614376751,0.019010755898068766,0.9010336148703743,0.6003944018241619,0.9247033802801852,4.095068960798344e-20,0.03240958401585266,0.002684077629879477,0.9171825954481926,0.6623661871925115,0.9533283309750239,6.320811158859568e-20,0.5852971597644205,0.31380750471602714,0.4638492610440873,0.32803672712127463,0.41449038297675195,1.1442459482088515e-17,1.0,0.0,GCN_seed4,GCN,4
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.035249872211543055,0.04185264234766959,0.22678430627643442,0.25894256189856923,0.12344295796006918,0.15984867114626397,0.1920930614376751,0.22846285460622068,0.03240958401585266,0.041681237050859105,0.4780108792642968,0.2949580046902061,0.5852971597644205,0.26325810867123645,0.3109805432705961,0.3489546603265694,0.0,0.0,0.0,0.0,0.0,0.0,0.3109805432705961,0.3109805432705961,0.0,0.0,0.0,1.0,0.22678430627643442,0.22678430627643442,0.0,0.0,0.0,1.0,0.12344295796006918,0.12344295796006918,0.0,0.0,0.0,1.0,0.1920930614376751,0.1920930614376751,0.0,0.0,0.0,1.0,0.03240958401585266,0.03240958401585266,0.0,0.0,0.0,1.0,0.5852971597644205,0.5852971597644205,0.0,0.0,0.0,1.0,0.25333333333333335,0.7466666666666666,GCN_seed4,GCN,4
