method,runs,hop_mean,hop_std,mean_risk_mean,mean_risk_std,max_risk_mean,max_risk_std,cvar80_mean,cvar80_std,cvar90_mean,cvar90_std,re_mean,re_std,hhi_mean,hhi_std,gini_mean,gini_std,total_risk_mean,total_risk_std,hop_increase_pct_mean,hop_increase_pct_std,risk_reduction_pct_mean,risk_reduction_pct_std,cvar90_reduction_pct_mean,cvar90_reduction_pct_std,total_risk_mean_baseline,total_risk_mean_method,total_risk_aggregate_reduction,total_risk_mean_per_od_reduction,total_risk_median_per_od_reduction,total_risk_wilcoxon_p,max_risk_mean_baseline,max_risk_mean_method,max_risk_aggregate_reduction,max_risk_mean_per_od_reduction,max_risk_median_per_od_reduction,max_risk_wilcoxon_p,cvar80_mean_baseline,cvar80_mean_method,cvar80_aggregate_reduction,cvar80_mean_per_od_reduction,cvar80_median_per_od_reduction,cvar80_wilcoxon_p,cvar90_mean_baseline,cvar90_mean_method,cvar90_aggregate_reduction,cvar90_mean_per_od_reduction,cvar90_median_per_od_reduction,cvar90_wilcoxon_p,re_mean_baseline,re_mean_method,re_aggregate_reduction,re_mean_per_od_reduction,re_median_per_od_reduction,re_wilcoxon_p,gini_mean_baseline,gini_mean_method,gini_aggregate_reduction,gini_mean_per_od_reduction,gini_median_per_od_reduction,gini_wilcoxon_p,path_overlap_with_cvar,selected_path_changed_rate,risk_source,model,model_seed
CVaR-risk,150,9.993333333333334,2.5841454305561022,0.006015985767455314,0.010843986289849969,0.019337743213400246,0.07919721315983612,0.012906550720747974,0.04276795248276682,0.018517489193731713,0.07894540917246975,0.0023286870776943742,0.010832134556508497,0.14758638865492116,0.11790203960382567,0.2296909659847276,0.1355963109190071,0.0566145783445522,0.08999225959927316,0.11049603174601735,0.12929090457143275,0.47789900990996936,0.4383954495213667,0.5798941584689572,0.43681959754807137,0.28218455961608013,0.0566145783445522,0.7993703892857311,0.47789900990996936,0.7088143735911288,1.0472354395572487e-18,0.19713484971784057,0.019337743213400246,0.9019060138682718,0.573188681363481,0.9209506743427952,1.8683207654790927e-19,0.1102331065621434,0.012906550720747974,0.8829158396769405,0.5626570302427689,0.8327396023771823,5.986003496810096e-20,0.16993905062373313,0.018517489193731713,0.891034526045324,0.5798941584689572,0.8933216802686224,1.3125251462671544e-20,0.02824065889119451,0.0023286870776943742,0.917541333310109,0.6732170363165518,0.9755115857972623,5.985729498508396e-20,0.5245247256349975,0.2296909659847276,0.5620969712967824,0.37691011621298715,0.5846730367707824,4.082876296523302e-18,1.0,0.0,TEG-low_seed0,TEG-low,0
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.03225692592953105,0.040978654861848145,0.19713484971784057,0.24431121030600927,0.1102331065621434,0.15520266488912673,0.16993905062373313,0.22318186762836684,0.02824065889119451,0.04087079067317334,0.43375075748200553,0.28238468817836393,0.5245247256349975,0.27887421472428076,0.28218455961608013,0.3324388255602987,0.0,0.0,0.0,0.0,0.0,0.0,0.28218455961608013,0.28218455961608013,0.0,0.0,0.0,1.0,0.19713484971784057,0.19713484971784057,0.0,0.0,0.0,1.0,0.1102331065621434,0.1102331065621434,0.0,0.0,0.0,1.0,0.16993905062373313,0.16993905062373313,0.0,0.0,0.0,1.0,0.02824065889119451,0.02824065889119451,0.0,0.0,0.0,1.0,0.5245247256349975,0.5245247256349975,0.0,0.0,0.0,1.0,0.23333333333333334,0.7666666666666666,TEG-low_seed0,TEG-low,0
CVaR-risk,150,9.986666666666666,2.5957804342123816,0.005905645368481476,0.01045233488429073,0.01935753458645195,0.0776784409756966,0.012766140679984044,0.042039703770800435,0.018028581410956878,0.07693257594640078,0.002265454416901947,0.010466056832026192,0.1525225736115984,0.13149889861156297,0.22908765004874662,0.14337013938810814,0.055774105133054946,0.08512673179808174,0.11050026825025375,0.14680212422699587,0.48729102981977446,0.43998481810841406,0.5857018128188746,0.4378637297904278,0.29657622509427406,0.055774105133054946,0.8119400666181597,0.48729102981977446,0.725449147916607,6.92533931627061e-19,0.20631842844343434,0.01935753458645195,0.9061764151006737,0.5787868247285031,0.9051589247586238,4.0858730921774447e-20,0.11657171390728197,0.012766140679984044,0.8904868063359831,0.5666089685046859,0.8347216965347344,5.079153400818513e-20,0.17756509629181688,0.018028581410956878,0.8984677631564115,0.5857018128188746,0.9041686493094465,6.134639277467513e-21,0.029968587347477437,0.002265454416901947,0.9244056988219352,0.6667706400332576,0.966860434750604,1.2595818053333084e-20,0.5301278978518845,0.22908765004874662,0.5678634326214603,0.3842480586797162,0.5469773008610571,1.122952788295642e-17,1.0,0.0,TEG-low_seed1,TEG-low,1
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.033853555105000536,0.040919108291190436,0.20631842844343434,0.23743494030379195,0.11657171390728197,0.15567934529778674,0.17756509629181688,0.21852506050448645,0.029968587347477437,0.040821761395756405,0.4403613835379741,0.2856384212626557,0.5301278978518845,0.2814750424809002,0.29657622509427406,0.33198772512865776,0.0,0.0,0.0,0.0,0.0,0.0,0.29657622509427406,0.29657622509427406,0.0,0.0,0.0,1.0,0.20631842844343434,0.20631842844343434,0.0,0.0,0.0,1.0,0.11657171390728197,0.11657171390728197,0.0,0.0,0.0,1.0,0.17756509629181688,0.17756509629181688,0.0,0.0,0.0,1.0,0.029968587347477437,0.029968587347477437,0.0,0.0,0.0,1.0,0.5301278978518845,0.5301278978518845,0.0,0.0,0.0,1.0,0.22,0.78,TEG-low_seed1,TEG-low,1
CVaR-risk,150,9.92,2.591985582858239,0.006378678884224387,0.011028473793412905,0.02247156572062522,0.08549080202141748,0.013972015636843731,0.04339262996288742,0.0203857091982435,0.08322925934067196,0.0026571219062945834,0.01101835289861667,0.15574516303156438,0.13956911255278073,0.23057483197131826,0.1451052178729056,0.06007806139494221,0.091894197000701,0.1020743145743011,0.1265252376398206,0.5005575040054655,0.4283545721836924,0.5893325797511552,0.43893072527585775,0.3269775371070136,0.06007806139494221,0.8162624199591545,0.5005575040054655,0.7297448870109933,2.5156887486348104e-19,0.23223398405282447,0.02247156572062522,0.9032373930405593,0.5876359906535975,0.9141745751066038,1.2780868925787426e-19,0.12498246402971237,0.013972015636843731,0.888208191875539,0.5704250432464963,0.8392446713978106,8.747663427812937e-20,0.19556417613186772,0.0203857091982435,0.8957594913222077,0.5893325797511552,0.9110790128469558,4.0954372056617576e-20,0.0328509381935819,0.0026571219062945834,0.9191157984117233,0.6688707010228592,0.9701749114679692,8.748071176575978e-20,0.5348543306671448,0.23057483197131826,0.5689016265713281,0.38865474082306595,0.589591305084581,1.0345560894704389e-17,1.0,0.0,TEG-low_seed2,TEG-low,2
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.03683479453038568,0.04317180153216255,0.23223398405282447,0.26677177042441763,0.12498246402971237,0.16070757745238604,0.19556417613186772,0.2343090871994233,0.0328509381935819,0.04308117954988609,0.4467287505875795,0.29006142280822816,0.5348543306671448,0.28265907000479235,0.3269775371070136,0.3625690313974438,0.0,0.0,0.0,0.0,0.0,0.0,0.3269775371070136,0.3269775371070136,0.0,0.0,0.0,1.0,0.23223398405282447,0.23223398405282447,0.0,0.0,0.0,1.0,0.12498246402971237,0.12498246402971237,0.0,0.0,0.0,1.0,0.19556417613186772,0.19556417613186772,0.0,0.0,0.0,1.0,0.0328509381935819,0.0328509381935819,0.0,0.0,0.0,1.0,0.5348543306671448,0.5348543306671448,0.0,0.0,0.0,1.0,0.25333333333333335,0.7466666666666666,TEG-low_seed2,TEG-low,2
CVaR-risk,150,9.986666666666666,2.616382734420825,0.005806048186886209,0.010510198812011371,0.019601228265091777,0.07826322013257217,0.012706847505773314,0.04219290949630638,0.01807141061898114,0.0772768677997418,0.002259362180246778,0.010495967921454985,0.1540260776783415,0.1352131692342313,0.22490332735819046,0.15095088056756265,0.05472441652821772,0.0860199956684398,0.10796587671586283,0.11442015898093442,0.4977629295703852,0.4303661608068189,0.5976864548048519,0.4325475927906418,0.28856639062204825,0.05472441652821772,0.8103576219979696,0.4977629295703852,0.7335233233910925,4.633664752604379e-19,0.20185598557659734,0.019601228265091777,0.9028949861952115,0.589153708146324,0.9169089585813547,4.0860568164546474e-20,0.11344134714299192,0.012706847505773314,0.8879875122547299,0.5768543480440498,0.843052896773441,2.1586341323113582e-20,0.1704523847697096,0.01807141061898114,0.8939797137817075,0.5976864548048519,0.9125408453188079,2.874386927467142e-21,0.02901788455835419,0.002259362180246778,0.9221389768566555,0.683795577955007,0.9777134964557779,4.208502873400151e-21,0.5336575871391004,0.22490332735819046,0.5785624850487755,0.38401892486954775,0.5829792346754692,1.005567797101668e-17,1.0,0.0,TEG-low_seed3,TEG-low,3
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.03279772681720447,0.038781391051710946,0.20185598557659734,0.23459372015827568,0.11344134714299192,0.14952400649730366,0.1704523847697096,0.21066149894948635,0.02901788455835419,0.03870031041318826,0.44756070949384336,0.2872688623458033,0.5336575871391004,0.28483547743742943,0.28856639062204825,0.31625481413899786,0.0,0.0,0.0,0.0,0.0,0.0,0.28856639062204825,0.28856639062204825,0.0,0.0,0.0,1.0,0.20185598557659734,0.20185598557659734,0.0,0.0,0.0,1.0,0.11344134714299192,0.11344134714299192,0.0,0.0,0.0,1.0,0.1704523847697096,0.1704523847697096,0.0,0.0,0.0,1.0,0.02901788455835419,0.02901788455835419,0.0,0.0,0.0,1.0,0.5336575871391004,0.5336575871391004,0.0,0.0,0.0,1.0,0.20666666666666667,0.7933333333333333,TEG-low_seed3,TEG-low,3
CVaR-risk,150,9.94,2.5989930936174384,0.00625772950934518,0.011378127342258616,0.020695404806174336,0.08124766861445472,0.01357453220218627,0.044812082538255374,0.019209440512996584,0.07970602111927552,0.0024897062601600332,0.011387404972459183,0.15031341750647012,0.13308911709152524,0.20966021871744223,0.1431052401349948,0.05838393776175508,0.09144352646732233,0.10232431457430148,0.1108565893433615,0.4855361942547216,0.4304372875850417,0.5865354063794118,0.4378558677613165,0.3104453956530172,0.05838393776175508,0.8119349213095679,0.4855361942547216,0.7155440124247993,8.403018270466914e-19,0.22315876936229567,0.020695404806174336,0.9072615211751646,0.5828819911161393,0.9174999479262527,1.8675981440412378e-19,0.12192611350108763,0.01357453220218627,0.8886659156657705,0.5651536727066957,0.8312244397643392,1.2783902941957056e-19,0.1898944412337409,0.019209440512996584,0.8988414806189585,0.5865354063794118,0.8977482492079776,4.095068960798344e-20,0.03139771207230307,0.0024897062601600332,0.9207042138819731,0.6696593831439721,0.9700517279616387,8.747663427812937e-20,0.522656083832149,0.20966021871744223,0.5988562551863963,0.4075963529347527,0.6126427418889949,1.9243138233670737e-18,1.0,0.0,TEG-low_seed4,TEG-low,4
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.035376504231189126,0.04249300342349647,0.22315876936229567,0.2656310243849055,0.12192611350108763,0.16420028544368753,0.1898944412337409,0.23365045700170614,0.03139771207230307,0.04242641666135885,0.44376657547692,0.28929180488500483,0.522656083832149,0.2922377566709503,0.3104453956530172,0.348985967192747,0.0,0.0,0.0,0.0,0.0,0.0,0.3104453956530172,0.3104453956530172,0.0,0.0,0.0,1.0,0.22315876936229567,0.22315876936229567,0.0,0.0,0.0,1.0,0.12192611350108763,0.12192611350108763,0.0,0.0,0.0,1.0,0.1898944412337409,0.1898944412337409,0.0,0.0,0.0,1.0,0.03139771207230307,0.03139771207230307,0.0,0.0,0.0,1.0,0.522656083832149,0.522656083832149,0.0,0.0,0.0,1.0,0.25333333333333335,0.7466666666666666,TEG-low_seed4,TEG-low,4
CVaR-risk,150,9.933333333333334,2.61299454499431,0.0044191195744143034,0.009932332954723974,0.018544606477565444,0.07739738174798531,0.011658648486352629,0.04031658430473914,0.017033171461662278,0.0757860811067117,0.0023434846687436393,0.009887460272079306,0.19797096128953542,0.1395266322544067,0.401255879924629,0.14946380293448788,0.04070158177979599,0.08343846888892088,0.10265873015871677,0.1243511905596323,0.5397115079819647,0.4226152067857379,0.5993408063047384,0.42701199912897836,0.27343243653436067,0.04070158177979599,0.8511457444605978,0.5397115079819647,0.7409727586855562,4.2477822569577363e-20,0.1976272874562225,0.018544606477565444,0.9061637351948195,0.5898682784678779,0.873825211750081,1.27790488451893e-19,0.1108420288191539,0.011658648486352629,0.8948174387328356,0.5790272114647691,0.8317987389049528,4.095805482095793e-20,0.17080201587109414,0.017033171461662278,0.9002753487674429,0.5993408063047384,0.8507519674604084,1.3124691783787857e-20,0.028871944995667947,0.0023434846687436393,0.9188317700794285,0.6599559675116831,0.9626331697729132,8.74847894344336e-20,0.6135839695682344,0.401255879924629,0.34604569247900974,0.222062186724267,0.3091153125689999,4.4121305293174e-16,1.0,0.0,Stable-Tail-GNN_seed0,Stable-Tail GNN,0
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.0312985542148101,0.04101351115976451,0.1976272874562225,0.24160687257196972,0.1108420288191539,0.1535549920692125,0.17080201587109414,0.221889687982015,0.028871944995667947,0.04077087531828939,0.47757516221859664,0.2849113578624565,0.6135839695682344,0.23384795640208544,0.27343243653436067,0.3333666908053073,0.0,0.0,0.0,0.0,0.0,0.0,0.27343243653436067,0.27343243653436067,0.0,0.0,0.0,1.0,0.1976272874562225,0.1976272874562225,0.0,0.0,0.0,1.0,0.1108420288191539,0.1108420288191539,0.0,0.0,0.0,1.0,0.17080201587109414,0.17080201587109414,0.0,0.0,0.0,1.0,0.028871944995667947,0.028871944995667947,0.0,0.0,0.0,1.0,0.6135839695682344,0.6135839695682344,0.0,0.0,0.0,1.0,0.23333333333333334,0.7666666666666666,Stable-Tail-GNN_seed0,Stable-Tail GNN,0
CVaR-risk,150,9.9,2.5951684586668087,0.004820086869650189,0.011118553061164474,0.0200036225533889,0.08325886689661229,0.012827840740339725,0.04365792323212978,0.018914755429011876,0.08258723877203385,0.0027553290443015515,0.011093491855093448,0.2009954523414944,0.13576230097596487,0.4114202306869285,0.14241466718963924,0.04393092761873419,0.0902159522843729,0.09845743145741864,0.11056639962708831,0.5355724819685411,0.4351935719576206,0.5895893611279729,0.43903554455705796,0.30254069117327836,0.04393092761873419,0.8547933256540762,0.5355724819685411,0.7389584613924125,2.9386249612217582e-19,0.21681999546592123,0.0200036225533889,0.9077408773516892,0.5897198100457446,0.8742737136722272,2.729378163937182e-19,0.1216305456426926,0.012827840740339725,0.8945343813640538,0.572001948810772,0.8121882049712816,2.73058861461208e-19,0.188167979056145,0.018914755429011876,0.8994794144849286,0.5895893611279729,0.875100493757791,5.983811845029786e-20,0.03223400430439279,0.0027553290443015515,0.9145210437028892,0.6373559453784372,0.956372136589029,8.520880371261791e-20,0.6180562292716327,0.4114202306869285,0.334332037762788,0.23904227419882298,0.28615007204561377,2.1248104072264307e-16,1.0,0.0,Stable-Tail-GNN_seed1,Stable-Tail GNN,1
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.03462514037720758,0.04378968030055937,0.21681999546592123,0.2529483217364872,0.1216305456426926,0.16461722060247616,0.188167979056145,0.23471121884329,0.03223400430439279,0.0436089956461251,0.47924554356532556,0.2860232675233912,0.6180562292716327,0.22670387750567197,0.30254069117327836,0.36325208813593396,0.0,0.0,0.0,0.0,0.0,0.0,0.30254069117327836,0.30254069117327836,0.0,0.0,0.0,1.0,0.21681999546592123,0.21681999546592123,0.0,0.0,0.0,1.0,0.1216305456426926,0.1216305456426926,0.0,0.0,0.0,1.0,0.188167979056145,0.188167979056145,0.0,0.0,0.0,1.0,0.03223400430439279,0.03223400430439279,0.0,0.0,0.0,1.0,0.6180562292716327,0.6180562292716327,0.0,0.0,0.0,1.0,0.26,0.74,Stable-Tail-GNN_seed1,Stable-Tail GNN,1
