P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,675,332,152,42,40,67,13
2,0,626,264,154,88,47,75,67
3,0,597,314,151,95,63,53,47
4,0,628,301,137,81,60,87,27
5,0,575,387,118,63,50,80,47
