customer_set,model,beta,lambda_concentration,model_seed_runs,cost_increase_mean,cost_increase_std,cost_increase_mean_std,global_risk_mean,global_risk_std,global_risk_mean_std,risk_reduction_mean,risk_reduction_std,risk_reduction_mean_std,cvar90_mean,cvar90_std,cvar90_mean_std,max_vehicle_risk_mean,max_vehicle_risk_std,max_vehicle_risk_mean_std,edge_burden_gini_mean,edge_burden_gini_std,edge_burden_gini_mean_std,top10_share_mean,top10_share_std,top10_share_mean_std
B,Stable-Tail-NodeCalibRaw-a020,2.0,0.0,10,0.3193681172291044,0.030681358524627177,31.937% +/- 3.068%,3.1026865326858744,0.44736973452326584,3.102687 +/- 0.447370,0.6375154862569832,0.0344388254180897,63.752% +/- 3.444%,0.06953985071686593,0.014351245416847071,0.069540 +/- 0.014351,1.1262538048043387,0.2399570299094719,1.126254 +/- 0.239957,0.7985719043525105,0.021548666179644075,0.798572 +/- 0.021549,0.7617096841955178,0.02955983848940886,76.171% +/- 2.956%
B,Stable-Tail-NodeCalibRaw-a030,0.0,0.0,10,0.0,0.0,0.000% +/- 0.000%,8.610672719411676,1.1104981712837843,8.610673 +/- 1.110498,0.0,0.0,0.000% +/- 0.000%,0.2553991543960359,0.04488158278717705,0.255399 +/- 0.044882,2.8267477667091954,0.4781149398830663,2.826748 +/- 0.478115,0.8720009146684927,0.005441925845326543,0.872001 +/- 0.005442,0.8938153655008373,0.00790509336904487,89.382% +/- 0.791%
B,Stable-Tail-NodeCalibRaw-a030,0.25,0.0,10,0.06599537291516254,0.006518518447211811,6.600% +/- 0.652%,7.346935413524043,0.9021257056533006,7.346935 +/- 0.902126,0.14607891354313343,0.017996311351402925,14.608% +/- 1.800%,0.1971618402353937,0.040447171868438464,0.197162 +/- 0.040447,2.511157298502725,0.34364274090218183,2.511157 +/- 0.343643,0.8692806617279654,0.005899375801575431,0.869281 +/- 0.005899,0.8868850340117694,0.008561263760798637,88.689% +/- 0.856%
B,Stable-Tail-NodeCalibRaw-a030,0.5,0.0,10,0.12587182574029165,0.010840808350658242,12.587% +/- 1.084%,5.604667560195651,0.7505258974824471,5.604668 +/- 0.750526,0.3482765380220007,0.04039404352041896,34.828% +/- 4.039%,0.15117162642554158,0.026208003867806293,0.151172 +/- 0.026208,1.9047540240214993,0.3028435311633469,1.904754 +/- 0.302844,0.8552960698876317,0.007158047804628343,0.855296 +/- 0.007158,0.857514664627144,0.01191214558534434,85.751% +/- 1.191%
B,Stable-Tail-NodeCalibRaw-a030,1.0,0.0,10,0.20254366864352313,0.016611288732615057,20.254% +/- 1.661%,3.8233409117307913,0.4535691200208366,3.823341 +/- 0.453569,0.5538092516253944,0.04358919833535128,55.381% +/- 4.359%,0.09416146284216725,0.014145518324515162,0.094161 +/- 0.014146,1.4290902867331141,0.21733510911333553,1.429090 +/- 0.217335,0.8213241669828324,0.01717248912232566,0.821324 +/- 0.017172,0.8011564569715062,0.022527440385121302,80.116% +/- 2.253%
B,Stable-Tail-NodeCalibRaw-a030,2.0,0.0,10,0.3172900253376083,0.02991846514296627,31.729% +/- 2.992%,3.1541298926848036,0.47787197806010623,3.154130 +/- 0.477872,0.6331700094499157,0.03652498096643098,63.317% +/- 3.652%,0.07088812195680864,0.015314328286252763,0.070888 +/- 0.015314,1.1435808787757624,0.2733746630558755,1.143581 +/- 0.273375,0.8003141361733335,0.02073548716682768,0.800314 +/- 0.020735,0.7642248237582056,0.028115888512873527,76.422% +/- 2.812%
B,Stable-Tail-TailOnlyRaw-a005,0.0,0.0,10,0.0,0.0,0.000% +/- 0.000%,8.516586727277375,1.0439325377158588,8.516587 +/- 1.043933,0.0,0.0,0.000% +/- 0.000%,0.25822106190771227,0.03839599451789575,0.258221 +/- 0.038396,2.861946822272585,0.4288982178583446,2.861947 +/- 0.428898,0.8724413983735531,0.005662265228318952,0.872441 +/- 0.005662,0.8940242427183047,0.008253636237161088,89.402% +/- 0.825%
B,Stable-Tail-TailOnlyRaw-a005,0.25,0.0,10,0.06681351882000015,0.0058458207185668526,6.681% +/- 0.585%,7.1550278271984045,0.739057185982639,7.155028 +/- 0.739057,0.15774385899191926,0.030222486323346617,15.774% +/- 3.022%,0.19246016158989204,0.031546387120939476,0.192460 +/- 0.031546,2.4318663528378965,0.27030821123522597,2.431866 +/- 0.270308,0.8687988149916054,0.0050220948473267335,0.868799 +/- 0.005022,0.8850981273854409,0.007215388387427907,88.510% +/- 0.722%
B,Stable-Tail-TailOnlyRaw-a005,0.5,0.0,10,0.12760494661226945,0.01099095783265149,12.760% +/- 1.099%,5.576073213141047,0.7540254231914391,5.576073 +/- 0.754025,0.34480244412330335,0.04249066383639441,34.480% +/- 4.249%,0.14519686557017894,0.025624235652953006,0.145197 +/- 0.025624,1.9432947061575805,0.31789383629603635,1.943295 +/- 0.317894,0.853496408188711,0.009026420294726058,0.853496 +/- 0.009026,0.857159557053537,0.012986397017031333,85.716% +/- 1.299%
B,Stable-Tail-TailOnlyRaw-a005,1.0,0.0,10,0.20379745017788364,0.015961137039451574,20.380% +/- 1.596%,3.7631214560978132,0.4428676750000283,3.763121 +/- 0.442868,0.5551887218399356,0.051474705068157905,55.519% +/- 5.147%,0.09268035223931599,0.014153284907464595,0.092680 +/- 0.014153,1.3845884897549552,0.20995049937857801,1.384588 +/- 0.209950,0.8198647414253935,0.015677566204145833,0.819865 +/- 0.015678,0.7996618808413595,0.02027371511211007,79.966% +/- 2.027%
