P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,806,472,162,28,22,40,0
2,0,650,436,205,92,52,94,0
3,0,630,472,220,82,60,66,0
4,0,654,448,187,119,77,44,0
5,0,582,568,181,56,68,74,0
