edge_id,src,dst,w_raw,w_norm,severity,severity_norm,severity_base_max,severity_high_tail,severity_avg,R_ij,P_level,C_level,RiskLevel
0,3494,3574,0.0,0.009999999776482582,2.418729066848755,0.19827188690376382,0.20267558097839355,0.0786755234003067,0.19016509503126144,0.001982718824720418,1,3,3
1,0,3494,0.0,0.009999999776482582,3.4873785972595215,0.3457590894638804,0.35533979535102844,0.1947152316570282,0.2664972022175789,0.003457590817355625,1,4,4
2,0,3780,0.0,0.009999999776482582,3.4873785972595215,0.34611250914323227,0.35533979535102844,0.1947152316570282,0.2684214785695076,0.0034611250140701485,1,4,4
3,1,3780,0.0,0.009999999776482582,3.7012860774993896,0.3948030597665839,0.38589802384376526,0.32231032848358154,0.283700592815876,0.003948030509420479,1,4,4
4,1,3494,0.0,0.009999999776482582,3.7012860774993896,0.39444964008723205,0.38589802384376526,0.32231032848358154,0.2817763164639473,0.003944496312705955,1,4,4
5,3494,3780,0.9999998807907104,0.9999998807907104,2.270522117614746,0.190172051436657,0.18150316178798676,0.12984995543956757,0.17957888543605804,0.19017202876638184,5,3,15
6,2,3573,0.0,0.009999999776482582,3.7801904678344727,0.40463410594417104,0.3971700668334961,0.2596313953399658,0.35481879115104675,0.00404634096899894,1,4,4
7,2,3494,0.0,0.009999999776482582,3.7801904678344727,0.3908322089306531,0.3971700668334961,0.2518901824951172,0.2874123379588127,0.003908322001948725,1,4,4
8,3,4,0.0,0.009999999776482582,1.9792506694793701,0.12198769082881025,0.13989295065402985,0.00885921809822321,0.09576472081243992,0.0012198768810217288,1,2,2
9,4,5,0.0,0.009999999776482582,1.9792506694793701,0.11847221538681,0.13989295065402985,0.00885921809822321,0.07662389008328319,0.0011847221273874964,1,2,2
10,5,6,0.0,0.009999999776482582,4.666067123413086,0.5285593571906072,0.5237239003181458,0.5144355893135071,0.26853936491534114,0.005285593453763849,1,5,5
11,7,3780,0.0,0.009999999776482582,3.8259873390197754,0.4139392016995768,0.4037124812602997,0.3463364839553833,0.2926078215241432,0.0041393919244731466,1,4,4
