rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,3375,0,8,7.890837669372559,0.9844053983688354,0.9999826550483704
2,2910,0,8,7.713376998901367,0.9590538740158081,0.9932095408439636
3,2691,0,8,7.657051086425781,0.9510073065757751,0.9967690706253052
4,253,0,8,7.654551982879639,0.9506502747535706,0.9867618083953857
5,878,0,8,7.460179805755615,0.9228828549385071,0.9577221870422363
6,2268,0,7,7.146252632141113,0.8780360817909241,0.9431295394897461
7,2657,0,7,7.068805694580078,0.8669722676277161,0.9918976426124573
8,2795,0,7,7.035223007202148,0.8621746897697449,0.9993529915809631
9,2412,0,7,7.0032639503479,0.8576091527938843,0.9997514486312866
10,3367,0,7,6.999970436096191,0.8571386337280273,0.9999788999557495
11,3335,7,7,6.998816013336182,0.8569737076759338,0.9984707236289978
12,3208,7,7,6.996286392211914,0.8566123247146606,0.9991248846054077
13,4636,0,7,6.992764472961426,0.8561092019081116,0.9940928816795349
14,3439,0,7,6.978867053985596,0.8541238903999329,0.9181936383247375
15,3300,7,7,6.969089508056641,0.8527270555496216,0.9933981895446777
16,2241,0,7,6.962307453155518,0.8517581820487976,0.9570953845977783
17,3487,8,8,6.959460258483887,0.8513514399528503,0.8654453754425049
18,1099,0,7,6.9563117027282715,0.8509016633033752,0.9684640169143677
19,1317,0,7,6.931665420532227,0.8473807573318481,0.9530882835388184
20,3016,0,7,6.887815952301025,0.8411165475845337,0.9330918192863464
