P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,831,380,175,54,31,25,34
2,0,788,290,147,133,92,44,35
3,0,753,363,153,122,60,41,38
4,0,771,308,169,114,78,57,32
5,0,719,417,153,81,59,52,48
