P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,721,472,161,113,25,38,0
2,0,503,536,184,187,32,87,0
3,0,413,550,249,228,27,63,0
4,0,408,535,205,270,74,37,0
5,0,445,537,217,216,54,60,0
