model,p95_mean,tail_gap_mean,p95_std,tail_gap_std
GCN,0.10680303059518323,0.3017439494878055,0.01597770487184512,0.018039204202272965
Weighted-GCN,0.08736661911010735,0.30836842578649526,0.013139658011224006,0.02618652409835197
Edge-GAT,0.10905881538987154,0.3084800047576427,0.01217637883834198,0.020955927259496517
TEG-low,0.09173114389181135,0.3111752230525016,0.007904745591584578,0.028591190730264063
Stable-Tail GNN,0.06255985859781493,0.3511248800978065,0.005832645762081249,0.0202644659984882
Fusion-rho0.25,0.10330271652791947,0.30155599189392623,0.01272890213002195,0.02139653070055332
Fusion-rho0.5,0.10201813577944496,0.2984748617657792,0.00990424899516024,0.022230080117683643
Fusion-rho0.75,0.09791473205060233,0.3039335349579782,0.008460620144885259,0.027063986107505315
Ensemble-4,0.10106836178674419,0.3002789987768547,0.006516079795245535,0.019536670663184267
