model,split,seed,epochs,experiment_tag,alpha_ord,alpha_hr,alpha_topk,lambda_nll,lambda_var,topk_frac,stage1_epochs,eval_split,macro_f1,weighted_f1,mae,qwk,recall_6_8,precision_6_8,pr_auc_high,high_fn_rate,brier,ece,ordinal_nll,uncertainty_mean,correct_uncertainty,error_uncertainty,error_uncertainty_corr,high_fn_uncertainty
ua_gnn,A,0,1,,0.3,0.5,0.1,0.2,0.01,0.2,0,data_2020_train,0.12545202291442892,0.3366401077320166,2.7332334910108003,0.07198374701111676,0.16129032258064516,0.22727272727272727,0.1503928548506384,0.8387096774193549,0.8624402284622192,0.14345838374166345,3.9290554161808853,1.066597580909729,1.0532314777374268,1.071582555770874,0.0515643638910843,1.1218435764312744
ua_gnn,A,0,1,,0.3,0.5,0.1,0.2,0.01,0.2,0,data_2020_val,0.13924800974434554,0.30282705869647913,2.7496228297684517,-0.0008894818768068191,0.2222222222222222,0.5,0.3048415888048861,0.7777777777777778,0.8661797642707825,0.15354303607628458,3.9571542879635535,1.0757873058319092,1.053075909614563,1.0838462114334106,0.08674570177659524,1.2203208208084106
ua_gnn,A,0,1,,0.3,0.5,0.1,0.2,0.01,0.2,0,data_2021_test,0.18097750653743125,0.33981606056915514,2.7051999564124842,0.052925466753101835,0.13725490196078433,0.25,0.22615160001465495,0.8627450980392157,0.8650422692298889,0.15650469293443667,3.853464655931634,1.0661346912384033,1.0464526414871216,1.0738712549209595,0.07129087958766757,1.0878925323486328
ua_teg_gnn,A,0,1,,0.3,0.5,0.1,0.2,0.01,0.2,0,data_2020_train,0.0802369589140712,0.1260341945138957,2.8107555841909404,0.16739793809763748,0.3870967741935484,0.19672131147540983,0.09944469009040928,0.6129032258064516,0.8532926440238953,0.032692004673516566,3.8627814276926666,1.1099839210510254,1.179639220237732,1.0925700664520264,-0.20997477788968524,1.1268669366836548
ua_teg_gnn,A,0,1,,0.3,0.5,0.1,0.2,0.01,0.2,0,data_2020_val,0.09924758755651528,0.18567540384127199,2.830465805628115,0.3158539073658436,0.5555555555555556,0.3125,0.33233752032489916,0.4444444444444444,0.8470117449760437,0.07174874647032647,3.8775569761649558,1.103569746017456,1.2122628688812256,1.0696032047271729,-0.4305190086990429,1.1035159826278687
ua_teg_gnn,A,0,1,,0.3,0.5,0.1,0.2,0.01,0.2,0,data_2021_test,0.07437943322015665,0.13713605355503344,2.7944882473701322,0.15368039879855877,0.3137254901960784,0.22535211267605634,0.15667658731394807,0.6862745098039216,0.8536070585250854,0.03269778410683366,3.7962752071952406,1.1165598630905151,1.1946415901184082,1.0974781513214111,-0.22455535699083956,1.146391749382019
