model,method,model_seed_runs,hop_increase_mean,hop_increase_std,hop_increase_mean_std,total_risk_reduction_mean,total_risk_reduction_std,total_risk_reduction_mean_std,cvar90_reduction_mean,cvar90_reduction_std,cvar90_reduction_mean_std,maxrisk_reduction_mean,maxrisk_reduction_std,maxrisk_reduction_mean_std,re_reduction_mean,re_reduction_std,re_reduction_mean_std
Edge-GAT,CVaR-risk,10,0.0997806869056738,0.005501396710527626,9.978% +/- 0.550%,0.8428021053527414,0.004390685042967317,84.280% +/- 0.439%,0.8984801596429364,0.0037481618268785967,89.848% +/- 0.375%,0.9043578999810438,0.0033862619174635246,90.436% +/- 0.339%,0.9184975894628447,0.004369031978224136,91.850% +/- 0.437%
Edge-GAT,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
Ensemble-4,CVaR-risk,10,0.10473545621044253,0.007009816463529203,10.474% +/- 0.701%,0.8286721551232205,0.005800240830336357,82.867% +/- 0.580%,0.8975839678597438,0.002836226750713847,89.758% +/- 0.284%,0.9046726844570246,0.0028758426558759317,90.467% +/- 0.288%,0.9182371720581943,0.003839322758937547,91.824% +/- 0.384%
Ensemble-4,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
Fusion-rho025,CVaR-risk,10,0.10305391645390291,0.008408317458720187,10.305% +/- 0.841%,0.8378137799178164,0.003885515657535822,83.781% +/- 0.389%,0.899652241397693,0.0025144073783898457,89.965% +/- 0.251%,0.9055870914144473,0.0028840227955901246,90.559% +/- 0.288%,0.9192643466240494,0.002191237214708274,91.926% +/- 0.219%
Fusion-rho025,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
GCN,CVaR-risk,10,0.10134832019830686,0.007049847746994331,10.135% +/- 0.705%,0.8449383422997082,0.003935198667506779,84.494% +/- 0.394%,0.9010969965566036,0.002456323253679772,90.110% +/- 0.246%,0.9062926617259593,0.0030755488904583767,90.629% +/- 0.308%,0.9202419673726222,0.0023329063366457456,92.024% +/- 0.233%
GCN,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
Stable-Tail-GNN,CVaR-risk,10,0.1022606846856713,0.007237780864731882,10.226% +/- 0.724%,0.8501282970256763,0.0040895252364905425,85.013% +/- 0.409%,0.900526821670283,0.0026609977615097546,90.053% +/- 0.266%,0.9078276071702177,0.002687052384411322,90.783% +/- 0.269%,0.9171996119653371,0.00501844744493687,91.720% +/- 0.502%
Stable-Tail-GNN,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
TEG-low,CVaR-risk,10,0.1079551393051252,0.00936055322412349,10.796% +/- 0.936%,0.8120414135621532,0.007095318932470227,81.204% +/- 0.710%,0.8952404775840571,0.0026486589057887378,89.524% +/- 0.265%,0.9060277798398416,0.0035223293371086086,90.603% +/- 0.352%,0.9220555173264976,0.0026385530969962076,92.206% +/- 0.264%
TEG-low,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
Weighted-GCN,CVaR-risk,10,0.10769532134530727,0.006990830701831717,10.770% +/- 0.699%,0.8086254718807367,0.010658703534144363,80.863% +/- 1.066%,0.8949380470721789,0.004364811424774326,89.494% +/- 0.436%,0.9034972923247998,0.004626807955233206,90.350% +/- 0.463%,0.9214212543095243,0.003290753069786069,92.142% +/- 0.329%
Weighted-GCN,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
