risk_matrix,mean,p95,p99,tail_gap
TEG-low,9.59833626227056,-4.78878288682834,11.33868721624801,17.146045483436776
Stable-Tail GNN,-8.882629723317706,-30.373250694858374,9.420960833400049,23.75050178613113
