risk_matrix,p95,tail_gap
GCN,0.09901774227619164,0.2749797075986863
TEG-low,0.0942759975790977,0.32212785333394994
Stable-Tail GNN,0.06894283518195146,0.34028876796364793
Edge-GAT,0.10208544209599486,0.2983056001365186
Weighted-GCN,0.10398826301097855,0.2610377341508867
