method,group,src,dst,path,hop,cvar90,max_risk,re,p90_edge_count
Hop-shortest,normal_high,837,2751,837 3974 4901 3934 4336 4330 4338 3816 5188 4634 3950 2751,11,0.08687393926084042,0.1372828483581543,0.015369001437317242,2
CVaR-risk,normal_high,837,2751,837 3974 4901 3934 4336 4330 4338 3816 3381 5188 4634 3950 2751,12,0.01546795821438233,0.036465030163526535,0.0029640281572937965,1
CVaR+Concentration,normal_high,837,2751,837 836 3974 4901 3934 4336 4330 4338 3816 3381 5188 4634 3950 2751,13,0.01546795821438233,0.036465030163526535,0.00273602599134812,1
