risk_mode,zero_risk_ratio,tail_gap,std,p95,p99,max
raw,0.9314763959722767,0.2363836526870728,0.08298846444058203,0.19193598031997677,0.42831963300704956,0.8566391468048096
floor_0.001,0.0,0.23662005811929707,0.08291559419908802,0.19212792366743084,0.4287479817867279,0.8566391468048096
floor_0.01,0.0,0.2387474820017815,0.08226668223797773,0.19385534077882763,0.43260282278060913,0.8566391468048096
floor_0.05,0.0,0.24648503512144093,0.0795405485931456,0.2015327706933021,0.44801780581474304,0.8566391468048096
positive_only,0.0,0.23276108503341675,0.15917631728133166,0.6206060647964478,0.8533671498298645,0.8566391468048096
