P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,29,136,643,402,26,73,12
2,0,37,242,539,308,49,137,9
3,0,38,243,551,335,76,75,2
4,0,34,230,567,286,86,82,36
5,0,70,287,500,295,46,110,12
