P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,106,827,475,41,24,55,2
2,0,159,771,326,110,50,112,1
3,0,133,756,395,112,44,89,1
4,0,113,758,364,168,37,78,11
5,0,172,783,315,83,64,108,4
