scope,budget,metric,target_mean,reference_mean,reference_minus_target_mean,relative_improvement,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,effect_size_dz,holm_p,significant_0p05
Set A,0.2,common_global_risk_mean,3.507450312864818,3.2725572316303797,-0.23489308123443814,-0.07177661523045183,-0.6054490631441398,0.04880659108051542,0.625,-0.4202658074924648,1.0,False
Set B,0.2,common_global_risk_mean,4.92639106977913,5.115411262837607,0.18902019305847678,0.036951123447616425,-0.230937766951356,0.6833524351729625,0.375,0.24739465698618876,1.0,False
"Average(A,B)",0.2,common_global_risk_mean,4.216920691321973,4.193984247233994,-0.02293644408798077,-0.005468891330028787,-0.31462622209378394,0.2944339091228688,1.0,-0.04406496758360101,1.0,False
Set A,0.2,common_global_cvar90_mean,0.09015856763822974,0.08140711339528363,-0.008751454242946112,-0.10750232845555767,-0.022510257351250108,0.0020819015209545175,0.4921875,-0.42196294149916364,1.0,False
Set B,0.2,common_global_cvar90_mean,0.11842931236960527,0.12270242495673982,0.00427311258713454,0.03482500519941843,-0.007560051403491181,0.01783665151728087,0.4921875,0.20159015144147113,1.0,False
"Average(A,B)",0.2,common_global_cvar90_mean,0.10429394000391752,0.10205476917601171,-0.0022391708279057856,-0.021940873963685065,-0.01159017463386625,0.006760794482655763,1.0,-0.1427703767347139,1.0,False
Set A,0.2,load_global_risk_mean,1.7387682019762536,1.656334213014636,-0.08243398896161787,-0.049768934502374906,-0.27330396768683396,0.07160564385409424,0.76953125,-0.2764352560704165,1.0,False
Set B,0.2,load_global_risk_mean,2.473311868542804,2.606862983424375,0.1335511148815709,0.051230584703031434,-0.08231342504436939,0.40277011822886244,0.130859375,0.32914286659209646,0.392578125,False
"Average(A,B)",0.2,load_global_risk_mean,2.1060400352595288,2.1315985982195054,0.025558562959976584,0.011990326406347474,-0.10897138236525145,0.17906640053618192,0.845703125,0.10399615445610165,1.0,False
Set A,0.2,common_top10_burden_share_mean,0.7676676412303628,0.7549475752504038,-0.012720065979958917,-0.016848939445527764,-0.03317804032588833,0.0029622181669026228,0.76953125,-0.4123540136377066,1.0,False
Set B,0.2,common_top10_burden_share_mean,0.8137944467926561,0.8212733591968858,0.007478912404229754,0.009106483633578707,-0.0075257507296702915,0.026260073849292603,0.556640625,0.25989473857594875,1.0,False
"Average(A,B)",0.2,common_top10_burden_share_mean,0.7907310440115093,0.7881104672236449,-0.002620576787864559,-0.0033251389200463235,-0.016781994849388658,0.011634288176146727,0.76953125,-0.10933092823329653,1.0,False
