model,seed_for_checkpoint,parameters,checkpoint_size_mb,hidden_dim,in_dim,benchmark_nodes,benchmark_edges,cpu_threads,forward_ms_mean,forward_ms_std,train_step_ms_mean,train_step_ms_std,gpu_peak_memory_mb,gpu_peak_memory_note,param_ratio_vs_stable,forward_time_ratio_vs_stable,train_step_time_ratio_vs_stable
SGFormer-TEG-Gate,0,104457,0.4189605712890625,64,715,5261,7647,1,59.544020001776516,21.09358353323165,135.92348997481167,4.282483572691469,,not available; experiment ran in current CPU-only benchmark without CUDA memory logging,1.1869034633215163,1.348524048057036,1.4084165230555317
Stable-Tail GNN,0,88008,0.35389041900634766,64,715,5261,7647,1,44.15495599620044,1.7246263212652257,96.50801999960095,2.6284825740318913,,not available; experiment ran in current CPU-only benchmark without CUDA memory logging,1.0,1.0,1.0
