model,method,model_seed_runs,hop_increase_mean,hop_increase_std,hop_increase_mean_std,total_risk_reduction_mean,total_risk_reduction_std,total_risk_reduction_mean_std,cvar90_reduction_mean,cvar90_reduction_std,cvar90_reduction_mean_std,maxrisk_reduction_mean,maxrisk_reduction_std,maxrisk_reduction_mean_std,re_reduction_mean,re_reduction_std,re_reduction_mean_std
Gradformer-adapted,CVaR-risk,10,0.09464440374439155,0.005670141575894682,9.464% +/- 0.567%,0.8428726206167477,0.01111737427508955,84.287% +/- 1.112%,0.906308776046569,0.009652898664167697,90.631% +/- 0.965%,0.9120565629720617,0.009513229118396539,91.206% +/- 0.951%,0.9250455695830482,0.01136140895871608,92.505% +/- 1.136%
Gradformer-adapted,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
SGFormer-adapted,CVaR-risk,10,0.0975076765826641,0.0060278096859288045,9.751% +/- 0.603%,0.8400139138321255,0.012789866194535798,84.001% +/- 1.279%,0.9033926296823412,0.012038314850306778,90.339% +/- 1.204%,0.9123935323438933,0.011948993864715875,91.239% +/- 1.195%,0.9221313754034516,0.01236080677970646,92.213% +/- 1.236%
SGFormer-adapted,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
