P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,892,337,160,48,53,38,2
2,1,731,323,166,137,87,84,0
3,0,641,403,230,112,82,62,0
4,0,662,353,215,145,106,38,10
5,0,706,382,152,108,113,66,2
