node_id,label,pred_label,S_i,S_i_norm,P_high,S_i_ec_norm,delta_ec,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
0,0,2,4.476371765136719,0.49662452936172485,0.38305673003196716,0.4908163249492645,-0.005808207206428051,0.12725777924060822,0.14893867075443268,0.11208075284957886,0.10649756342172623,0.12216842174530029,0.12192466855049133,0.14244239032268524,0.11868968605995178
1,0,7,4.52128791809082,0.50304114818573,0.3945235013961792,0.49568596482276917,-0.007355195470154285,0.12402410805225372,0.14557717740535736,0.10822407901287079,0.1075190007686615,0.12013215571641922,0.1275499314069748,0.15038803219795227,0.11658555269241333
2,0,2,4.418874263763428,0.488410621881485,0.3715549111366272,0.4818299114704132,-0.006580702494829893,0.1332179754972458,0.1528816968202591,0.10962534695863724,0.11085380613803864,0.12186633050441742,0.11857564002275467,0.13701799511909485,0.11596127599477768
3,0,2,4.379148006439209,0.48273542523384094,0.371603786945343,0.4756776988506317,-0.007057718466967344,0.1380416601896286,0.16107048094272614,0.10973349213600159,0.09787081927061081,0.12167976796627045,0.12448877841234207,0.1339697390794754,0.11314525455236435
4,0,7,4.482503890991211,0.49750056862831116,0.3850135803222656,0.48961421847343445,-0.007886338979005814,0.1296931952238083,0.144575834274292,0.11214659363031387,0.10498102754354477,0.12358979135751724,0.11915165185928345,0.15245935320854187,0.1134025827050209
5,0,2,4.428458213806152,0.4897797405719757,0.37305134534835815,0.4815613627433777,-0.008218333125114441,0.12837941944599152,0.15834912657737732,0.11066792160272598,0.10326062887907028,0.12629158794879913,0.1219935268163681,0.13354772329330444,0.11751009523868561
6,0,2,4.433199405670166,0.49045705795288086,0.3802969455718994,0.4846159815788269,-0.005841073580086231,0.1414257287979126,0.14740224182605743,0.1097453311085701,0.10261928290128708,0.11851036548614502,0.11664462089538574,0.14438201487064362,0.11927032470703125
7,0,2,4.447201728820801,0.49245738983154297,0.37950846552848816,0.48668158054351807,-0.005775744561105967,0.134839728474617,0.14911258220672607,0.10712291300296783,0.10450250655412674,0.12491379678249359,0.12378155440092087,0.13831613957881927,0.11741078644990921
8,0,2,4.4765849113464355,0.4966549873352051,0.38572388887405396,0.4884316027164459,-0.008223390206694603,0.12513947486877441,0.1526435911655426,0.11119838058948517,0.09995221346616745,0.125342458486557,0.12695977091789246,0.145829439163208,0.1129346713423729
9,0,2,4.288179874420166,0.46973997354507446,0.36212366819381714,0.45871198177337646,-0.011027999222278595,0.16320279240608215,0.16975580155849457,0.103007972240448,0.06265053898096085,0.1392592340707779,0.11368481814861298,0.14007660746574402,0.10836227238178253
10,0,2,4.442019462585449,0.49171707034111023,0.3747718036174774,0.48427054286003113,-0.007446538656949997,0.12724968791007996,0.1599930226802826,0.10477569699287415,0.10193461924791336,0.1312749981880188,0.11919574439525604,0.14343984425067902,0.11213622242212296
11,0,2,4.356026649475098,0.4794323742389679,0.37973037362098694,0.47067636251449585,-0.00875601265579462,0.15779198706150055,0.16837213933467865,0.09869299083948135,0.07804864645004272,0.11736387759447098,0.10765281319618225,0.15613992512226105,0.11593762040138245
12,0,2,4.267491340637207,0.4667844772338867,0.3494080901145935,0.4564443528652191,-0.010340066626667976,0.17320239543914795,0.1736127883195877,0.10054115206003189,0.07228396087884903,0.1309516578912735,0.07301276922225952,0.14769347012043,0.128701850771904
13,0,2,4.437723159790039,0.49110332131385803,0.3783566355705261,0.4835534393787384,-0.0075498842634260654,0.13678394258022308,0.15938208997249603,0.10975760221481323,0.08489640057086945,0.1308233141899109,0.11290966719388962,0.14183351397514343,0.12361344695091248
14,0,2,4.406085014343262,0.48658356070518494,0.3805285394191742,0.48150643706321716,-0.005077132489532232,0.14640027284622192,0.1604166179895401,0.10337928682565689,0.08823718130588531,0.12103807926177979,0.11486783623695374,0.1439182013273239,0.12174250930547714
15,0,7,4.493748664855957,0.4991069436073303,0.39327770471572876,0.49293866753578186,-0.00616835243999958,0.12791119515895844,0.14538200199604034,0.1075962707400322,0.10768086463212967,0.11815191805362701,0.1325700283050537,0.15027976036071777,0.11042793095111847
16,0,2,4.483826160430908,0.49768945574760437,0.38630449771881104,0.4899156093597412,-0.007773797493427992,0.1250152438879013,0.149504616856575,0.11243896186351776,0.10842262953519821,0.11831405013799667,0.12526798248291016,0.14267602562904358,0.1183604896068573
17,0,7,4.469700813293457,0.4956715404987335,0.38479405641555786,0.4893399775028229,-0.0063315751031041145,0.13313402235507965,0.1542602926492691,0.1044497862458229,0.09924671798944473,0.12411516904830933,0.11113835126161575,0.15894149243831635,0.11471421271562576
18,0,2,4.509582042694092,0.5013688802719116,0.39716872572898865,0.4940243065357208,-0.0073446305468678474,0.1254543513059616,0.1527067869901657,0.11319588124752045,0.09632611274719238,0.1151481419801712,0.12341654300689697,0.15243549644947052,0.12131670117378235
19,0,7,4.449333667755127,0.4927619397640228,0.3729872405529022,0.48380351066589355,-0.008958356454968452,0.13691529631614685,0.15479125082492828,0.1002170667052269,0.09810364246368408,0.13698545098304749,0.10161108523607254,0.1558331698179245,0.11554297804832458
