node_id,label,pred_label,S_i,S_i_norm,P_high,S_i_ec_norm,delta_ec,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
0,0,7,4.45817756652832,0.4940253794193268,0.3837084174156189,0.4878012537956238,-0.006224028766155243,0.13702024519443512,0.1446748822927475,0.10779198259115219,0.10778408497571945,0.11902035027742386,0.1174573004245758,0.15255972743034363,0.11369140446186066
1,0,7,4.515444278717041,0.5022063255310059,0.39177292585372925,0.4950856864452362,-0.007120633963495493,0.12548114359378815,0.14495396614074707,0.10868029296398163,0.10522772371768951,0.12388397008180618,0.12556129693984985,0.1493772715330124,0.11683434993028641
2,0,2,4.437983512878418,0.4911405146121979,0.3806164264678955,0.48443612456321716,-0.006704459432512522,0.13517574965953827,0.15116065740585327,0.10746531933546066,0.1054413765668869,0.12014046311378479,0.12269775569438934,0.14391307532787323,0.11400560289621353
3,0,1,3.865832805633545,0.4094046950340271,0.3206150531768799,0.40128520131111145,-0.008119550533592701,0.24361880123615265,0.20687519013881683,0.057676129043102264,0.06597050279378891,0.10524431616067886,0.09523100405931473,0.1291264444589615,0.09625758975744247
4,0,7,4.333559036254883,0.4762227237224579,0.37266770005226135,0.45657071471214294,-0.019651999697089195,0.1603395640850067,0.17866285145282745,0.09797266870737076,0.09515376389026642,0.09520348161458969,0.0618903674185276,0.19221743941307068,0.11855988949537277
5,0,2,4.198263168334961,0.45689472556114197,0.34551748633384705,0.44592148065567017,-0.0109731899574399,0.17106342315673828,0.17840547859668732,0.07923989742994308,0.10249556601047516,0.12327807396650314,0.11432823538780212,0.12918715178966522,0.1020020991563797
6,0,2,4.381734371185303,0.4831049144268036,0.37273550033569336,0.4752795100212097,-0.007825390435755253,0.14195360243320465,0.16724222898483276,0.10530055314302444,0.09338535368442535,0.11938279867172241,0.10959405452013016,0.14375655353069305,0.11938486993312836
7,0,2,4.4412431716918945,0.4916061758995056,0.3809831738471985,0.484035849571228,-0.007570316083729267,0.13705343008041382,0.15133869647979736,0.1025538370013237,0.10886456817388535,0.11920621991157532,0.12491311877965927,0.1356775015592575,0.12039255350828171
8,0,2,4.061383247375488,0.43734046816825867,0.28808048367500305,0.4176751375198364,-0.019665345549583435,0.1721341460943222,0.1835046410560608,0.11804038286209106,0.05923497676849365,0.17900529503822327,0.06627727299928665,0.13593682646751404,0.08586639910936356
9,0,2,4.299848556518555,0.4714069366455078,0.3634585440158844,0.4624060392379761,-0.009000911377370358,0.16019468009471893,0.16895222663879395,0.09882184118032455,0.08906769007444382,0.11950499564409256,0.11254121363162994,0.13109812140464783,0.11981920897960663
10,0,2,4.446600914001465,0.4923715591430664,0.3812040090560913,0.48403865098953247,-0.008332966826856136,0.1300782561302185,0.15402698516845703,0.11084183305501938,0.09910736978054047,0.12474147975444794,0.12408433109521866,0.14565666019916534,0.11146299540996552
11,0,2,4.461451530456543,0.4944930672645569,0.38369035720825195,0.4863164722919464,-0.00817667506635189,0.13374905288219452,0.15038859844207764,0.10844236612319946,0.09773381799459457,0.12599587440490723,0.11983883380889893,0.14916126430034637,0.11469022929668427
12,0,2,4.452706813812256,0.49324384331703186,0.38385429978370667,0.4852621853351593,-0.007981727831065655,0.12771780788898468,0.15937528014183044,0.11068382859230042,0.09956558793783188,0.11880332231521606,0.12460875511169434,0.13970889151096344,0.11953666806221008
13,0,2,4.405054092407227,0.48643630743026733,0.37775522470474243,0.47853508591651917,-0.007901125587522984,0.14500373601913452,0.15430113673210144,0.103274405002594,0.10065561532974243,0.11900995671749115,0.11502440273761749,0.14804069697856903,0.11469011753797531
