P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,0,0,13,1517,0,0,0
2,0,0,0,23,1506,0,0,0
3,0,0,0,14,1516,0,0,0
4,0,0,0,17,1512,0,0,0
5,0,0,1,15,1513,0,0,0
