P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,592,410,160,66,34,59,0
2,0,475,376,178,98,72,122,0
3,0,369,449,199,113,112,78,0
4,0,406,437,184,103,88,103,0
5,0,456,453,133,108,82,88,0
