customer_set,model,beta,lambda_concentration,model_seed_runs,cost_increase_mean,cost_increase_std,cost_increase_mean_std,global_risk_mean,global_risk_std,global_risk_mean_std,risk_reduction_mean,risk_reduction_std,risk_reduction_mean_std,cvar90_mean,cvar90_std,cvar90_mean_std,max_vehicle_risk_mean,max_vehicle_risk_std,max_vehicle_risk_mean_std,edge_burden_gini_mean,edge_burden_gini_std,edge_burden_gini_mean_std,top10_share_mean,top10_share_std,top10_share_mean_std
A,GAT,0.0,0.0,10,0.0,0.0,0.000% +/- 0.000%,8.034045342454581,0.6276232648439126,8.034045 +/- 0.627623,0.0,0.0,0.000% +/- 0.000%,0.25915428626854337,0.026063509358331505,0.259154 +/- 0.026064,2.5230315813533233,0.20425372875057718,2.523032 +/- 0.204254,0.8667701410232798,0.006932236598526336,0.866770 +/- 0.006932,0.8891482869955574,0.006523913028949559,88.915% +/- 0.652%
A,GAT,0.25,0.0,10,0.06197279802087073,0.005762270313971654,6.197% +/- 0.576%,5.563585558060923,0.6203319019630184,5.563586 +/- 0.620332,0.30724853516593764,0.06055297969634628,30.725% +/- 6.055%,0.16205964632011816,0.01863827111528793,0.162060 +/- 0.018638,1.786800260093769,0.2022551961312542,1.786800 +/- 0.202255,0.8550893767252881,0.010521726178401561,0.855089 +/- 0.010522,0.8723208291907256,0.010039558095660869,87.232% +/- 1.004%
A,GAT,0.5,0.0,10,0.11077935538409822,0.00957518938457219,11.078% +/- 0.958%,4.400108586753695,0.41409362597332267,4.400109 +/- 0.414094,0.452002270612947,0.03477743136096693,45.200% +/- 3.478%,0.12684511052313485,0.009460900184697805,0.126845 +/- 0.009461,1.4629267926891407,0.17297695837680133,1.462927 +/- 0.172977,0.8372557926057969,0.013935898718797376,0.837256 +/- 0.013936,0.8431950942155693,0.012572186107231563,84.320% +/- 1.257%
A,GAT,1.0,0.0,10,0.18214984983204488,0.014820332717280945,18.215% +/- 1.482%,3.1709660723833624,0.34987476126906625,3.170966 +/- 0.349875,0.6054965234945068,0.02693836214885719,60.550% +/- 2.694%,0.08211789243182005,0.010595633271576005,0.082118 +/- 0.010596,1.0723898855495555,0.16713481502599215,1.072390 +/- 0.167135,0.7972544760436925,0.021119743932968893,0.797254 +/- 0.021120,0.7848608795749624,0.019313239397849347,78.486% +/- 1.931%
A,GAT,2.0,0.0,10,0.2923382465393054,0.024979326896702406,29.234% +/- 2.498%,2.6256437163937245,0.304857696786361,2.625644 +/- 0.304858,0.6726860716597831,0.03250222912534959,67.269% +/- 3.250%,0.06167849550953199,0.011556066585149165,0.061678 +/- 0.011556,0.9324055055456756,0.17853360258329457,0.932406 +/- 0.178534,0.7662024674895617,0.0364390012697152,0.766202 +/- 0.036439,0.7386682830319499,0.0353291940606975,73.867% +/- 3.533%
A,GCN (paper),0.0,0.0,10,0.0,0.0,0.000% +/- 0.000%,8.220999136030514,0.7290351889290709,8.220999 +/- 0.729035,0.0,0.0,0.000% +/- 0.000%,0.25977868602153414,0.02810860511408723,0.259779 +/- 0.028109,2.439849667945382,0.19068981813403058,2.439850 +/- 0.190690,0.8624950995321973,0.004784571104924467,0.862495 +/- 0.004785,0.8857665107247491,0.0041616372569588745,88.577% +/- 0.416%
A,GCN (paper),0.25,0.0,10,0.06668530700194321,0.004997255106774257,6.669% +/- 0.500%,5.810713377433131,0.6013952173266296,5.810713 +/- 0.601395,0.2931176320748201,0.0389465986549624,29.312% +/- 3.895%,0.16631284881454517,0.02145151363940934,0.166313 +/- 0.021452,1.7729269554979328,0.21004688886661088,1.772927 +/- 0.210047,0.8499217786152562,0.004793592822380174,0.849922 +/- 0.004794,0.8701839367921691,0.006122176814108505,87.018% +/- 0.612%
A,GCN (paper),0.5,0.0,10,0.11469285250671078,0.009516476487313812,11.469% +/- 0.952%,4.524157829137257,0.4629585067120916,4.524158 +/- 0.462959,0.44983215103805285,0.02341614578878701,44.983% +/- 2.342%,0.1283774560299465,0.016138681313551725,0.128377 +/- 0.016139,1.507599482135047,0.1720431504586141,1.507599 +/- 0.172043,0.828627158619308,0.008477198319376362,0.828627 +/- 0.008477,0.839077761040775,0.009195181254860362,83.908% +/- 0.920%
A,GCN (paper),1.0,0.0,10,0.18564421614815604,0.016426322635867418,18.564% +/- 1.643%,3.099516671222955,0.36225623768769155,3.099517 +/- 0.362256,0.6233768290017812,0.021669530446526024,62.338% +/- 2.167%,0.07874347175735948,0.009523894380053532,0.078743 +/- 0.009524,1.0639847117302998,0.1808704432888861,1.063985 +/- 0.180870,0.7755342941059831,0.015361693651817047,0.775534 +/- 0.015362,0.7653083924427843,0.016700718447681305,76.531% +/- 1.670%
A,GCN (paper),2.0,0.0,10,0.29580434258704025,0.02974241212124359,29.580% +/- 2.974%,2.534344642832075,0.3353258645227913,2.534345 +/- 0.335326,0.6919141803787393,0.026566587210348068,69.191% +/- 2.657%,0.05547133987680748,0.011056230685391678,0.055471 +/- 0.011056,0.8578501579312433,0.14057567577734487,0.857850 +/- 0.140576,0.7379644486578227,0.022863590178496256,0.737964 +/- 0.022864,0.7112370582273625,0.026502877231915332,71.124% +/- 2.650%
