customer_set,model_seeds,global_risk_mean,global_risk_std,cvar90_mean,cvar90_std,max_vehicle_risk_mean,max_vehicle_risk_std,edge_gini_mean,edge_gini_std,top10_share_mean,top10_share_std,method
A,10,3.250775996897479,0.1371726383138536,0.08220034995550574,0.0056076102675011764,1.0337839575276642,0.0740798316926113,0.7539284939116762,0.006709092384537231,0.7549796148434388,0.009208675102197689,beta1
B,10,4.029950744741979,0.2062365402344015,0.0945676391081476,0.0048071433719007964,1.3825512350257818,0.0845396639076255,0.7774787519366793,0.007358556157698966,0.7818321361546325,0.010049208723144003,beta1
A,10,2.4600574479263426,0.16987060879257057,0.04350062080073373,0.005092519055125388,0.8849060942448577,0.06426007047648431,0.6892455123499494,0.0190472763196546,0.6694922339503223,0.02403807598134807,TC-lite eta0.7 beta1.5 lambda1
B,10,3.1586084407554225,0.15277933502620716,0.06939389442014084,0.0055938318718005255,1.1223878350312435,0.08493986999015206,0.7362591773801717,0.012107818250352348,0.7219447999734147,0.01563252959491834,TC-lite eta0.7 beta1.5 lambda1
