customer_set,model_seeds,load_global_risk_mean,load_global_risk_std,load_cvar90_mean,load_cvar90_std,load_max_vehicle_risk_mean,load_max_vehicle_risk_std,load_edge_gini_mean,load_edge_gini_std,load_top10_share_mean,load_top10_share_std,method
A,10,1.6099730846194997,0.09096161188452073,0.04506375369079602,0.0033061744102124077,0.5603805015058915,0.06996366556190342,0.8029623698447095,0.010035635789126493,0.7668469041709877,0.014698924411300699,beta1
B,10,1.973947937028439,0.15130851041125445,0.051925811263182846,0.005016878605352444,0.730368891288818,0.05821805979402864,0.8160677280641072,0.01117337104127404,0.7846335397110241,0.01628553913298636,beta1
A,10,1.2132183368154712,0.07287958370717385,0.028752678182259222,0.002785244007329565,0.451749109634707,0.04756287164369426,0.7476946077139525,0.014956363553936185,0.6903287609568294,0.020263631970750814,TC-lite eta0.7 beta1.5 lambda1
B,10,1.6148746910183929,0.09388796110283552,0.03863404922674255,0.0033524187122038135,0.6044240645054403,0.026536122332028216,0.787510482790669,0.010638835361383492,0.7407206815013179,0.015437513630776454,TC-lite eta0.7 beta1.5 lambda1
