method,customer_set,model_seeds,cost_increase_mean,cost_increase_std,risk_reduction_mean,risk_reduction_std,self_global_risk_mean,self_global_risk_std,self_cvar90_mean,self_cvar90_std,self_edge_gini_mean,self_edge_gini_std,self_top10_share_mean,self_top10_share_std
beta1,A,10,0.17174635963629195,0.014932701585449938,0.6350015282515481,0.027407643393118707,2.7854659363138308,0.46644161544468016,0.06626331640695254,0.013511969261240852,0.7956568451613637,0.02211522117181274,0.7657078021958673,0.02599823917604213
beta1,B,10,0.19869902794992297,0.016973616488164242,0.5968836742473216,0.040981920822982694,3.380131339447657,0.6268622478206122,0.07942761433041931,0.01926831933745827,0.8181771516769825,0.017038269203330243,0.7887482710349881,0.024005320876622688
TC-lite eta0.7 beta1.5 lambda1,A,10,0.3073647587717988,0.04251009685433602,0.7403539588333667,0.03464309067820296,1.9859425782659672,0.4243311953773266,0.03750168287805532,0.011261147931430545,0.7273377016401448,0.04121531676732403,0.6626639771648929,0.053723687539179256
TC-lite eta0.7 beta1.5 lambda1,B,10,0.3628703974418477,0.04976246006004541,0.6870793679211561,0.033917213292442114,2.627606950738156,0.5263613046344814,0.054610116065016444,0.013488321941350854,0.7842848974754596,0.025024599333671908,0.7310858129441234,0.03234733683518114
