P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,10,294,660,350,63,18,37,98
2,2,469,403,293,149,47,90,76
3,6,407,432,364,122,65,61,73
4,3,300,554,380,108,63,57,64
5,6,345,526,389,85,59,37,82
