model,split,eval_split,runs,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,qwk_mean,qwk_std,recall_6_8_mean,recall_6_8_std,precision_6_8_mean,precision_6_8_std,pr_auc_high_mean,pr_auc_high_std,high_fn_rate_mean,high_fn_rate_std
edge_gat,A,data_2020_train,5,0.7592887869647276,0.026196757832037836,0.8474737568916302,0.019491369967715954,0.6376188560791947,0.03981965283387541,0.8142929753891728,0.034082988764354366,0.896774193548387,0.026989033114002414,0.9334726415594046,0.02164674082701276,0.9772043438112487,0.009606530188784934,0.1032258064516129,0.026989033114002435
edge_gat,A,data_2020_val,5,0.2528677408965777,0.044801545673348236,0.6078096812944664,0.017866845972523165,1.3953227533985326,0.13279871273266614,0.17303103604428255,0.16579996223156399,0.17777777777777776,0.12668615834434865,0.35,0.25276251480171835,0.32292525181177545,0.1384721960331328,0.8222222222222222,0.12668615834434868
edge_gat,A,data_2021_test,5,0.34522518656298157,0.01898921605094729,0.6357083693650427,0.014272041396582863,1.2792462836567267,0.0289615084723637,0.2933833595192127,0.021569046496094472,0.25882352941176473,0.02908313132194378,0.5200396825396825,0.04749694994915104,0.3801852175007824,0.016554485894387863,0.7411764705882353,0.02908313132194376
edge_gat,B,data_2020_train,5,0.6019109041122646,0.034604837216864054,0.7753625965144002,0.013683405300250629,0.8731447553036261,0.02886434581879959,0.705006979154725,0.02030209825396768,0.74,0.0518411033833193,0.8687145650048876,0.03757099270421822,0.8997431479046994,0.022129348263851448,0.26,0.051841103383319306
edge_gat,B,data_2021_test,5,0.2818041383028812,0.04091589648210495,0.6196218985727479,0.025393739346054142,1.3241299589282798,0.05507875110375721,0.24297499788393112,0.052450355476224085,0.18461538461538463,0.06319875663521148,0.37649122807017543,0.04829104718822047,0.33737683108820965,0.04408826571890643,0.8153846153846154,0.06319875663521148
edge_gat,B,data_2021_train,5,0.7062693479716318,0.0337896958898533,0.8190119477660442,0.028379309609714385,0.7018044405676326,0.04497844763032552,0.7694040137614676,0.046450114425200105,0.8240000000000001,0.08294576541331086,0.8592962962962962,0.03865014901917443,0.9483246702654078,0.02466461393974473,0.176,0.08294576541331089
gcn,A,data_2020_train,5,0.7677490046494261,0.015167788784752473,0.8501049784966799,0.010997708227080362,0.6516366056229645,0.023859547096865028,0.8162016643617227,0.03260488202119502,0.8903225806451612,0.05397806622800487,0.940224358974359,0.04137378573789614,0.9817930757542579,0.0068611877821396485,0.1096774193548387,0.05397806622800488
gcn,A,data_2020_val,5,0.23009337444156133,0.03346144976082494,0.5864442652969494,0.03137437129902847,1.4059529526553796,0.11323401147366643,0.17644066305933298,0.14871957968186927,0.22222222222222224,0.15713484026367722,0.3571428571428571,0.22015764296317772,0.34825591492976404,0.12834625842013844,0.7777777777777778,0.15713484026367722
gcn,A,data_2021_test,5,0.36102573507100033,0.025643921798722023,0.6459204136332103,0.014904565521569747,1.2681676632694538,0.026435101822408935,0.2914633710019378,0.04735998689746256,0.2549019607843137,0.04159451654038515,0.6010847276293501,0.0827862152414346,0.39412046795526945,0.019564384101930274,0.7450980392156863,0.04159451654038513
gcn,B,data_2020_train,5,0.5959504457338988,0.015018087131606619,0.7722032045306316,0.00915444200458194,0.8677074883090643,0.040926518758964935,0.696097833939746,0.018274930685397445,0.73,0.011180339887498959,0.8572634237107921,0.05597281458466134,0.9089997972422095,0.023689474209393074,0.27,0.011180339887498959
