P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,1024,304,90,39,19,53,1
2,0,798,312,136,75,94,102,12
3,0,812,349,138,68,77,77,9
4,0,766,343,166,88,79,74,13
5,0,762,382,135,63,45,128,14
