P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,831,380,175,54,30,26,34
2,0,788,290,147,131,92,46,35
3,0,751,365,153,122,60,41,38
4,0,771,308,169,113,78,58,32
5,0,718,418,153,77,61,54,48
