P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,981,250,110,86,57,46,0
2,0,776,284,114,100,172,83,0
3,1,682,361,119,93,205,69,0
4,2,658,318,146,88,279,38,0
5,3,759,300,127,63,203,74,0
