method,customer_set,budget_points,wins,win_rate,AUBRC,normalized_AUBRC,average_risk_at_B
GCN,A,7,2,0.2857142857142857,1.0713868443950612,3.57128948131687,3.79226627651988
GCN,B,7,1,0.14285714285714285,1.4284186542203878,4.761395514067959,4.907260042884652
Stable-Tail-GNN,A,7,5,0.7142857142857143,1.0318059607472914,3.4393532024909708,3.622711462786706
Stable-Tail-GNN,B,7,3,0.42857142857142855,1.3468174931086665,4.489391643695554,4.679419028024941
TEG-low,A,7,0,0.0,1.0903184693570533,3.634394897856844,3.852539086201435
TEG-low,B,7,3,0.42857142857142855,1.387247127625957,4.624157092086523,4.792021851599148
