method,set_A_win_rate,AUBRC,normalized_AUBRC,average_risk_at_B,set_B_win_rate
GCN,0.2857142857142857,1.2499027493077244,4.166342497692415,4.349763159702266,0.14285714285714285
Stable-Tail-GNN,0.7142857142857143,1.189311726927979,3.9643724230932627,4.151065245405824,0.42857142857142855
TEG-low,0.0,1.2387827984915052,4.1292759949716835,4.322280468900291,0.42857142857142855
