risk_source,customer_set,run_dir,beta,lambda_concentration,seed,pyvrp_cost,routes,common_global_risk,common_global_cvar90,common_global_cvar95,common_max_edge_risk,common_high_risk_edge_hits,common_max_vehicle_risk,common_max_vehicle_cvar90,common_vehicle_risk_gini,common_edge_burden_gini_used,common_top10_burden_share,common_max_edge_burden,load_global_risk,load_cvar90,load_cvar95,load_max_vehicle_risk,load_vehicle_gini,load_edge_burden_gini_used,load_top10_burden_share,load_max_edge_burden,baseline_cost,cost_increase_pct,method,model_seed,solver_seed
A_GCN_seed0,A,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed0_A_GCN_seed0,1.0,0.0,0,156432.0,"[[0, 20, 44, 38, 50, 5, 43, 8, 7, 22, 46, 0], [0, 1, 41, 24, 19, 6, 17, 13, 49, 12, 48, 0], [0, 40, 9, 31, 36, 33, 34, 18, 35, 10, 37, 0], [0, 30, 23, 26, 28, 2, 25, 16, 3, 14, 42, 0], [0, 15, 45, 11, 39, 32, 4, 29, 47, 21, 27, 0]]",2.8284050276732016,0.0544662406180824,0.1333537718830281,0.3734145939377382,38.0,0.8892961468088297,0.1182151956184417,0.2392138714104463,0.7316292756429255,0.7241721676830248,0.5313090438090153,1.4915657424774338,0.0407469157785037,0.0650122275526642,0.479215805788962,0.247078736267484,0.789437597274526,0.7426772505701319,0.3360731345439643,133997.0,0.1674291215474973,GCN,0,0
A_GCN_seed1,A,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed1_A_GCN_seed1,1.5,0.0,0,163568.0,"[[0, 48, 45, 39, 32, 4, 6, 19, 24, 41, 1, 0], [0, 40, 9, 31, 38, 50, 43, 8, 7, 22, 46, 0], [0, 36, 5, 33, 34, 18, 35, 10, 37, 17, 13, 0], [0, 12, 49, 30, 23, 26, 28, 2, 25, 11, 15, 0], [0, 42, 14, 3, 16, 20, 44, 29, 47, 21, 27, 0]]",2.748667076036469,0.0647128738932085,0.1172017838282958,0.3734145939377382,41.0,0.8258257443911523,0.0791244618669856,0.276681715329526,0.7169299996716263,0.7091357086311671,0.5313090438090153,1.107236443220715,0.027262663982669,0.0427777371062959,0.3483433617212885,0.2465745340866652,0.7374074101215629,0.6862036671010199,0.1859581653331553,133997.0,0.2206840451651902,GCN,1,0
A_GCN_seed1,A,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed1_A_GCN_seed1,2.0,0.0,0,169742.0,"[[0, 30, 23, 26, 28, 2, 25, 11, 16, 3, 15, 0], [0, 48, 42, 14, 13, 17, 44, 29, 47, 21, 27, 0], [0, 20, 36, 5, 33, 34, 18, 35, 10, 37, 49, 0], [0, 1, 45, 39, 32, 4, 41, 24, 6, 19, 12, 0], [0, 40, 9, 31, 38, 50, 43, 8, 7, 22, 46, 0]]",2.2824616407599283,0.0374628730618431,0.0913503948112262,0.2656545219045076,40.0,0.7422193329319118,0.1137095661857504,0.2990934992970171,0.6646346635421692,0.6437436216826115,0.5313090438090153,1.121580747705201,0.0250102104363223,0.0432134130463546,0.3883136429024748,0.2888869143980701,0.7136590154825224,0.6498334653511905,0.2922199740949584,133997.0,0.2667597035754532,GCN,1,0
A_GCN_seed1,A,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed1_A_GCN_seed1,3.0,0.0,0,180019.0,"[[0, 49, 30, 23, 26, 28, 2, 25, 11, 16, 42, 0], [0, 13, 17, 44, 29, 4, 41, 24, 6, 19, 12, 0], [0, 1, 46, 22, 5, 33, 34, 18, 35, 10, 37, 0], [0, 27, 21, 47, 32, 39, 45, 15, 3, 14, 48, 0], [0, 20, 43, 8, 7, 36, 50, 38, 31, 9, 40, 0]]",2.084471684389525,0.032956188885853,0.0466950384242212,0.2656545219045076,39.0,0.8810464578169189,0.1182151956184417,0.3361034401168405,0.6441096752900499,0.6136476692194103,0.5313090438090153,1.0710370179018,0.0240816064276165,0.0390864917367251,0.3946945635737304,0.3233073542292437,0.716273965282658,0.6536121940578473,0.2870199778228758,133997.0,0.3434554504951603,GCN,1,0
A_GCN_seed3,A,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed3_A_GCN_seed3,0.5,0.0,0,149360.0,"[[0, 27, 21, 47, 9, 31, 36, 34, 33, 40, 49, 0], [0, 1, 41, 24, 19, 6, 29, 4, 32, 39, 11, 0], [0, 30, 23, 26, 28, 2, 25, 16, 3, 14, 42, 0], [0, 38, 50, 5, 43, 8, 7, 22, 46, 45, 15, 0], [0, 12, 18, 35, 10, 37, 13, 17, 44, 20, 48, 0]]",4.258890156708832,0.0999058444733811,0.2370862718879521,0.8422528180124284,35.0,1.15501639596432,0.1670174718266942,0.1383528830715512,0.8044850453286996,0.8164216455228362,0.8422528180124284,2.8189218423425326,0.0907415811189848,0.1398391219223857,0.8695916152752311,0.1640708113576912,0.8797345244551884,0.8704181820529946,0.7580275362111856,133997.0,0.1146518205631469,GCN,3,0
A_GCN_seed5,A,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed5_A_GCN_seed5,1.0,0.0,0,156421.0,"[[0, 49, 13, 17, 44, 20, 16, 15, 3, 14, 42, 0], [0, 12, 30, 23, 26, 28, 2, 25, 11, 45, 1, 0], [0, 46, 22, 7, 8, 43, 50, 38, 31, 9, 39, 0], [0, 48, 37, 10, 35, 18, 34, 33, 5, 36, 40, 0], [0, 27, 21, 47, 29, 4, 32, 6, 19, 24, 41, 0]]",3.464387231469346,0.0898077838206748,0.1657186096880642,0.3904537879556458,41.0,1.3185122059527317,0.1598533653364464,0.2583792910698095,0.7685669199700225,0.7745574485439488,0.5313090438090153,1.4971311009637114,0.042497635433149,0.0746399020837214,0.5778285096092577,0.2878988397649384,0.8173256945212788,0.7872751732152697,0.2870199778228758,133997.0,0.1673470301573915,GCN,5,0
A_GCN_seed9,A,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed9_A_GCN_seed9,1.0,0.0,0,156803.0,"[[0, 39, 38, 50, 5, 33, 34, 18, 35, 10, 37, 0], [0, 12, 49, 30, 23, 26, 28, 2, 25, 11, 45, 0], [0, 27, 21, 47, 29, 4, 32, 19, 6, 24, 41, 0], [0, 20, 44, 17, 13, 14, 42, 16, 3, 15, 48, 0], [0, 40, 9, 31, 36, 7, 8, 43, 22, 46, 1, 0]]",3.1396616880263784,0.081192332442524,0.1539099087794331,0.3734145939377382,40.0,1.3185122059527317,0.1598533653364464,0.3406130619902401,0.7465977562664594,0.744506657769607,0.5313090438090153,1.4076818908528277,0.0383908429357304,0.0634819412343307,0.5766210318081717,0.3320992538232841,0.7901441730169569,0.7510772909627776,0.2870199778228758,133997.0,0.1701978402501548,GCN,9,0
A_GCN_seed3,A,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed3_A_GCN_seed3,2.0,0.0,1,169624.0,"[[0, 12, 30, 23, 26, 28, 2, 25, 11, 45, 48, 0], [0, 49, 37, 10, 35, 18, 34, 33, 5, 36, 20, 0], [0, 1, 41, 24, 19, 6, 4, 29, 44, 17, 13, 0], [0, 27, 21, 47, 32, 39, 16, 42, 14, 3, 15, 0], [0, 40, 9, 31, 38, 50, 43, 8, 7, 22, 46, 0]]",2.425006386815288,0.0432068658551101,0.1027926118121034,0.3734145939377382,38.0,0.7395183940761091,0.0942011733667149,0.2723399092591119,0.6909501829328561,0.6731109880445351,0.5313090438090153,1.4666022982106666,0.0384677861528405,0.0561917470912526,0.4794543531721418,0.3040481784854647,0.7984058500682323,0.7523105840968215,0.3360731345439643,133997.0,0.2658790868452279,GCN,3,1
A_GCN_seed5,A,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed5_A_GCN_seed5,0.5,0.0,1,148359.0,"[[0, 48, 42, 41, 24, 19, 6, 29, 4, 32, 18, 0], [0, 20, 44, 17, 13, 12, 49, 14, 3, 16, 15, 0], [0, 30, 23, 26, 28, 2, 25, 11, 45, 39, 1, 0], [0, 27, 35, 10, 37, 50, 38, 31, 9, 47, 21, 0], [0, 40, 5, 36, 34, 33, 43, 8, 7, 22, 46, 0]]",4.382222942708015,0.0979693719332648,0.2450374966715691,0.8422528180124284,37.0,2.0130522385660656,0.1842952577974867,0.3734633641895912,0.802354778008251,0.8185931445525467,0.8422528180124284,1.975821802809236,0.0580758830114256,0.0865185294465867,0.6103701526029601,0.2271424387182339,0.8352828404417929,0.8221496324060558,0.2987316751501905,133997.0,0.1071815040635238,GCN,5,1
A_GCN_seed5,A,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed5_A_GCN_seed5,1.0,0.0,1,156443.0,"[[0, 48, 20, 44, 17, 13, 14, 3, 15, 16, 42, 0], [0, 37, 10, 35, 18, 34, 33, 50, 38, 39, 45, 0], [0, 46, 22, 7, 8, 43, 5, 36, 31, 9, 40, 0], [0, 27, 21, 47, 29, 4, 32, 6, 19, 24, 41, 0], [0, 12, 49, 30, 23, 26, 28, 2, 25, 11, 1, 0]]",3.336066883309432,0.0880949968494627,0.1677152375933105,0.3904537879556458,40.0,1.3185122059527317,0.1598533653364464,0.3054014750795764,0.7614409276415302,0.7616678043317546,0.5313090438090153,1.4535417136822937,0.0409944905109,0.0609960036579216,0.5778285096092577,0.2869818489094311,0.8081716864898392,0.7733893609465019,0.2870199778228758,133997.0,0.167511212937603,GCN,5,1
