method,customer_set,budget,model_seed,common_global_risk,cost_increase_pct
GCN,A,0.1,0,7.795773243499634,7.462853645977148e-07
GCN,A,0.1,1,7.795773243499634,7.462853645977148e-07
GCN,A,0.1,2,7.795773243499634,7.462853645977148e-07
GCN,A,0.1,3,7.795773243499634,7.462853645977148e-07
GCN,A,0.1,4,7.795773243499634,7.462853645977148e-07
GCN,A,0.1,5,7.795773243499634,7.462853645977148e-07
GCN,A,0.1,6,7.795773243499634,7.462853645977148e-07
GCN,A,0.1,7,7.795773243499634,7.462853645977148e-07
GCN,A,0.1,8,7.795773243499634,7.462853645977148e-07
GCN,A,0.1,9,7.795773243499634,7.462853645977148e-07
GCN,A,0.15,0,4.601495397141417,0.108840835627581
GCN,A,0.15,1,4.5023747674242935,0.10897889942806042
GCN,A,0.15,2,4.661219330113801,0.11841937481589271
GCN,A,0.15,3,4.548588003318674,0.11121700311018197
GCN,A,0.15,4,4.778116935278415,0.12623295170113882
GCN,A,0.15,5,4.578051467907912,0.10754827282909589
GCN,A,0.15,6,4.666298389108915,0.11738353163764907
GCN,A,0.15,7,4.539344841387335,0.12172839135197315
GCN,A,0.15,8,4.496968884298854,0.12235675617162907
GCN,A,0.15,9,4.626642161691914,0.10753857369239253
GCN,A,0.2,0,3.096481229512281,0.1724099301655794
GCN,A,0.2,1,3.20587055420338,0.17294650790585142
GCN,A,0.2,2,3.231046505990048,0.1950543905608213
GCN,A,0.2,3,3.0687649891664663,0.1732875714116197
GCN,A,0.2,4,4.778116935278415,0.12623295170113882
GCN,A,0.2,5,3.239777417131017,0.16919568885780967
GCN,A,0.2,6,3.11587765850969,0.18753707915212933
GCN,A,0.2,7,4.252314581293262,0.13677121092196953
GCN,A,0.2,8,3.2137326739867262,0.19586932991839984
GCN,A,0.2,9,3.134207354799869,0.17188753164121
GCN,A,0.25,0,2.853647047843853,0.2116181210523363
GCN,A,0.25,1,2.916782559220305,0.20736437007789127
GCN,A,0.25,2,3.231046505990048,0.1950543905608213
GCN,A,0.25,3,2.919946308808411,0.20861735320276592
GCN,A,0.25,4,3.036974250481823,0.2053254719689849
GCN,A,0.25,5,3.003976726672917,0.2048374211894432
GCN,A,0.25,6,2.8477686912800797,0.23925370119695427
GCN,A,0.25,7,3.1151315517316442,0.20104702946339623
GCN,A,0.25,8,3.2137326739867262,0.19586932991839984
GCN,A,0.25,9,2.8941081236159873,0.2061157344981615
GCN,A,0.3,0,2.7257221019150064,0.2435328834604074
GCN,A,0.3,1,2.5508364078959445,0.26339896560926224
