method,customer_set,budget,model_seed,common_global_risk,cost_increase_pct
GCN,A,0.3,2,2.898124475891507,0.24575309626040936
GCN,A,0.3,3,2.6301823089663077,0.24794055749163507
GCN,A,0.3,4,2.748916281149646,0.266086330869885
GCN,A,0.3,5,2.776312149291644,0.2585712055474533
GCN,A,0.3,6,2.7913114798789165,0.2554936170159651
GCN,A,0.3,7,2.747547993571489,0.248660573487626
GCN,A,0.3,8,2.7973651499217143,0.259534694850739
GCN,A,0.3,9,2.7557354719832943,0.24185750586552426
GCN,A,0.35,0,2.1811078378894995,0.34209891874532883
GCN,A,0.35,1,2.2680982213081853,0.3397257449531109
GCN,A,0.35,2,2.77288590681347,0.30619824781983385
GCN,A,0.35,3,2.257554538695691,0.34117725797416815
GCN,A,0.35,4,2.596247216462257,0.30733035808367254
GCN,A,0.35,5,2.776312149291644,0.2585712055474533
GCN,A,0.35,6,2.7147923083427887,0.26613112927200133
GCN,A,0.35,7,2.2902045743388335,0.3157297774570539
GCN,A,0.35,8,2.6927018388671917,0.3031131089400577
GCN,A,0.35,9,2.7557354719832943,0.24185750586552426
GCN,A,0.4,0,2.1811078378894995,0.34209891874532883
GCN,A,0.4,1,2.2680982213081853,0.3397257449531109
GCN,A,0.4,2,2.77288590681347,0.30619824781983385
GCN,A,0.4,3,2.257554538695691,0.34117725797416815
GCN,A,0.4,4,2.596247216462257,0.30733035808367254
GCN,A,0.4,5,2.599607225448352,0.3350763994457468
GCN,A,0.4,6,2.3596803588761714,0.37258449384345493
GCN,A,0.4,7,2.2902045743388335,0.3157297774570539
GCN,A,0.4,8,2.6927018388671917,0.3031131089400577
GCN,A,0.4,9,2.3867208010628644,0.35679620936127676
GCN,B,0.1,0,8.39809784146732,0.0
GCN,B,0.1,1,8.39809784146732,0.0
GCN,B,0.1,2,8.39809784146732,0.0
GCN,B,0.1,3,8.39809784146732,0.0
GCN,B,0.1,4,8.39809784146732,0.0
GCN,B,0.1,5,8.39809784146732,0.0
GCN,B,0.1,6,8.39809784146732,0.0
GCN,B,0.1,7,8.39809784146732,0.0
GCN,B,0.1,8,8.39809784146732,0.0
GCN,B,0.1,9,8.39809784146732,0.0
GCN,B,0.15,0,5.418690030112014,0.13747324690431537
GCN,B,0.15,1,5.997177325948,0.12733066057152426
GCN,B,0.15,2,6.264914637308271,0.13914577893574295
GCN,B,0.15,3,5.738369992261905,0.13069697719343493
GCN,B,0.15,4,5.868493487718773,0.13515797589159007
GCN,B,0.15,5,5.902176384151732,0.13179314948043927
GCN,B,0.15,6,5.860381996432724,0.13834979343465106
GCN,B,0.15,7,6.252057911753997,0.12732281567166648
GCN,B,0.15,8,6.16895598389316,0.11477589857691464
GCN,B,0.15,9,5.684630703033105,0.133102454178267
GCN,B,0.2,0,5.418690030112014,0.13747324690431537
GCN,B,0.2,1,5.4446632577066625,0.15059001033056857
GCN,B,0.2,2,6.264914637308271,0.13914577893574295
GCN,B,0.2,3,5.738369992261905,0.13069697719343493
GCN,B,0.2,4,5.868493487718773,0.13515797589159007
GCN,B,0.2,5,5.902176384151732,0.13179314948043927
GCN,B,0.2,6,5.860381996432724,0.13834979343465106
GCN,B,0.2,7,6.018127831970213,0.14235031586002395
GCN,B,0.2,8,5.549831410236608,0.14502816057870918
GCN,B,0.2,9,5.684630703033105,0.133102454178267
GCN,B,0.25,0,3.954486394548198,0.22447624667670465
GCN,B,0.25,1,4.132409966807739,0.20571421310730517
GCN,B,0.25,2,4.153068462776426,0.23259862405456885
GCN,B,0.25,3,4.43089186524933,0.22064953020680234
GCN,B,0.25,4,4.11843486677408,0.2311303104080892
GCN,B,0.25,5,3.76226496719501,0.2120643663448162
GCN,B,0.25,6,4.0172636816991645,0.23330100446085567
GCN,B,0.25,7,4.256203810360529,0.23282370399776986
GCN,B,0.25,8,3.882414551271135,0.23710009761071885
GCN,B,0.25,9,3.9857110097059776,0.21605699874957773
GCN,B,0.3,0,3.371023727669711,0.27960439140555804
GCN,B,0.3,1,3.5811329292896503,0.269159315610906
GCN,B,0.3,2,3.9582246516799193,0.25402263817253534
GCN,B,0.3,3,3.4644277068959157,0.2835662354035535
GCN,B,0.3,4,3.6475944175348216,0.25859538568801627
GCN,B,0.3,5,3.3129373894342846,0.2664185060508986
GCN,B,0.3,6,4.0172636816991645,0.23330100446085567
GCN,B,0.3,7,4.256203810360529,0.23282370399776986
GCN,B,0.3,8,3.661417307220308,0.2565224827325542
GCN,B,0.3,9,3.586207233164187,0.28440357081735085
GCN,B,0.35,0,3.0916765812181124,0.3237530790042936
GCN,B,0.35,1,3.235109295635083,0.31926701172413974
GCN,B,0.35,2,3.4165894525074485,0.3046786812546538
GCN,B,0.35,3,3.1892760000285856,0.31437674600571885
GCN,B,0.35,4,3.353750120046351,0.2853504509422331
GCN,B,0.35,5,3.203180000917212,0.30220999622168976
GCN,B,0.35,6,3.622994955503404,0.3026081067501102
GCN,B,0.35,7,3.6982690677222267,0.316382595011752
GCN,B,0.35,8,3.2253762373449115,0.2964471505321561
GCN,B,0.35,9,3.3673263604243253,0.31287092144604056
GCN,B,0.4,0,3.0701626211004607,0.33030106905902
GCN,B,0.4,1,3.235109295635083,0.31926701172413974
GCN,B,0.4,2,3.1788673080257674,0.35702329649906395
GCN,B,0.4,3,3.0832756456986337,0.33412681772983677
GCN,B,0.4,4,3.1073027566276434,0.3499101425059866
GCN,B,0.4,5,3.203180000917212,0.30220999622168976
GCN,B,0.4,6,3.184243497884782,0.37358569551552784
GCN,B,0.4,7,3.1831251285168745,0.3833895440163261
GCN,B,0.4,8,3.1827127090342655,0.35560762722170397
GCN,B,0.4,9,3.2399869375822754,0.32581416078329634
Stable-Tail-GNN,A,0.1,0,7.959816901084075,0.0
Stable-Tail-GNN,A,0.1,1,6.647412743963022,0.02997805938627222
Stable-Tail-GNN,A,0.1,2,7.959816901084075,0.0
Stable-Tail-GNN,A,0.1,3,6.294357013229731,0.04990611775559234
Stable-Tail-GNN,A,0.1,4,7.959816901084075,0.0
Stable-Tail-GNN,A,0.1,5,4.576192732943883,0.09773466085741571
Stable-Tail-GNN,A,0.1,6,7.959816901084075,0.0
Stable-Tail-GNN,A,0.1,7,7.959816901084075,0.0
Stable-Tail-GNN,A,0.1,8,7.959816901084075,0.0
Stable-Tail-GNN,A,0.1,9,4.635730151982591,0.09783316826995248
Stable-Tail-GNN,A,0.15,0,4.602967823734507,0.11001175226307958
Stable-Tail-GNN,A,0.15,1,4.445336192148664,0.10088397332238834
Stable-Tail-GNN,A,0.15,2,4.679339323222253,0.10957592247343644
Stable-Tail-GNN,A,0.15,3,4.7080370831415745,0.10084442082740275
Stable-Tail-GNN,A,0.15,4,4.449404370086572,0.12224407308530624
Stable-Tail-GNN,A,0.15,5,4.576192732943883,0.09773466085741571
Stable-Tail-GNN,A,0.15,6,4.4495768822613675,0.11654695099026088
Stable-Tail-GNN,A,0.15,7,4.332442649275654,0.11342972990426725
Stable-Tail-GNN,A,0.15,8,4.549567994388101,0.11023489541325479
Stable-Tail-GNN,A,0.15,9,4.464978493020597,0.10306160451526958
Stable-Tail-GNN,A,0.2,0,3.1032603155499645,0.17030690122724887
Stable-Tail-GNN,A,0.2,1,2.871205485988162,0.18606766595340868
Stable-Tail-GNN,A,0.2,2,3.1485253829789714,0.1796727535477236
Stable-Tail-GNN,A,0.2,3,3.2942109546260014,0.1762644304717484
Stable-Tail-GNN,A,0.2,4,3.127943189366833,0.19445586901892753
Stable-Tail-GNN,A,0.2,5,3.403547229380822,0.16073210385816777
Stable-Tail-GNN,A,0.2,6,3.3490520671909314,0.1865766138699883
Stable-Tail-GNN,A,0.2,7,3.131620418616633,0.1828466897372274
Stable-Tail-GNN,A,0.2,8,3.450253273738661,0.17910706881253174
Stable-Tail-GNN,A,0.2,9,3.096012106897201,0.17677863995692528
Stable-Tail-GNN,A,0.25,0,2.794882708476497,0.2091016246089037
Stable-Tail-GNN,A,0.25,1,2.7265127890034178,0.22544374509376258
Stable-Tail-GNN,A,0.25,2,3.024406565234046,0.21229350917379822
Stable-Tail-GNN,A,0.25,3,2.9822435813405868,0.23333193645830536
Stable-Tail-GNN,A,0.25,4,3.127943189366833,0.19445586901892753
Stable-Tail-GNN,A,0.25,5,2.760800179881301,0.22190861861129277
Stable-Tail-GNN,A,0.25,6,2.911727286321336,0.24047090581487543
Stable-Tail-GNN,A,0.25,7,2.7856230575297363,0.231180427001925
Stable-Tail-GNN,A,0.25,8,2.8752263852335807,0.23020651022653302
Stable-Tail-GNN,A,0.25,9,2.812481103726161,0.22352503612603272
Stable-Tail-GNN,A,0.3,0,2.4719311711039165,0.24682845593870711
Stable-Tail-GNN,A,0.3,1,2.7265127890034178,0.22544374509376258
Stable-Tail-GNN,A,0.3,2,2.8592142708732693,0.2610414177957842
Stable-Tail-GNN,A,0.3,3,2.9822435813405868,0.23333193645830536
Stable-Tail-GNN,A,0.3,4,2.7693004568399373,0.25298457009325925
Stable-Tail-GNN,A,0.3,5,2.760800179881301,0.22190861861129277
Stable-Tail-GNN,A,0.3,6,2.7354952823613408,0.2798582033679796
Stable-Tail-GNN,A,0.3,7,2.642374447406767,0.2530427676760393
Stable-Tail-GNN,A,0.3,8,2.5924472763485844,0.28058805161327555
Stable-Tail-GNN,A,0.3,9,2.812481103726161,0.22352503612603272
Stable-Tail-GNN,A,0.35,0,2.2675711618894994,0.3133461460292019
Stable-Tail-GNN,A,0.35,1,2.522893623431756,0.2938875337015089
Stable-Tail-GNN,A,0.35,2,2.8592142708732693,0.2610414177957842
Stable-Tail-GNN,A,0.35,3,2.4344036535483085,0.30524678054538074
Stable-Tail-GNN,A,0.35,4,2.6199009832510898,0.29028596118915917
Stable-Tail-GNN,A,0.35,5,2.438450577527506,0.2909212146585904
Stable-Tail-GNN,A,0.35,6,2.7354952823613408,0.2798582033679796
Stable-Tail-GNN,A,0.35,7,2.642374447406767,0.2530427676760393
Stable-Tail-GNN,A,0.35,8,2.5924472763485844,0.28058805161327555
Stable-Tail-GNN,A,0.35,9,2.6317092536529376,0.27423336765264944
Stable-Tail-GNN,A,0.4,0,2.2675711618894994,0.3133461460292019
Stable-Tail-GNN,A,0.4,1,2.522893623431756,0.2938875337015089
Stable-Tail-GNN,A,0.4,2,2.451857583795434,0.3735397684495694
Stable-Tail-GNN,A,0.4,3,2.4344036535483085,0.30524678054538074
Stable-Tail-GNN,A,0.4,4,2.512284792137879,0.3255754237102191
Stable-Tail-GNN,A,0.4,5,2.438450577527506,0.2909212146585904
Stable-Tail-GNN,A,0.4,6,2.42231294982535,0.3757368252113747
Stable-Tail-GNN,A,0.4,7,2.4263284549369777,0.34178392296445714
Stable-Tail-GNN,A,0.4,8,2.4368143918528853,0.3554395338166597
Stable-Tail-GNN,A,0.4,9,2.6317092536529376,0.27423336765264944
Stable-Tail-GNN,B,0.1,0,8.39809784146732,0.0
Stable-Tail-GNN,B,0.1,1,8.39809784146732,0.0
Stable-Tail-GNN,B,0.1,2,8.39809784146732,0.0
Stable-Tail-GNN,B,0.1,3,8.39809784146732,0.0
Stable-Tail-GNN,B,0.1,4,8.39809784146732,0.0
Stable-Tail-GNN,B,0.1,5,8.39809784146732,0.0
Stable-Tail-GNN,B,0.1,6,8.39809784146732,0.0
Stable-Tail-GNN,B,0.1,7,8.39809784146732,0.0
Stable-Tail-GNN,B,0.1,8,8.39809784146732,0.0
Stable-Tail-GNN,B,0.1,9,8.39809784146732,0.0
Stable-Tail-GNN,B,0.15,0,5.429093003365481,0.13036393155448972
Stable-Tail-GNN,B,0.15,1,6.012618091689784,0.11613830430008576
Stable-Tail-GNN,B,0.15,2,6.16266975203913,0.1321775354700899
Stable-Tail-GNN,B,0.15,3,5.849028754917759,0.11452360624104922
Stable-Tail-GNN,B,0.15,4,5.373462228689125,0.13266814183675144
Stable-Tail-GNN,B,0.15,5,5.539438311309003,0.12168960830353728
Stable-Tail-GNN,B,0.15,6,5.401931770006714,0.14370541194002867
Stable-Tail-GNN,B,0.15,7,5.639639565711407,0.13580156115556127
Stable-Tail-GNN,B,0.15,8,5.880175638565831,0.12098012543144268
Stable-Tail-GNN,B,0.15,9,5.553438787025036,0.11720272849654374
Stable-Tail-GNN,B,0.2,0,4.695159056691432,0.159366850172558
Stable-Tail-GNN,B,0.2,1,4.306021035486992,0.18080474993986514
Stable-Tail-GNN,B,0.2,2,6.16266975203913,0.1321775354700899
Stable-Tail-GNN,B,0.2,3,4.305950346135795,0.18582759604602414
Stable-Tail-GNN,B,0.2,4,5.137109123529503,0.13991717462029857
Stable-Tail-GNN,B,0.2,5,4.115264330955435,0.18760074615589312
Stable-Tail-GNN,B,0.2,6,5.401931770006714,0.14370541194002867
Stable-Tail-GNN,B,0.2,7,5.365775775680747,0.14294674543574862
Stable-Tail-GNN,B,0.2,8,4.32407518703519,0.18567400778944868
Stable-Tail-GNN,B,0.2,9,3.778961803331201,0.17491739831104153
Stable-Tail-GNN,B,0.25,0,3.588396156416658,0.20839690020811014
Stable-Tail-GNN,B,0.25,1,3.90560413367936,0.2178566057969416
Stable-Tail-GNN,B,0.25,2,4.1137142747168935,0.21519276651887703
Stable-Tail-GNN,B,0.25,3,3.8567764416053594,0.23484285715865827
Stable-Tail-GNN,B,0.25,4,4.005809188574399,0.2058798317826625
Stable-Tail-GNN,B,0.25,5,3.9085445933713094,0.2320278556087055
Stable-Tail-GNN,B,0.25,6,4.028171778603988,0.22971251535443557
Stable-Tail-GNN,B,0.25,7,3.7889611580423845,0.20760829560085323
Stable-Tail-GNN,B,0.25,8,4.026430429582445,0.21142194540520315
Stable-Tail-GNN,B,0.25,9,3.3958740900130238,0.2129195652891734
Stable-Tail-GNN,B,0.3,0,3.3417868144505114,0.23957143998138916
Stable-Tail-GNN,B,0.3,1,3.7881424545742868,0.2528414408041864
Stable-Tail-GNN,B,0.3,2,3.4982061492883885,0.2747697269662514
Stable-Tail-GNN,B,0.3,3,3.576900451129583,0.2744834258859708
Stable-Tail-GNN,B,0.3,4,3.269333474653719,0.2612383303555136
Stable-Tail-GNN,B,0.3,5,3.3956462517461725,0.27950559608472014
Stable-Tail-GNN,B,0.3,6,3.602823981847169,0.2780089895181298
Stable-Tail-GNN,B,0.3,7,3.415670825741791,0.24682116583744804
Stable-Tail-GNN,B,0.3,8,3.3946419849519165,0.27493322105433504
Stable-Tail-GNN,B,0.3,9,3.3523945642274584,0.22498608841763948
Stable-Tail-GNN,B,0.35,0,3.145198394586727,0.28942454855211586
Stable-Tail-GNN,B,0.35,1,3.7644517999313445,0.26081062562737245
Stable-Tail-GNN,B,0.35,2,3.2789369129751997,0.32172915102606925
Stable-Tail-GNN,B,0.35,3,3.556852070517978,0.2809601825760851
Stable-Tail-GNN,B,0.35,4,3.199042442575386,0.2868702396448727
Stable-Tail-GNN,B,0.35,5,3.30632855312495,0.29497488012091216
Stable-Tail-GNN,B,0.35,6,3.426172783380797,0.29802693484652243
Stable-Tail-GNN,B,0.35,7,3.35428254730853,0.27390870561197506
Stable-Tail-GNN,B,0.35,8,3.20431633795717,0.29488335769910656
Stable-Tail-GNN,B,0.35,9,3.243840157934379,0.29711374820068254
Stable-Tail-GNN,B,0.4,0,3.022422857445739,0.34531795686565403
Stable-Tail-GNN,B,0.4,1,3.5613499863617752,0.3575026806478071
Stable-Tail-GNN,B,0.4,2,3.2393227384684495,0.33458608840235265
Stable-Tail-GNN,B,0.4,3,3.183982862111482,0.37910723707722777
Stable-Tail-GNN,B,0.4,4,3.199042442575386,0.2868702396448727
Stable-Tail-GNN,B,0.4,5,3.228009097790037,0.34150157111592117
Stable-Tail-GNN,B,0.4,6,3.213496593675829,0.356559529385717
Stable-Tail-GNN,B,0.4,7,3.35428254730853,0.27390870561197506
Stable-Tail-GNN,B,0.4,8,3.1649389816804026,0.3236523157963399
Stable-Tail-GNN,B,0.4,9,3.243840157934379,0.29711374820068254
TEG-low,A,0.1,0,7.795773243499634,7.462853645977148e-07
TEG-low,A,0.1,1,7.795773243499634,7.462853645977148e-07
TEG-low,A,0.1,2,7.795773243499634,7.462853645977148e-07
TEG-low,A,0.1,3,7.795773243499634,7.462853645977148e-07
TEG-low,A,0.1,4,7.795773243499634,7.462853645977148e-07
TEG-low,A,0.1,5,7.795773243499634,7.462853645977148e-07
TEG-low,A,0.1,6,7.795773243499634,7.462853645977148e-07
TEG-low,A,0.1,7,7.795773243499634,7.462853645977148e-07
TEG-low,A,0.1,8,7.795773243499634,7.462853645977148e-07
TEG-low,A,0.1,9,7.959816901084075,0.0
TEG-low,A,0.15,0,4.516301980954763,0.12118658932456905
TEG-low,A,0.15,1,4.572170333334707,0.1099117495675755
TEG-low,A,0.15,2,4.680395405884437,0.12139629801822074
TEG-low,A,0.15,3,4.487686430574006,0.11655590983979054
TEG-low,A,0.15,4,4.646126165957801,0.1269292322482307
TEG-low,A,0.15,5,4.520496637228801,0.1129894221963359
TEG-low,A,0.15,6,4.489368533434228,0.12320006331184852
TEG-low,A,0.15,7,4.549891928600448,0.12442396145758645
TEG-low,A,0.15,8,4.618017834323983,0.12710983895937908
TEG-low,A,0.15,9,4.481056341663436,0.10507285586455799
TEG-low,A,0.2,0,3.1712302418659655,0.19317300439923588
TEG-low,A,0.2,1,3.1982026346658796,0.17420250145720018
TEG-low,A,0.2,2,3.8025150237737635,0.15868657457627178
TEG-low,A,0.2,3,3.2212120000032796,0.18443776355158842
TEG-low,A,0.2,4,4.646126165957801,0.1269292322482307
TEG-low,A,0.2,5,3.3135423366591006,0.17510329088833637
TEG-low,A,0.2,6,3.0683060512696025,0.19504468774273556
TEG-low,A,0.2,7,4.417159188869049,0.13189577052793877
TEG-low,A,0.2,8,4.618017834323983,0.12710983895937908
TEG-low,A,0.2,9,3.495336435606814,0.16960838760502522
TEG-low,A,0.25,0,3.1712302418659655,0.19317300439923588
TEG-low,A,0.25,1,2.9286050683973825,0.20995837904869416
TEG-low,A,0.25,2,2.9888860667263324,0.19846937606537293
TEG-low,A,0.25,3,2.938554634441059,0.23794923415057995
TEG-low,A,0.25,4,3.095343649177947,0.20540457493727673
TEG-low,A,0.25,5,2.941263270121673,0.2265713979685887
TEG-low,A,0.25,6,3.0683060512696025,0.19504468774273556
TEG-low,A,0.25,7,3.149227563928527,0.20260079320875182
TEG-low,A,0.25,8,3.1847117624058683,0.20823597302818486
TEG-low,A,0.25,9,3.1276554737765405,0.21154204618709516
TEG-low,A,0.3,0,2.3252818989557302,0.278285075511303
TEG-low,A,0.3,1,2.503379353843676,0.2676609427312112
TEG-low,A,0.3,2,2.87530344073843,0.23563429795636637
TEG-low,A,0.3,3,2.5667248475910376,0.2887710414693577
TEG-low,A,0.3,4,2.891147693225797,0.2655743816382498
TEG-low,A,0.3,5,2.8257995570596983,0.27702077298479766
TEG-low,A,0.3,6,2.9353737161813522,0.2398679858459205
TEG-low,A,0.3,7,2.886824363844661,0.2607003621648501
TEG-low,A,0.3,8,3.0644495990844436,0.25751144014678806
TEG-low,A,0.3,9,2.6681706718880944,0.2624100923335348
TEG-low,A,0.35,0,2.2518236588042155,0.29313082029688803
TEG-low,A,0.35,1,2.4274951619369873,0.2908254755509933
TEG-low,A,0.35,2,2.796941977313208,0.2715073547191639
TEG-low,A,0.35,3,2.5667248475910376,0.2887710414693577
TEG-low,A,0.35,4,2.6313669941899946,0.3121482959651828
TEG-low,A,0.35,5,2.8257995570596983,0.27702077298479766
TEG-low,A,0.35,6,2.627359466147234,0.29899902968890274
TEG-low,A,0.35,7,2.468615826139013,0.32435828351359575
TEG-low,A,0.35,8,2.638973191042878,0.32883743780785646
TEG-low,A,0.35,9,2.565152599020936,0.2863859483972298
TEG-low,A,0.4,0,2.186627270296152,0.3276761854730702
TEG-low,A,0.4,1,2.356467480184326,0.31501992191621375
TEG-low,A,0.4,2,2.796941977313208,0.2715073547191639
TEG-low,A,0.4,3,2.33385998020725,0.3682136784536595
TEG-low,A,0.4,4,2.6313669941899946,0.3121482959651828
TEG-low,A,0.4,5,2.500943448257798,0.379450399630681
TEG-low,A,0.4,6,2.627359466147234,0.29899902968890274
TEG-low,A,0.4,7,2.468615826139013,0.32435828351359575
TEG-low,A,0.4,8,2.638973191042878,0.32883743780785646
TEG-low,A,0.4,9,2.565152599020936,0.2863859483972298
TEG-low,B,0.1,0,8.39809784146732,0.0
TEG-low,B,0.1,1,8.39809784146732,0.0
TEG-low,B,0.1,2,8.39809784146732,0.0
TEG-low,B,0.1,3,8.39809784146732,0.0
TEG-low,B,0.1,4,8.39809784146732,0.0
TEG-low,B,0.1,5,8.39809784146732,0.0
TEG-low,B,0.1,6,8.367423585759251,0.00045548257179843
TEG-low,B,0.1,7,8.39809784146732,0.0
TEG-low,B,0.1,8,8.39809784146732,0.0
TEG-low,B,0.1,9,8.39809784146732,0.0
TEG-low,B,0.15,0,5.64652089089482,0.13727451094554716
TEG-low,B,0.15,1,5.454914591180801,0.1250814916093628
TEG-low,B,0.15,2,5.145668878489795,0.13404144905119092
TEG-low,B,0.15,3,5.858045541863645,0.12634084054222666
TEG-low,B,0.15,4,5.424107476580744,0.1300622221866646
TEG-low,B,0.15,5,5.381669306518821,0.1273864988175726
TEG-low,B,0.15,6,5.939828568624521,0.1368860943274418
TEG-low,B,0.15,7,6.028086598120952,0.13300565719637028
TEG-low,B,0.15,8,6.1879746639550355,0.12544697999782717
TEG-low,B,0.15,9,4.640795028597682,0.13215476077215005
TEG-low,B,0.2,0,5.64652089089482,0.13727451094554716
TEG-low,B,0.2,1,5.009128329362928,0.16316514749812483
TEG-low,B,0.2,2,5.145668878489795,0.13404144905119092
TEG-low,B,0.2,3,5.649010625356398,0.1336265257387243
TEG-low,B,0.2,4,5.014388871402438,0.14512670892972448
TEG-low,B,0.2,5,5.08820200526347,0.14858306258471746
TEG-low,B,0.2,6,5.939828568624521,0.1368860943274418
TEG-low,B,0.2,7,6.028086598120952,0.13300565719637028
TEG-low,B,0.2,8,6.1879746639550355,0.12544697999782717
TEG-low,B,0.2,9,4.48039291854604,0.1456978273573669
TEG-low,B,0.25,0,3.7701058639977427,0.21618664174817312
TEG-low,B,0.25,1,4.292291538715808,0.2012471871356572
TEG-low,B,0.25,2,4.2659872298114045,0.22274487697192097
TEG-low,B,0.25,3,4.102084662398554,0.21036775086072862
TEG-low,B,0.25,4,4.258268243965125,0.2373058779842169
TEG-low,B,0.25,5,4.14353832987098,0.20247053805070583
TEG-low,B,0.25,6,4.110254182855269,0.22745726492038482
TEG-low,B,0.25,7,3.706961586244205,0.21109286316578676
TEG-low,B,0.25,8,4.157917165873476,0.20898182974678745
TEG-low,B,0.25,9,3.962110479517244,0.20378603017121413
TEG-low,B,0.3,0,3.25528734685387,0.2702490540545036
TEG-low,B,0.3,1,3.663909474877568,0.26541921123204043
TEG-low,B,0.3,2,3.529629171652548,0.2809627093024664
TEG-low,B,0.3,3,3.4519961722635664,0.2578102981710224
TEG-low,B,0.3,4,4.258268243965125,0.2373058779842169
TEG-low,B,0.3,5,3.7139314553742486,0.2662615117932633
TEG-low,B,0.3,6,3.6430245760987887,0.26070493434266334
TEG-low,B,0.3,7,3.3902243690350184,0.2401335440499305
TEG-low,B,0.3,8,3.624980558616984,0.2710606026106547
TEG-low,B,0.3,9,3.5458869532893216,0.25887868640349004
TEG-low,B,0.35,0,3.073462577796778,0.3136216438470823
TEG-low,B,0.35,1,3.2223517306638305,0.31499205756170845
TEG-low,B,0.35,2,3.3749519424380177,0.3132323129264576
TEG-low,B,0.35,3,3.084432858577634,0.3150681450255171
TEG-low,B,0.35,4,3.3654309691360886,0.31125018175124886
TEG-low,B,0.35,5,3.4606250637513414,0.3074746666436642
TEG-low,B,0.35,6,3.4419623931007095,0.2966486931670195
TEG-low,B,0.35,7,3.150642604001639,0.32030667847868516
TEG-low,B,0.35,8,3.2764302191395287,0.32878641075574316
TEG-low,B,0.35,9,3.2635595797168664,0.3013829899130399
TEG-low,B,0.4,0,3.073462577796778,0.3136216438470823
TEG-low,B,0.4,1,3.2223517306638305,0.31499205756170845
TEG-low,B,0.4,2,3.1337288382411423,0.3424930254979353
TEG-low,B,0.4,3,3.066392840690888,0.3228085916419564
TEG-low,B,0.4,4,3.145107683947758,0.36327128231992184
TEG-low,B,0.4,5,3.4606250637513414,0.3074746666436642
TEG-low,B,0.4,6,3.24160287658293,0.34055737334607705
TEG-low,B,0.4,7,3.150642604001639,0.32030667847868516
TEG-low,B,0.4,8,3.2764302191395287,0.32878641075574316
TEG-low,B,0.4,9,3.2635595797168664,0.3013829899130399
