method,customer_set,unique_routes,pareto_routes,pareto_share,cost_increase_mean,common_risk_mean,cvar90_mean,load_risk_mean,top10_share_mean
GCN,A,510,76,0.14901960784313725,0.19379378333470432,3.4283332474426627,0.08446052374315278,1.6370848308375674,0.7390948810239211
GCN,B,510,93,0.18235294117647058,0.2910439946129642,3.8581810014755966,0.08993587951573165,1.788606031190342,0.7542905353211132
Stable-Tail-GNN,A,510,80,0.1568627450980392,0.2039955257823447,3.2850551213031403,0.0764336417407803,1.5959130221687445,0.7302797510339832
Stable-Tail-GNN,B,510,67,0.13137254901960785,0.2515111040602882,3.766091017519215,0.08689507591058544,1.756751084609629,0.7514359684758359
TEG-low,A,511,65,0.12720156555772993,0.24393619588902846,3.038101512324603,0.0681390877896126,1.5031737869554813,0.7031196499001081
TEG-low,B,511,75,0.14677103718199608,0.27245398673284144,3.6712539224807568,0.08319935747895262,1.704895723045906,0.7465385048896991
