method,unique_routes,pareto_routes,pareto_share,cost_increase_mean,common_risk_mean,cvar90_mean,load_risk_mean,top10_share_mean
GCN,1020,169,0.16568627450980392,0.24731017178960477,3.6648766860525015,0.08747358934581453,1.7204663197890944,0.7474569866430858
Stable-Tail-GNN,1020,147,0.14411764705882352,0.22565228594984274,3.504302774680535,0.0812017784032085,1.6692201662744537,0.7399223807523787
TEG-low,1022,140,0.136986301369863,0.2592135838410711,3.3772903034796853,0.07620708940890189,1.611239109861066,0.726379750787389
