method,customer_set,budget,value_mean,value_std,cost_increase_mean,model_seeds
GCN,A,0.1,7.795773243499634,0.0,7.462853645977148e-07,10
GCN,A,0.15,4.599910017767153,0.08662240023571696,0.11502445903655947,10
GCN,A,0.2,3.433618989987116,0.5863402403601367,0.1701192192236529,10
GCN,A,0.25,3.0033114439631796,0.14249095658369157,0.20751029231291546,10
GCN,A,0.3,2.7422053820465466,0.09465002138038943,0.25308294304589063,10
GCN,A,0.35,2.5305640063992856,0.2489247985941939,0.3021933254658205,10
GCN,A,0.4,2.4404808519762513,0.20713573113407632,0.3319830516623704,10
GCN,B,0.1,8.39809784146732,0.0,0.0,10
GCN,B,0.15,5.915584845261368,0.26733121558685535,0.1315148750838546,10
GCN,B,0.2,5.7750279730932,0.26407508528548607,0.13836878627877422,10
GCN,B,0.25,4.069314957638759,0.19182448909164718,0.22459150956172086,10
GCN,B,0.3,3.6856432854948493,0.30175192932788775,0.26184172343399986,10
GCN,B,0.35,3.3403548071347657,0.1950743374875668,0.3077944738892788,10
GCN,B,0.4,3.1667965901022996,0.059787247298311336,0.3431235361276591,10
Stable-Tail-GNN,A,0.1,6.991259404862367,1.3989516035462761,0.027545200626923273,10
Stable-Tail-GNN,A,0.15,4.525784354422318,0.11787511989971454,0.10845679836520816,10
Stable-Tail-GNN,A,0.2,3.1975630424334183,0.17508298949645046,0.17928087364538975,10
Stable-Tail-GNN,A,0.25,2.8801846846113497,0.13008099236366719,0.22219181821343562,10
Stable-Tail-GNN,A,0.3,2.735280055888528,0.1424318707121891,0.24785528027744386,10
Stable-Tail-GNN,A,0.35,2.5744460530291056,0.16741492785296574,0.2842451444229569,10
Stable-Tail-GNN,A,0.4,2.4544626442598534,0.09260016704036071,0.3249710516739611,10
Stable-Tail-GNN,B,0.1,8.39809784146732,0.0,0.0,10
Stable-Tail-GNN,B,0.15,5.684149590331927,0.2756244748169833,0.12652509547295795,10
Stable-Tail-GNN,B,0.2,4.759291818089214,0.7358549224471755,0.16329382158809963,10
Stable-Tail-GNN,B,0.25,3.861828224460582,0.2211719780198717,0.21758591387236206,10
Stable-Tail-GNN,B,0.3,3.4635546952610996,0.15468979305816802,0.2607159424905584,10
Stable-Tail-GNN,B,0.35,3.347942200029246,0.18988857611851637,0.2898702373905714,10
Stable-Tail-GNN,B,0.4,3.2410688265352006,0.13942967917429283,0.329612007274855,10
TEG-low,A,0.1,7.812177609258079,0.05187515936715869,6.716568281379433e-07,10
TEG-low,A,0.15,4.556151159195661,0.07094691584281701,0.11887759207880944,10
TEG-low,A,0.2,3.6951647912995242,0.6336327584137944,0.1636191051955942,10
TEG-low,A,0.25,3.0593783782110897,0.10162431848472367,0.20889494667365155,10
TEG-low,A,0.3,2.754245514241292,0.22964824622653388,0.2633436392782379,10
TEG-low,A,0.35,2.58002532792452,0.16983688497143468,0.2971984460393968,10
TEG-low,A,0.4,2.510630823279879,0.1799607791310863,0.3212596535565556,10
TEG-low,B,0.1,8.395030415896514,0.009700051356791955,4.5548257179843e-05,10
TEG-low,B,0.15,5.570761154482682,0.4631781015248326,0.13076805054463542,10
TEG-low,B,0.2,5.41892023500164,0.5512679239812848,0.14028539636270354,10
TEG-low,B,0.25,4.076951928324981,0.20329147961596095,0.2141640860755576,10
TEG-low,B,0.3,3.607713832202704,0.2676814080244538,0.26087864299442515,10
TEG-low,B,0.35,3.2713849938322435,0.13971131830692968,0.31227637800701663,10
TEG-low,B,0.4,3.2033904014532704,0.11720165500778061,0.3255694720005814,10
